selection_order,repo_id,repo_name,html_url,description,category,selected_at,selection_source,selection_reason,stars,participants,openrank,github_snapshot_date,language,license
11,1100776768,anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,"Official, Anthropic-managed directory of high quality Claude Code Plugins.",Skills & plugins,2026-07-29,Awesome landscape 2026-07-29,A curated official plugin directory with strong collaboration; useful for testing whether plugins and skills converge.,32782,65,64.58,2026-07-29,Python,Apache-2.0
12,1061953414,anthropics/skills,https://github.com/anthropics/skills,Public repository for Agent Skills,Skills & plugins,2026-07-29,Awesome landscape 2026-07-29,Official public Agent Skills repository; useful as a canonical reference for the skill-native successor to awesome lists.,164771,37,29.23,2026-07-29,Python,
13,1197652028,google/skills,https://github.com/google/skills,Agent Skills for Google products and technologies,Skills & plugins,2026-07-29,Awesome landscape 2026-07-29,"Official product skills with strong visible star momentum, though current contributor breadth is still narrow.",15302,6,4.46,2026-07-29,Python,Apache-2.0
14,1103643573,openai/skills,https://github.com/openai/skills,Skills Catalog for Codex,Skills & plugins,2026-07-29,Awesome landscape 2026-07-29,Codex Skills catalog with unusually broad three-month participant activity for this repository form.,24276,105,24.25,2026-07-29,Python,
15,1134543109,vercel-labs/skills,https://github.com/vercel-labs/skills,The open agent skills tool - npx skills,Skills & plugins,2026-07-29,Awesome landscape 2026-07-29,"Combines a skill catalog with an installation tool, turning discovery into a machine-actionable workflow.",27445,51,52.42,2026-07-29,TypeScript,MIT
16,1025856648,wshobson/agents,https://github.com/wshobson/agents,"Multi-harness agentic plugin marketplace for Claude Code, Codex CLI, Cursor, OpenCode, GitHub Copilot, and Gemini CLI",Skills & plugins,2026-07-29,Awesome landscape 2026-07-29,"A multi-harness plugin marketplace spanning Claude Code, Codex, Cursor, OpenCode, Copilot, and Gemini CLI.",38325,11,6.72,2026-07-29,Python,MIT
17,980205160,enescingoz/awesome-n8n-templates,https://github.com/enescingoz/awesome-n8n-templates,"280+ free n8n automation templates — ready-to-use workflows for Gmail, Telegram, Slack, Discord, WhatsApp, Google Drive, Notion, OpenAI, and more. AI agents, RAG   chatbots, email automation, social media, DevOps, and document processing. The largest open-source n8n template collection.",Domain playbooks,2026-07-29,Awesome landscape 2026-07-29,Ready-to-use automation templates show how an awesome list can move from reference links toward runnable workflows.,24218,4,1.9,2026-07-29,,NOASSERTION
18,1220744720,freestylefly/awesome-gpt-image-2,https://github.com/freestylefly/awesome-gpt-image-2,Prompt as Code | GPT-Image2 工业级提示词引擎与模板库，470+ 个案例逆向工程，20+ 套工业级模板，并提炼出Skills，持续更新中,Domain playbooks,2026-07-29,Awesome landscape 2026-07-29,Prompt-as-code image templates distilled into skills; a clean bridge from the older prompt-gallery form to executable agent assets.,8848,3,0.93,2026-07-29,JavaScript,MIT
19,1197515131,VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,A collection of DESIGN.md files analysis by popular brand design systems. Drop one into your project and let coding agents generate a matching UI.,Domain playbooks,2026-07-29,Awesome landscape 2026-07-29,A concrete example of curated design-system knowledge becoming a drop-in DESIGN.md for coding agents.,105098,5,12.95,2026-07-29,,MIT
20,1212769188,cathrynlavery/diagram-design,https://github.com/cathrynlavery/diagram-design,"38 editorial diagram types for Claude Code, Codex, and Pi. Self-contained HTML + SVG. No shadows. No Mermaid slop.",Domain playbooks,2026-08-23,GitHub Trending 2026-W33 to W34,Ships 38 reusable editorial diagram patterns for coding agents; ranked first in two consecutive weekly lists.,23991,0,,2026-08-20,HTML,MIT
21,1136590548,affaan-m/ECC,https://github.com/affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",Workflows & methods,2026-07-29,Awesome landscape 2026-07-29,"Packages coding-agent practice as a working harness with skills, memory, security, and research conventions.",234593,76,63.38,2026-07-29,JavaScript,MIT
22,1179264259,garrytan/gstack,https://github.com/garrytan/gstack,"Use Garry Tan's exact Claude Code setup: 23 opinionated tools that serve as CEO, Designer, Eng Manager, Release Manager, Doc Engineer, and QA",Workflows & methods,2026-07-29,Awesome landscape 2026-07-29,An opinionated operating stack that packages role-specific tools and workflows around Claude Code.,124937,83,57.57,2026-07-29,TypeScript,MIT
23,1042367133,github/spec-kit,https://github.com/github/spec-kit,💫 Toolkit to help you get started with Spec-Driven Development,Workflows & methods,2026-07-29,Awesome landscape 2026-07-29,Spec-driven development gives coding agents durable intent and acceptance criteria instead of only prompt snippets.,124281,63,68.09,2026-07-29,Python,MIT
24,1073224795,obra/superpowers,https://github.com/obra/superpowers,An agentic skills framework & software development methodology that works.,Workflows & methods,2026-07-29,Awesome landscape 2026-07-29,A software-development methodology distributed as an agent skills framework; it directly tests the code-is-cheap hypothesis.,262574,60,63.58,2026-07-29,Shell,MIT
25,1150071903,rohitg00/awesome-claude-code-toolkit,https://github.com/rohitg00/awesome-claude-code-toolkit,"The most comprehensive toolkit for Claude Code -- 135 agents, 35 curated skills, 42 commands, 176+ plugins, 20 hooks, 15 rules, 7 templates, 14 MCP configs, 26 companion apps, 52 ecosystem entries, and more.",Workflows & methods,2026-07-29,Awesome landscape 2026-07-29,"Dense toolkit with agents, skills, commands, hooks, rules, and MCP configs, but its shorter activity history needs another window.",2402,23,10.85,2026-07-29,JavaScript,Apache-2.0
26,1087192965,shanraisshan/claude-code-best-practice,https://github.com/shanraisshan/claude-code-best-practice,from vibe coding to agentic engineering - practice makes claude perfect,Workflows & methods,2026-07-29,Awesome landscape 2026-07-29,A focused practice repository whose positioning explicitly moves from ad hoc generation toward agentic engineering.,63644,4,6.64,2026-07-29,HTML,MIT
27,1134426800,sickn33/agentic-awesome-skills,https://github.com/sickn33/agentic-awesome-skills,"AAS Core is the local, agent-first control plane for complete catalog discovery, agent-owned selection, stack validation, and planning, backed by 1,987+ agentic skills. Includes CLI, local MCP, catalog, plugins, and Workbench.",Workflows & methods,2026-07-29,Awesome landscape 2026-07-29,"Interesting agent-first catalog and local MCP control plane; recent rename makes name-based activity misleading, so repo-ID tracking matters.",44075,23,32.2,2026-07-29,Python,MIT
28,1226123343,virgiliojr94/book-to-skill,https://github.com/virgiliojr94/book-to-skill,"Turn any technical book PDF into a Claude Code skill — ready to study, reference, and use while you work.",Workflows & methods,2026-08-23,GitHub Trending 2026-W31 to W32,Turns a technical book into a reusable Claude Code skill; adds a distinct knowledge-to-skill form and appeared in two weekly lists.,23302,0,,2026-08-20,Python,MIT
