sample_rank,repo_id,repo_name,llm_native_manual,collaboration_niche,year,window_start,window_end,issues_opened,issues_closed_during_window,issue_flow_balance,prs_opened,prs_closed_during_window,prs_merged_during_window,prs_closed_unmerged_during_window,pr_flow_balance,currently_open_issues_from_vintage,currently_open_prs_from_vintage,graphql_cost,graphql_remaining,collected_at,quality_flag
12,1027384981,langchain-ai/deepagents,llm_native,agent_framework,2026,2026-01-01,2026-08-31,920,858,62,4355,4281,3432,849,74,134,33,1,4918,2026-09-02T07:12:36.019917+00:00,search_count_invariants_ok
13,975734319,anomalyco/opencode,llm_native,agent_application,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4917,2026-09-02T07:12:37.974673+00:00,search_count_invariants_ok
13,975734319,anomalyco/opencode,llm_native,agent_application,2025,2025-01-01,2025-08-31,1542,887,655,786,610,462,148,176,8,0,1,4917,2026-09-02T07:12:37.974673+00:00,search_count_invariants_ok
13,975734319,anomalyco/opencode,llm_native,agent_application,2026,2026-01-01,2026-08-31,21333,18373,2960,17953,15351,6924,8427,2602,4010,1379,1,4917,2026-09-02T07:12:37.974673+00:00,search_count_invariants_ok
14,669331976,flashinfer-ai/flashinfer,llm_native,model_infra,2024,2024-01-01,2024-08-31,91,62,29,356,350,333,17,6,1,0,1,4915,2026-09-02T07:12:40.016327+00:00,search_count_invariants_ok
14,669331976,flashinfer-ai/flashinfer,llm_native,model_infra,2025,2025-01-01,2025-08-31,230,103,127,668,625,567,58,43,7,21,1,4915,2026-09-02T07:12:40.016327+00:00,search_count_invariants_ok
14,669331976,flashinfer-ai/flashinfer,llm_native,model_infra,2026,2026-01-01,2026-08-31,665,623,42,1899,1322,1108,214,577,277,498,1,4915,2026-09-02T07:12:40.016327+00:00,search_count_invariants_ok
15,679366051,NVIDIA/TensorRT-LLM,llm_native,model_infra,2024,2024-01-01,2024-08-31,1102,630,472,223,182,72,110,41,0,0,1,4914,2026-09-02T07:12:41.857829+00:00,search_count_invariants_ok
15,679366051,NVIDIA/TensorRT-LLM,llm_native,model_infra,2025,2025-01-01,2025-08-31,787,370,417,3913,3593,2867,726,320,147,4,1,4914,2026-09-02T07:12:41.857829+00:00,search_count_invariants_ok
15,679366051,NVIDIA/TensorRT-LLM,llm_native,model_infra,2026,2026-01-01,2026-08-31,655,614,41,7411,6394,4876,1518,1017,304,764,1,4914,2026-09-02T07:12:41.857829+00:00,search_count_invariants_ok
16,937253475,anthropics/claude-code,llm_native,agent_application,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4913,2026-09-02T07:12:44.130564+00:00,search_count_invariants_ok
16,937253475,anthropics/claude-code,llm_native,agent_application,2025,2025-01-01,2025-08-31,6682,3770,2912,116,109,66,43,7,97,5,1,4913,2026-09-02T07:12:44.130564+00:00,search_count_invariants_ok
16,937253475,anthropics/claude-code,llm_native,agent_application,2026,2026-01-01,2026-08-31,72982,64927,8055,969,287,47,240,682,13832,668,1,4913,2026-09-02T07:12:44.130564+00:00,search_count_invariants_ok
17,154739597,jax-ml/jax,traditional,model_infra,2024,2024-01-01,2024-08-31,650,548,102,3147,3068,2232,836,79,189,45,1,4911,2026-09-02T07:12:46.554882+00:00,search_count_invariants_ok
17,154739597,jax-ml/jax,traditional,model_infra,2025,2025-01-01,2025-08-31,653,526,127,4800,4591,3665,926,209,227,86,1,4911,2026-09-02T07:12:46.554882+00:00,search_count_invariants_ok
17,154739597,jax-ml/jax,traditional,model_infra,2026,2026-01-01,2026-08-31,511,423,88,5529,5380,3980,1400,149,287,419,1,4911,2026-09-02T07:12:46.554882+00:00,search_count_invariants_ok
18,942206898,ai-dynamo/dynamo,llm_native,model_infra,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4910,2026-09-02T07:12:48.475146+00:00,search_count_invariants_ok
18,942206898,ai-dynamo/dynamo,llm_native,model_infra,2025,2025-01-01,2025-08-31,595,415,180,2189,2073,1653,420,116,2,0,1,4910,2026-09-02T07:12:48.475146+00:00,search_count_invariants_ok
18,942206898,ai-dynamo/dynamo,llm_native,model_infra,2026,2026-01-01,2026-08-31,1031,874,157,7853,6688,5089,1599,1165,368,891,1,4910,2026-09-02T07:12:48.475146+00:00,search_count_invariants_ok
19,33884891,apache/airflow,traditional,model_infra,2024,2024-01-01,2024-08-31,1124,1007,117,3627,3572,3100,472,55,78,0,1,4909,2026-09-02T07:12:50.380685+00:00,search_count_invariants_ok
19,33884891,apache/airflow,traditional,model_infra,2025,2025-01-01,2025-08-31,2165,1924,241,7093,6971,5879,1092,122,198,1,1,4909,2026-09-02T07:12:50.380685+00:00,search_count_invariants_ok
19,33884891,apache/airflow,traditional,model_infra,2026,2026-01-01,2026-08-31,1676,1975,-299,10392,9569,7460,2109,823,459,890,1,4909,2026-09-02T07:12:50.380685+00:00,search_count_invariants_ok
20,671269505,BerriAI/litellm,llm_native,model_infra,2024,2024-01-01,2024-08-31,1891,1605,286,2163,2062,1831,231,101,0,0,1,4907,2026-09-02T07:12:52.218987+00:00,search_count_invariants_ok
20,671269505,BerriAI/litellm,llm_native,model_infra,2025,2025-01-01,2025-08-31,2823,2691,132,3555,3531,2624,907,24,15,0,1,4907,2026-09-02T07:12:52.218987+00:00,search_count_invariants_ok
20,671269505,BerriAI/litellm,llm_native,model_infra,2026,2026-01-01,2026-08-31,4180,3518,662,15906,11586,7685,3901,4320,1572,3128,1,4907,2026-09-02T07:12:52.218987+00:00,search_count_invariants_ok
21,612354784,ggml-org/llama.cpp,llm_native,model_infra,2024,2024-01-01,2024-08-31,1749,2211,-462,2115,1980,1677,303,135,32,105,1,4906,2026-09-02T07:12:53.869032+00:00,search_count_invariants_ok
21,612354784,ggml-org/llama.cpp,llm_native,model_infra,2025,2025-01-01,2025-08-31,1553,1458,95,2425,2236,1847,389,189,22,136,1,4906,2026-09-02T07:12:53.869032+00:00,search_count_invariants_ok
21,612354784,ggml-org/llama.cpp,llm_native,model_infra,2026,2026-01-01,2026-08-31,3195,2676,519,5510,4413,3106,1307,1097,743,967,1,4906,2026-09-02T07:12:53.869032+00:00,search_count_invariants_ok
22,193215554,n8n-io/n8n,mixed,agent_framework,2024,2024-01-01,2024-08-31,355,302,53,2080,2074,1850,224,6,0,4,1,4904,2026-09-02T07:12:55.654338+00:00,search_count_invariants_ok
22,193215554,n8n-io/n8n,mixed,agent_framework,2025,2025-01-01,2025-08-31,3190,2832,358,3387,3164,2528,636,223,38,28,1,4904,2026-09-02T07:12:55.654338+00:00,search_count_invariants_ok
22,193215554,n8n-io/n8n,mixed,agent_framework,2026,2026-01-01,2026-08-31,2879,3020,-141,10588,9925,7941,1984,663,285,611,1,4904,2026-09-02T07:12:55.654338+00:00,search_count_invariants_ok
23,71932349,ray-project/ray,traditional,model_infra,2024,2024-01-01,2024-08-31,2124,1540,584,3178,3094,2430,664,84,493,2,1,4903,2026-09-02T07:12:57.451097+00:00,search_count_invariants_ok
23,71932349,ray-project/ray,traditional,model_infra,2025,2025-01-01,2025-08-31,1891,2719,-828,4673,4973,3403,1570,-300,506,65,1,4903,2026-09-02T07:12:57.451097+00:00,search_count_invariants_ok
23,71932349,ray-project/ray,traditional,model_infra,2026,2026-01-01,2026-08-31,909,862,47,5050,4584,3078,1506,466,429,508,1,4903,2026-09-02T07:12:57.451097+00:00,search_count_invariants_ok
24,17165658,apache/spark,traditional,model_infra,2024,2024-01-01,2024-08-31,0,0,0,3397,3392,1,3391,5,0,0,1,4902,2026-09-02T07:12:59.485136+00:00,search_count_invariants_ok
24,17165658,apache/spark,traditional,model_infra,2025,2025-01-01,2025-08-31,0,0,0,2839,2851,0,2851,-12,0,4,1,4902,2026-09-02T07:12:59.485136+00:00,search_count_invariants_ok
24,17165658,apache/spark,traditional,model_infra,2026,2026-01-01,2026-08-31,103,67,36,4613,3609,0,3609,1004,36,428,1,4902,2026-09-02T07:12:59.485136+00:00,search_count_invariants_ok
25,440752086,coder/coder,mixed,agent_runtime_infra,2024,2024-01-01,2024-08-31,956,1233,-277,2106,2113,1767,346,-7,106,0,1,4900,2026-09-02T07:13:01.218409+00:00,search_count_invariants_ok
25,440752086,coder/coder,mixed,agent_runtime_infra,2025,2025-01-01,2025-08-31,706,489,217,2812,2782,2346,436,30,203,0,1,4900,2026-09-02T07:13:01.218409+00:00,search_count_invariants_ok
25,440752086,coder/coder,mixed,agent_runtime_infra,2026,2026-01-01,2026-08-31,480,466,14,6767,6301,4941,1360,466,199,185,1,4900,2026-09-02T07:13:01.218409+00:00,search_count_invariants_ok
26,644461337,vercel/ai,llm_native,agent_framework,2024,2024-01-01,2024-08-31,471,350,121,1161,1141,933,208,20,11,0,1,4899,2026-09-02T07:13:04.146324+00:00,search_count_invariants_ok
26,644461337,vercel/ai,llm_native,agent_framework,2025,2025-01-01,2025-08-31,1155,843,312,2522,2409,2045,364,113,127,5,1,4899,2026-09-02T07:13:04.146324+00:00,search_count_invariants_ok
26,644461337,vercel/ai,llm_native,agent_framework,2026,2026-01-01,2026-08-31,1189,1381,-192,7245,5719,4539,1180,1526,321,808,1,4899,2026-09-02T07:13:04.146324+00:00,search_count_invariants_ok
27,839037098,mastra-ai/mastra,llm_native,agent_framework,2024,2024-01-01,2024-08-31,0,0,0,231,223,218,5,8,0,0,1,4898,2026-09-02T07:13:05.885694+00:00,search_count_invariants_ok
27,839037098,mastra-ai/mastra,llm_native,agent_framework,2025,2025-01-01,2025-08-31,1322,1100,222,4092,4003,3362,641,89,3,0,1,4898,2026-09-02T07:13:05.885694+00:00,search_count_invariants_ok
27,839037098,mastra-ai/mastra,llm_native,agent_framework,2026,2026-01-01,2026-08-31,2785,2653,132,8320,7914,6254,1660,406,251,226,1,4898,2026-09-02T07:13:05.885694+00:00,search_count_invariants_ok
28,1054512829,vllm-project/vllm-omni,llm_native,model_infra,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4896,2026-09-02T07:13:08.052607+00:00,search_count_invariants_ok
28,1054512829,vllm-project/vllm-omni,llm_native,model_infra,2025,2025-01-01,2025-08-31,0,0,0,0,0,0,0,0,0,0,1,4896,2026-09-02T07:13:08.052607+00:00,search_count_invariants_ok
28,1054512829,vllm-project/vllm-omni,llm_native,model_infra,2026,2026-01-01,2026-08-31,2008,1375,633,4285,3192,2522,670,1093,712,949,1,4896,2026-09-02T07:13:08.052607+00:00,search_count_invariants_ok
29,1008713177,QwenLM/qwen-code,llm_native,agent_application,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4895,2026-09-02T07:13:09.919463+00:00,search_count_invariants_ok
29,1008713177,QwenLM/qwen-code,llm_native,agent_application,2025,2025-01-01,2025-08-31,342,114,228,137,104,74,30,33,28,0,1,4895,2026-09-02T07:13:09.919463+00:00,search_count_invariants_ok
29,1008713177,QwenLM/qwen-code,llm_native,agent_application,2026,2026-01-01,2026-08-31,3467,2867,600,5588,5143,4387,756,445,844,223,1,4895,2026-09-02T07:13:09.919463+00:00,search_count_invariants_ok
30,626805178,langgenius/dify,llm_native,agent_framework,2024,2024-01-01,2024-08-31,2599,2388,211,2574,2544,2232,312,30,0,0,1,4893,2026-09-02T07:13:11.890342+00:00,search_count_invariants_ok
30,626805178,langgenius/dify,llm_native,agent_framework,2025,2025-01-01,2025-08-31,7209,6886,323,3242,3209,2669,540,33,2,4,1,4893,2026-09-02T07:13:11.890342+00:00,search_count_invariants_ok
30,626805178,langgenius/dify,llm_native,agent_framework,2026,2026-01-01,2026-08-31,3163,3297,-134,7127,6203,4840,1363,924,314,649,1,4893,2026-09-02T07:13:11.890342+00:00,search_count_invariants_ok
31,384219990,warpdotdev/warp,mixed,agent_application,2024,2024-01-01,2024-08-31,1244,628,616,3,3,2,1,0,430,0,1,4892,2026-09-02T07:13:13.636938+00:00,search_count_invariants_ok
31,384219990,warpdotdev/warp,mixed,agent_application,2025,2025-01-01,2025-08-31,1591,564,1027,4,4,3,1,0,574,0,1,4892,2026-09-02T07:13:13.636938+00:00,search_count_invariants_ok
31,384219990,warpdotdev/warp,mixed,agent_application,2026,2026-01-01,2026-08-31,2660,2931,-271,4637,3026,2276,750,1611,1304,1302,1,4892,2026-09-02T07:13:13.636938+00:00,search_count_invariants_ok
32,1170821064,paperclipai/paperclip,llm_native,agent_framework,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4891,2026-09-02T07:13:16.151552+00:00,search_count_invariants_ok
32,1170821064,paperclipai/paperclip,llm_native,agent_framework,2025,2025-01-01,2025-08-31,0,0,0,0,0,0,0,0,0,0,1,4891,2026-09-02T07:13:16.151552+00:00,search_count_invariants_ok
32,1170821064,paperclipai/paperclip,llm_native,agent_framework,2026,2026-01-01,2026-08-31,3023,805,2218,9377,5487,2098,3389,3890,2171,3105,1,4891,2026-09-02T07:13:16.151552+00:00,search_count_invariants_ok
33,924058625,vllm-project/vllm-ascend,llm_native,model_infra,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4889,2026-09-02T07:13:18.355876+00:00,search_count_invariants_ok
33,924058625,vllm-project/vllm-ascend,llm_native,model_infra,2025,2025-01-01,2025-08-31,802,432,370,1855,1703,1103,600,152,32,1,1,4889,2026-09-02T07:13:18.355876+00:00,search_count_invariants_ok
33,924058625,vllm-project/vllm-ascend,llm_native,model_infra,2026,2026-01-01,2026-08-31,2440,1899,541,7422,5814,3998,1816,1608,1216,1439,1,4889,2026-09-02T07:13:18.355876+00:00,search_count_invariants_ok
34,391740664,open-metadata/OpenMetadata,mixed,model_infra,2024,2024-01-01,2024-08-31,840,873,-33,2219,2190,2070,120,29,22,0,1,4888,2026-09-02T07:13:20.130225+00:00,search_count_invariants_ok
34,391740664,open-metadata/OpenMetadata,mixed,model_infra,2025,2025-01-01,2025-08-31,1141,858,283,2774,2722,2514,208,52,106,0,1,4888,2026-09-02T07:13:20.130225+00:00,search_count_invariants_ok
34,391740664,open-metadata/OpenMetadata,mixed,model_infra,2026,2026-01-01,2026-08-31,1821,1708,113,5387,4982,4142,840,405,473,120,1,4888,2026-09-02T07:13:20.130225+00:00,search_count_invariants_ok
35,156939672,microsoft/onnxruntime,traditional,model_infra,2024,2024-01-01,2024-08-31,979,573,406,1849,1753,1525,228,96,100,29,1,4886,2026-09-02T07:13:22.027301+00:00,search_count_invariants_ok
35,156939672,microsoft/onnxruntime,traditional,model_infra,2025,2025-01-01,2025-08-31,745,2310,-1565,1818,2034,1405,629,-216,97,87,1,4886,2026-09-02T07:13:22.027301+00:00,search_count_invariants_ok
35,156939672,microsoft/onnxruntime,traditional,model_infra,2026,2026-01-01,2026-08-31,647,670,-23,2437,1924,1597,327,513,181,555,1,4886,2026-09-02T07:13:22.027301+00:00,search_count_invariants_ok
36,805155266,CherryHQ/cherry-studio,llm_native,agent_application,2024,2024-01-01,2024-08-31,36,28,8,0,0,0,0,0,0,0,1,4885,2026-09-02T07:13:24.159807+00:00,search_count_invariants_ok
36,805155266,CherryHQ/cherry-studio,llm_native,agent_application,2025,2025-01-01,2025-08-31,5967,5605,362,2513,2427,1984,443,86,16,0,1,4885,2026-09-02T07:13:24.159807+00:00,search_count_invariants_ok
36,805155266,CherryHQ/cherry-studio,llm_native,agent_application,2026,2026-01-01,2026-08-31,3492,2963,529,3914,3342,2530,812,572,916,439,1,4885,2026-09-02T07:13:24.159807+00:00,search_count_invariants_ok
37,1153130349,pingdotgg/t3code,llm_native,agent_application,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4884,2026-09-02T07:13:25.842941+00:00,search_count_invariants_ok
37,1153130349,pingdotgg/t3code,llm_native,agent_application,2025,2025-01-01,2025-08-31,0,0,0,0,0,0,0,0,0,0,1,4884,2026-09-02T07:13:25.842941+00:00,search_count_invariants_ok
37,1153130349,pingdotgg/t3code,llm_native,agent_application,2026,2026-01-01,2026-08-31,2480,1915,565,5924,3727,2147,1580,2197,523,810,1,4884,2026-09-02T07:13:25.842941+00:00,search_count_invariants_ok
38,208728772,milvus-io/milvus,traditional,agent_runtime_infra,2024,2024-01-01,2024-08-31,1877,1709,168,3787,3787,3106,681,0,85,3,1,4882,2026-09-02T07:13:27.595421+00:00,search_count_invariants_ok
38,208728772,milvus-io/milvus,traditional,agent_runtime_infra,2025,2025-01-01,2025-08-31,1657,1726,-69,2684,2720,2324,396,-36,82,4,1,4882,2026-09-02T07:13:27.595421+00:00,search_count_invariants_ok
38,208728772,milvus-io/milvus,traditional,agent_runtime_infra,2026,2026-01-01,2026-08-31,1933,1754,179,4220,3781,2940,841,439,509,334,1,4882,2026-09-02T07:13:27.595421+00:00,search_count_invariants_ok
39,1035029907,earendil-works/pi,llm_native,agent_application,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4881,2026-09-02T07:13:29.461772+00:00,search_count_invariants_ok
39,1035029907,earendil-works/pi,llm_native,agent_application,2025,2025-01-01,2025-08-31,0,0,0,0,0,0,0,0,0,0,1,4881,2026-09-02T07:13:29.461772+00:00,search_count_invariants_ok
39,1035029907,earendil-works/pi,llm_native,agent_application,2026,2026-01-01,2026-08-31,5415,5324,91,2813,2641,846,1795,172,100,63,1,4881,2026-09-02T07:13:29.461772+00:00,search_count_invariants_ok
40,90506918,NVIDIA/cudf,traditional,model_infra,2024,2024-01-01,2024-08-31,523,502,21,1501,1486,1331,155,15,106,0,1,4880,2026-09-02T07:13:31.396777+00:00,search_count_invariants_ok
40,90506918,NVIDIA/cudf,traditional,model_infra,2025,2025-01-01,2025-08-31,531,478,53,1663,1683,1463,220,-20,130,4,1,4880,2026-09-02T07:13:31.396777+00:00,search_count_invariants_ok
40,90506918,NVIDIA/cudf,traditional,model_infra,2026,2026-01-01,2026-08-31,550,440,110,2392,2338,2063,275,54,273,112,1,4880,2026-09-02T07:13:31.396777+00:00,search_count_invariants_ok
41,23496542,triton-lang/triton,traditional,model_infra,2024,2024-01-01,2024-08-31,414,197,217,1321,1292,1100,192,29,208,2,1,4878,2026-09-02T07:13:33.270845+00:00,search_count_invariants_ok
41,23496542,triton-lang/triton,traditional,model_infra,2025,2025-01-01,2025-08-31,312,202,110,2159,2106,1788,318,53,123,41,1,4878,2026-09-02T07:13:33.270845+00:00,search_count_invariants_ok
41,23496542,triton-lang/triton,traditional,model_infra,2026,2026-01-01,2026-08-31,253,189,64,2120,1831,1467,364,289,94,260,1,4878,2026-09-02T07:13:33.270845+00:00,search_count_invariants_ok
42,1156956890,zeroclaw-labs/zeroclaw,llm_native,agent_application,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4877,2026-09-02T07:13:35.590727+00:00,search_count_invariants_ok
42,1156956890,zeroclaw-labs/zeroclaw,llm_native,agent_application,2025,2025-01-01,2025-08-31,0,0,0,0,0,0,0,0,0,0,1,4877,2026-09-02T07:13:35.590727+00:00,search_count_invariants_ok
42,1156956890,zeroclaw-labs/zeroclaw,llm_native,agent_application,2026,2026-01-01,2026-08-31,2901,2400,501,6903,6470,4303,2167,433,496,300,1,4877,2026-09-02T07:13:35.590727+00:00,search_count_invariants_ok
43,826168160,docling-project/docling,mixed,model_infra,2024,2024-01-01,2024-08-31,7,2,5,49,48,48,0,1,0,0,1,4875,2026-09-02T07:13:37.694123+00:00,search_count_invariants_ok
43,826168160,docling-project/docling,mixed,model_infra,2025,2025-01-01,2025-08-31,851,454,397,401,393,309,84,8,361,0,1,4875,2026-09-02T07:13:37.694123+00:00,search_count_invariants_ok
43,826168160,docling-project/docling,mixed,model_infra,2026,2026-01-01,2026-08-31,485,333,152,745,657,517,140,88,218,78,1,4875,2026-09-02T07:13:37.694123+00:00,search_count_invariants_ok
44,46398090,datahub-project/datahub,mixed,model_infra,2024,2024-01-01,2024-08-31,273,223,50,1461,1444,1241,203,17,81,19,1,4874,2026-09-02T07:13:39.518187+00:00,search_count_invariants_ok
44,46398090,datahub-project/datahub,mixed,model_infra,2025,2025-01-01,2025-08-31,213,96,117,2138,2043,1758,285,95,129,59,1,4874,2026-09-02T07:13:39.518187+00:00,search_count_invariants_ok
