sample_rank,repo_name,snapshot_date,year,llm_native_manual,collaboration_niche,commit_sha,marker_tool,evidence_level,marker_path,blob_sha,size_bytes,tasks,content_read
4,supabase/supabase,2026-08-29,2026,traditional,agent_runtime_infra,86c813ec03e340ffbe4aeb97cd0c5bee7a0ead94,claude_code,residual_gitignore,.gitignore,aad9bf25fd49823f16c861a585ae7555586b2d12,2515,,yes
5,bytedance/deer-flow,2025-12-31,2025,llm_native,agent_framework,a71b6bc41fd80667381a9a790ecdcc99197c29cf,github_copilot,active_instruction,.github/copilot-instructions.md,a1a1910e87c676c26341c50729a7a993f3ee272b,9319,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|security_compliance|repository_context,yes
5,bytedance/deer-flow,2026-08-29,2026,llm_native,agent_framework,bf3e792a6a390e1c437b865f8b2a41c631e5c745,codex,active_instruction,AGENTS.md,84dbadfa46fbd549c9c878e6994cd61adb86b5c2,14445,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|security_compliance|repository_context,yes
5,bytedance/deer-flow,2026-08-29,2026,llm_native,agent_framework,bf3e792a6a390e1c437b865f8b2a41c631e5c745,claude_code,active_instruction,CLAUDE.md,388265f9c8f806bf467e3356ac264b571e588eca,184,implementation,yes
5,bytedance/deer-flow,2026-08-29,2026,llm_native,agent_framework,bf3e792a6a390e1c437b865f8b2a41c631e5c745,github_copilot,active_instruction,.github/copilot-instructions.md,1f3497a0ffde527b1c8b69f8f74813774db8750b,6936,implementation|tests_validation|documentation|code_review|release_dependency|security_compliance|repository_context,yes
5,bytedance/deer-flow,2026-08-29,2026,llm_native,agent_framework,bf3e792a6a390e1c437b865f8b2a41c631e5c745,cross_agent,active_config,.agent,11b777fe517681a4519412f7d64e48096e495c41,,,no
5,bytedance/deer-flow,2026-08-29,2026,llm_native,agent_framework,bf3e792a6a390e1c437b865f8b2a41c631e5c745,claude_code,residual_gitignore,.gitignore,d4649770f5e037354a865cd1c179cfa251c16a12,969,,yes
6,sgl-project/sglang,2025-12-31,2025,llm_native,model_infra,12b89e51d8d9a35c1a1b27f51d6d45256063e877,claude_code,residual_gitignore,.gitignore,6955b61508d05378cfa6f6afceda371569a51add,4139,,yes
6,sgl-project/sglang,2026-08-29,2026,llm_native,model_infra,6ff2fe6a6ad8e2af96739e381518786fb782b4ff,claude_code,active_config,.claude,7df11558232e56ba92ae556977680e1450940aa4,,,no
6,sgl-project/sglang,2026-08-29,2026,llm_native,model_infra,6ff2fe6a6ad8e2af96739e381518786fb782b4ff,claude_code,residual_gitignore,.gitignore,cd1c6325d3559c6f800216529a4146d379745542,4731,,yes
7,vllm-project/vllm,2025-12-31,2025,llm_native,model_infra,adcf682fc7d1835d037da331922751e880c8bc25,gemini,active_config,.gemini,370b5fff8cde42186b9d92f1e3b25fe8b2aa864c,,,no
7,vllm-project/vllm,2025-12-31,2025,llm_native,model_infra,adcf682fc7d1835d037da331922751e880c8bc25,claude_code,residual_gitignore,.gitignore,7cda86478664fbc366454af101a132a8f06bd3e8,3984,,yes
7,vllm-project/vllm,2025-12-31,2025,llm_native,model_infra,adcf682fc7d1835d037da331922751e880c8bc25,codex,residual_gitignore,.gitignore,7cda86478664fbc366454af101a132a8f06bd3e8,3984,,yes
7,vllm-project/vllm,2026-08-29,2026,llm_native,model_infra,06569a8696076eeae9558928b00f035ded8f8b60,cross_agent,active_instruction,AGENTS.md,a1060975b0b4232c99cf46a24e70459a1ab2f1dc,5750,implementation|tests_validation|documentation|code_review|issue_planning|security_compliance|repository_context,yes
7,vllm-project/vllm,2026-08-29,2026,llm_native,model_infra,06569a8696076eeae9558928b00f035ded8f8b60,claude_code,active_instruction,CLAUDE.md,43c994c2d3617f947bcb5adf1933e21dabe46bb5,11,,yes
7,vllm-project/vllm,2026-08-29,2026,llm_native,model_infra,06569a8696076eeae9558928b00f035ded8f8b60,cross_agent,active_config,.agents,c9d9f8d982f478e53b1075082361a66f866a741e,,,no
7,vllm-project/vllm,2026-08-29,2026,llm_native,model_infra,06569a8696076eeae9558928b00f035ded8f8b60,claude_code,active_config,.claude,4f52da639600cf2029f70343fac4bcc30f0cc884,,,no
7,vllm-project/vllm,2026-08-29,2026,llm_native,model_infra,06569a8696076eeae9558928b00f035ded8f8b60,gemini,active_config,.gemini,370b5fff8cde42186b9d92f1e3b25fe8b2aa864c,,,no
7,vllm-project/vllm,2026-08-29,2026,llm_native,model_infra,06569a8696076eeae9558928b00f035ded8f8b60,claude_code,residual_gitignore,.gitignore,46418c03924e67bfa3c9c3e295ddd5e85fd53c98,4696,,yes
7,vllm-project/vllm,2026-08-29,2026,llm_native,model_infra,06569a8696076eeae9558928b00f035ded8f8b60,codex,residual_gitignore,.gitignore,46418c03924e67bfa3c9c3e295ddd5e85fd53c98,4696,,yes
7,vllm-project/vllm,2026-08-29,2026,llm_native,model_infra,06569a8696076eeae9558928b00f035ded8f8b60,cursor,residual_gitignore,.gitignore,46418c03924e67bfa3c9c3e295ddd5e85fd53c98,4696,,yes
8,larksuite/cli,2026-08-29,2026,mixed,agent_runtime_infra,6646386e0996b1ff5df640bccff834a20bcb203b,cross_agent,active_instruction,AGENTS.md,d177bf92f23b8e6fb15c05b47f542c955d193fa1,13387,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|security_compliance|repository_context,yes
9,volcengine/OpenViking,2026-08-29,2026,llm_native,agent_runtime_infra,cd8580c6f8a50ec44593618b3102799ab0b553fd,cross_agent,active_config,.agents,1f25d43032779d68865c635a0d643c6b86b9831b,,,no
9,volcengine/OpenViking,2026-08-29,2026,llm_native,agent_runtime_infra,cd8580c6f8a50ec44593618b3102799ab0b553fd,claude_code,residual_gitignore,.gitignore,284be03ab72f731bf0139f198f805caa4a8e7cc8,3249,,yes
9,volcengine/OpenViking,2026-08-29,2026,llm_native,agent_runtime_infra,cd8580c6f8a50ec44593618b3102799ab0b553fd,codex,residual_gitignore,.gitignore,284be03ab72f731bf0139f198f805caa4a8e7cc8,3249,,yes
9,volcengine/OpenViking,2026-08-29,2026,llm_native,agent_runtime_infra,cd8580c6f8a50ec44593618b3102799ab0b553fd,roo_code,residual_gitignore,.gitignore,284be03ab72f731bf0139f198f805caa4a8e7cc8,3249,,yes
10,openai/codex,2025-12-31,2025,llm_native,agent_application,13c42a077c88a0d04ae7680a9891d2daf4558577,codex,active_instruction,AGENTS.md,e924ceeae1b6fc0318a4768da48aa6d27dea9ddb,8357,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|repository_context,yes
10,openai/codex,2025-12-31,2025,llm_native,agent_application,13c42a077c88a0d04ae7680a9891d2daf4558577,claude_code,residual_gitignore,.gitignore,07bc15ccdd12490627464df6f479e48888fa2747,870,,yes
10,openai/codex,2025-12-31,2025,llm_native,agent_application,13c42a077c88a0d04ae7680a9891d2daf4558577,codex,residual_gitignore,.gitignore,07bc15ccdd12490627464df6f479e48888fa2747,870,,yes
10,openai/codex,2026-08-29,2026,llm_native,agent_application,f4f85add41288c2059dc1a4326a598f739e47fe9,codex,active_instruction,AGENTS.md,faa57cc0db48123e1011f1eb47692cd3bbbcfc3a,22519,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|repository_context,yes
10,openai/codex,2026-08-29,2026,llm_native,agent_application,f4f85add41288c2059dc1a4326a598f739e47fe9,codex,active_config,.codex,4197dacb9c16ffc115bdd8fd6e1d0d5aaf3930ee,,,no
10,openai/codex,2026-08-29,2026,llm_native,agent_application,f4f85add41288c2059dc1a4326a598f739e47fe9,claude_code,residual_gitignore,.gitignore,dbcd8633154a13966c231033a6c07ad8be169c73,931,,yes
10,openai/codex,2026-08-29,2026,llm_native,agent_application,f4f85add41288c2059dc1a4326a598f739e47fe9,codex,residual_gitignore,.gitignore,dbcd8633154a13966c231033a6c07ad8be169c73,931,,yes
11,ollama/ollama,2026-08-29,2026,llm_native,model_infra,f96e7aa0513b9973a0ccc71be414c2ecb9d65b1a,cross_agent,active_instruction,AGENTS.md,0656d6aa2c0e508c46bbb7e0d29f9b4d467355a6,358,documentation|repository_context,yes
11,ollama/ollama,2026-08-29,2026,llm_native,model_infra,f96e7aa0513b9973a0ccc71be414c2ecb9d65b1a,claude_code,active_instruction,CLAUDE.md,d6a1d4b60f82167f7c7af66b7a7b16c838d72040,84,repository_context,yes
12,langchain-ai/deepagents,2025-12-31,2025,llm_native,agent_framework,bed960cc93c96d2c32093016bb66c445eedb6053,claude_code,residual_gitignore,.gitignore,ccbf3ee5a909f15a6a29b3db2252884886cc0121,4740,,yes
12,langchain-ai/deepagents,2025-12-31,2025,llm_native,agent_framework,bed960cc93c96d2c32093016bb66c445eedb6053,cursor,residual_gitignore,.gitignore,ccbf3ee5a909f15a6a29b3db2252884886cc0121,4740,,yes
12,langchain-ai/deepagents,2026-08-29,2026,llm_native,agent_framework,f90d4fe114efe1de1e3d8dd8e5aee5b9f631093d,cross_agent,active_instruction,AGENTS.md,d59a0b1e2b762cb0670f2a0ed7ba99fb3f23a15e,10038,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|security_compliance|repository_context,yes
12,langchain-ai/deepagents,2026-08-29,2026,llm_native,agent_framework,f90d4fe114efe1de1e3d8dd8e5aee5b9f631093d,cross_agent,active_config,.agents,b43e2681455adb67e2bf3c2206d9c80dc12e4aaf,,,no
12,langchain-ai/deepagents,2026-08-29,2026,llm_native,agent_framework,f90d4fe114efe1de1e3d8dd8e5aee5b9f631093d,claude_code,residual_gitignore,.gitignore,82b70a4a7f456836eee8f19ebdb2cede3586f47c,5732,,yes
12,langchain-ai/deepagents,2026-08-29,2026,llm_native,agent_framework,f90d4fe114efe1de1e3d8dd8e5aee5b9f631093d,cursor,residual_gitignore,.gitignore,82b70a4a7f456836eee8f19ebdb2cede3586f47c,5732,,yes
13,anomalyco/opencode,2025-12-31,2025,llm_native,agent_application,63d2b21b8fd89ee11282be7a62479b0ba2ae3f0c,cross_agent,active_instruction,AGENTS.md,7fc710f6de27a6f6c0b42d6f977cbed41828a62a,236,implementation|tests_validation|repository_context,yes
13,anomalyco/opencode,2026-08-29,2026,llm_native,agent_application,df35e842f59bc115bb7c0479a8e11f017d443f2c,cross_agent,active_instruction,AGENTS.md,cd2327e888119bb084895b615f5abc8f81afcc3f,8748,implementation|tests_validation|documentation|code_review|issue_planning|repository_context,yes
13,anomalyco/opencode,2026-08-29,2026,llm_native,agent_application,df35e842f59bc115bb7c0479a8e11f017d443f2c,codex,residual_gitignore,.gitignore,006cab8c276c34cb832b5eba1bb7a64d2d57bc72,312,,yes
14,flashinfer-ai/flashinfer,2025-12-31,2025,llm_native,model_infra,747b0cb190810323d157926f8645ac7a90e6740a,claude_code,active_instruction,CLAUDE.md,c32554bd3c40239947a923d110dbe4d98877dd4f,21687,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|repository_context,yes
14,flashinfer-ai/flashinfer,2025-12-31,2025,llm_native,model_infra,747b0cb190810323d157926f8645ac7a90e6740a,claude_code,active_config,.claude,9ff1885958e4c3e18e747a20efc24624c14a6069,,,no
14,flashinfer-ai/flashinfer,2026-08-29,2026,llm_native,model_infra,93f4f2642e1b3680a52ebb51cf68e0fdad237796,cross_agent,active_instruction,AGENTS.md,16ba17adbf4c1f7eea915a5aec8b7804d379a52d,190,tests_validation|repository_context,yes
14,flashinfer-ai/flashinfer,2026-08-29,2026,llm_native,model_infra,93f4f2642e1b3680a52ebb51cf68e0fdad237796,claude_code,active_instruction,CLAUDE.md,ea0e51fd35903b899e5edc48e9f3a88edd74f1e4,39425,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|repository_context,yes
14,flashinfer-ai/flashinfer,2026-08-29,2026,llm_native,model_infra,93f4f2642e1b3680a52ebb51cf68e0fdad237796,claude_code,active_config,.claude,71404473c4defd95f0a29666256e25f9d2902592,,,no
14,flashinfer-ai/flashinfer,2026-08-29,2026,llm_native,model_infra,93f4f2642e1b3680a52ebb51cf68e0fdad237796,cursor,residual_gitignore,.gitignore,46d8eb1b8430156c97f6729293eb47ee083fb14e,4024,,yes
15,NVIDIA/TensorRT-LLM,2025-12-31,2025,llm_native,model_infra,1bbe71b3eda577a652049c0b2276a34855fc654f,roo_code,residual_gitignore,.gitignore,7f7ffd18c670fa2ce7b65bc0f5d741189c6c19c0,1795,,yes
15,NVIDIA/TensorRT-LLM,2026-08-29,2026,llm_native,model_infra,a662631a313424fed8cfb1bf80494b63c15ad4ca,cross_agent,active_instruction,AGENTS.md,51853d3a963bb35e76b1985b7faaf56ec30cf4de,11916,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|repository_context,yes
15,NVIDIA/TensorRT-LLM,2026-08-29,2026,llm_native,model_infra,a662631a313424fed8cfb1bf80494b63c15ad4ca,claude_code,active_instruction,CLAUDE.md,40c6cf85d526201312149044f64ea82e39674f44,28,,yes
15,NVIDIA/TensorRT-LLM,2026-08-29,2026,llm_native,model_infra,a662631a313424fed8cfb1bf80494b63c15ad4ca,claude_code,active_config,.claude,565e78e1eef0ef4daa2f1d52cafb125731930088,,,no
15,NVIDIA/TensorRT-LLM,2026-08-29,2026,llm_native,model_infra,a662631a313424fed8cfb1bf80494b63c15ad4ca,codex,active_config,.codex,79e9bfbb1b8ca2df2551e1c2da8aa107e92d217d,,,no
15,NVIDIA/TensorRT-LLM,2026-08-29,2026,llm_native,model_infra,a662631a313424fed8cfb1bf80494b63c15ad4ca,claude_code,residual_gitignore,.gitignore,fd757612a86fb656279528360bc98fd8bf1e6545,2863,,yes
15,NVIDIA/TensorRT-LLM,2026-08-29,2026,llm_native,model_infra,a662631a313424fed8cfb1bf80494b63c15ad4ca,cursor,residual_gitignore,.gitignore,fd757612a86fb656279528360bc98fd8bf1e6545,2863,,yes
15,NVIDIA/TensorRT-LLM,2026-08-29,2026,llm_native,model_infra,a662631a313424fed8cfb1bf80494b63c15ad4ca,roo_code,residual_gitignore,.gitignore,fd757612a86fb656279528360bc98fd8bf1e6545,2863,,yes
16,anthropics/claude-code,2025-12-31,2025,llm_native,agent_application,d213a74fc8e3b6efded52729196e0c2d4c3abb3e,claude_code,active_config,.claude,fc3160166d8dccffbcd164ee13a420f8a6520e2b,,,no
16,anthropics/claude-code,2026-08-29,2026,llm_native,agent_application,92bb6850f1bb51f4d18b03b23d643642f9d687b6,claude_code,active_config,.claude,7192b67355d0a34bfe94e8102160f59158c6249f,,,no
18,ai-dynamo/dynamo,2025-12-31,2025,llm_native,model_infra,0b33c1dfa0c1c88b4c728e600aa62a1be594b0c6,claude_code,residual_gitignore,.gitignore,e30aeac660449c3694d0aba61defec751b3a2e04,1532,,yes
18,ai-dynamo/dynamo,2025-12-31,2025,llm_native,model_infra,0b33c1dfa0c1c88b4c728e600aa62a1be594b0c6,cursor,residual_gitignore,.gitignore,e30aeac660449c3694d0aba61defec751b3a2e04,1532,,yes
18,ai-dynamo/dynamo,2026-08-29,2026,llm_native,model_infra,ff18f7210d9909d824b41193e1a58bb77e87d1c8,codex,active_instruction,AGENTS.md,8accb88844b5ce54ee9ef3fac587a82f22a2c4b4,15846,implementation|tests_validation|documentation|code_review|issue_planning|repository_context,yes
18,ai-dynamo/dynamo,2026-08-29,2026,llm_native,model_infra,ff18f7210d9909d824b41193e1a58bb77e87d1c8,claude_code,active_instruction,CLAUDE.md,43c994c2d3617f947bcb5adf1933e21dabe46bb5,11,,yes
18,ai-dynamo/dynamo,2026-08-29,2026,llm_native,model_infra,ff18f7210d9909d824b41193e1a58bb77e87d1c8,cross_agent,active_config,.agents,2ab35b20e07acacd0a36f8523573dc76cc02608a,,,no
18,ai-dynamo/dynamo,2026-08-29,2026,llm_native,model_infra,ff18f7210d9909d824b41193e1a58bb77e87d1c8,claude_code,active_config,.claude,db7303d7253e65d1b1ca5eb38dc6c91e72b18b1a,,,no
18,ai-dynamo/dynamo,2026-08-29,2026,llm_native,model_infra,ff18f7210d9909d824b41193e1a58bb77e87d1c8,codex,active_config,.codex,8a80e0d23db368b72a294445ee44ba48e8f358e7,,,no
18,ai-dynamo/dynamo,2026-08-29,2026,llm_native,model_infra,ff18f7210d9909d824b41193e1a58bb77e87d1c8,claude_code,residual_gitignore,.gitignore,b57f4e416ab665e63ceee925b8ee563ed0460038,3603,,yes
18,ai-dynamo/dynamo,2026-08-29,2026,llm_native,model_infra,ff18f7210d9909d824b41193e1a58bb77e87d1c8,codex,residual_gitignore,.gitignore,b57f4e416ab665e63ceee925b8ee563ed0460038,3603,,yes
18,ai-dynamo/dynamo,2026-08-29,2026,llm_native,model_infra,ff18f7210d9909d824b41193e1a58bb77e87d1c8,cursor,residual_gitignore,.gitignore,b57f4e416ab665e63ceee925b8ee563ed0460038,3603,,yes
18,ai-dynamo/dynamo,2026-08-29,2026,llm_native,model_infra,ff18f7210d9909d824b41193e1a58bb77e87d1c8,roo_code,residual_gitignore,.gitignore,b57f4e416ab665e63ceee925b8ee563ed0460038,3603,,yes
19,apache/airflow,2025-12-31,2025,traditional,model_infra,c51e9e1dcb86c3c68948375a8e6e6a376595475d,cross_agent,active_instruction,AGENTS.md,b9de2f776d8966fbdd21200197da0cf0d2b385ed,3143,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|security_compliance|repository_context,yes
19,apache/airflow,2025-12-31,2025,traditional,model_infra,c51e9e1dcb86c3c68948375a8e6e6a376595475d,cursor,residual_gitignore,.gitignore,f6b75398a752f133ea4c3d129f3ae6923e658039,4228,,yes
19,apache/airflow,2026-08-29,2026,traditional,model_infra,9d54ac94826d8f46c0d6d1032ee7d9988e562d70,codex,active_instruction,AGENTS.md,c414057ac1fef074f2c0fea9a700b7d69a8afe0b,35849,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|security_compliance|repository_context,yes
19,apache/airflow,2026-08-29,2026,traditional,model_infra,9d54ac94826d8f46c0d6d1032ee7d9988e562d70,claude_code,active_instruction,CLAUDE.md,47dc3e3d863cfb5727b87d785d09abf9743c0a72,9,,yes
19,apache/airflow,2026-08-29,2026,traditional,model_infra,9d54ac94826d8f46c0d6d1032ee7d9988e562d70,github_copilot,active_instruction,.github/instructions,c0a58e31b7519be985da025ab1c4babc7e30b49f,,,no
19,apache/airflow,2026-08-29,2026,traditional,model_infra,9d54ac94826d8f46c0d6d1032ee7d9988e562d70,cross_agent,active_config,.agents,d75f09c4d726e58cad9973465e00d9788116d512,,,no
19,apache/airflow,2026-08-29,2026,traditional,model_infra,9d54ac94826d8f46c0d6d1032ee7d9988e562d70,claude_code,active_config,.claude,74cee022a93c3a1eeb4d70c448610969fedc1c15,,,no
