study_stage,panel_year,stage_start,stage_end,sample_rank,repo_name,llm_native_manual,collaboration_niche,agent_proximity,item_type,number,node_id,html_url,state,outcome,created_at,updated_at,closed_at,merged_at,author_login,author_github_type,author_association,author_initial_class,performed_via_github_app,ai_disclosure_candidate,ai_disclosure_evidence,comments_count,labels,population_items,selected_items,inclusion_probability,sampling_weight,frame_min_number,frame_max_number,sampling_seed,sampling_method,collected_at
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,2057,I_kwDOOYsS4c7FBkjH,https://github.com/openai/codex/issues/2057,closed,closed,2025-08-09T01:12:00Z,2025-08-19T04:32:48Z,2025-08-19T04:32:48Z,,SinkHoleLabs,User,NONE,human_account,,no,,29,bug|windows-os,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,2749,PR_kwDOOYsS4c6liJ9N,https://github.com/openai/codex/pull/2749,closed,merged,2025-08-27T05:27:46Z,2025-08-27T05:53:10Z,2025-08-27T05:53:00Z,2025-08-27T05:53:00Z,gpeal,User,CONTRIBUTOR,human_account,,no,,0,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,2477,PR_kwDOOYsS4c6kY_8F,https://github.com/openai/codex/pull/2477,closed,merged,2025-08-20T00:19:31Z,2025-08-20T19:16:09Z,2025-08-20T19:16:01Z,2025-08-20T19:16:01Z,dylan-hurd-oai,User,CONTRIBUTOR,human_account,,no,,1,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,2596,PR_kwDOOYsS4c6k94IY,https://github.com/openai/codex/pull/2596,closed,closed_unmerged,2025-08-22T22:45:19Z,2025-10-30T05:11:05Z,2025-10-30T05:10:57Z,,dylan-hurd-oai,User,CONTRIBUTOR,human_account,,no,,1,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,1882,I_kwDOOYsS4c7Ec3lF,https://github.com/openai/codex/issues/1882,closed,closed,2025-08-06T09:09:56Z,2025-10-07T12:26:46Z,2025-10-07T12:26:46Z,,MauScheff,User,NONE,human_account,,no,,3,enhancement,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,1926,PR_kwDOOYsS4c6ihDWR,https://github.com/openai/codex/pull/1926,closed,merged,2025-08-07T06:11:01Z,2025-08-07T06:23:07Z,2025-08-07T06:22:58Z,2025-08-07T06:22:58Z,ae-openai,User,CONTRIBUTOR,human_account,,no,,0,codex,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,1128,PR_kwDOOYsS4c6XufiC,https://github.com/openai/codex/pull/1128,closed,closed_unmerged,2025-05-27T07:11:16Z,2025-05-27T07:49:28Z,2025-05-27T07:49:16Z,,chengyitang,User,NONE,human_account,,no,,0,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,1019,I_kwDOOYsS4c63HUyJ,https://github.com/openai/codex/issues/1019,closed,closed,2025-05-19T00:05:03Z,2025-08-07T17:32:01Z,2025-08-07T17:32:01Z,,vannarho-fas,User,NONE,human_account,,no,,2,bug,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,958,PR_kwDOOYsS4c6Wf2r4,https://github.com/openai/codex/pull/958,closed,merged,2025-05-16T16:36:27Z,2025-05-16T16:42:38Z,2025-05-16T16:42:27Z,2025-05-16T16:42:27Z,bolinfest,User,COLLABORATOR,human_account,,no,,0,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,2571,PR_kwDOOYsS4c6ky0ni,https://github.com/openai/codex/pull/2571,closed,merged,2025-08-22T01:29:39Z,2025-08-22T02:58:14Z,2025-08-22T02:58:07Z,2025-08-22T02:58:07Z,dylan-hurd-oai,User,CONTRIBUTOR,human_account,,no,,1,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,1688,I_kwDOOYsS4c7Conl4,https://github.com/openai/codex/issues/1688,closed,closed,2025-07-26T10:45:47Z,2025-07-29T19:49:49Z,2025-07-29T19:48:06Z,,jackmhny,User,NONE,human_account,,no,,4,bug,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,2480,I_kwDOOYsS4c7G20N3,https://github.com/openai/codex/issues/2480,open,open,2025-08-20T01:32:40Z,2025-11-05T05:10:19Z,,,Soorma718,User,NONE,human_account,,no,,11,azure|documentation,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,1185,PR_kwDOOYsS4c6YXxNs,https://github.com/openai/codex/pull/1185,closed,merged,2025-05-31T06:56:30Z,2025-05-31T06:57:15Z,2025-05-31T06:57:05Z,2025-05-31T06:57:05Z,bolinfest,User,COLLABORATOR,human_account,,no,,0,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,2633,PR_kwDOOYsS4c6lEe-1,https://github.com/openai/codex/pull/2633,closed,merged,2025-08-24T00:55:26Z,2025-08-24T18:11:02Z,2025-08-24T18:10:54Z,2025-08-24T18:10:54Z,nornagon-openai,User,CONTRIBUTOR,human_account,,no,,3,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,2043,PR_kwDOOYsS4c6i1Oty,https://github.com/openai/codex/pull/2043,closed,merged,2025-08-08T22:09:51Z,2025-08-08T22:18:03Z,2025-08-08T22:17:54Z,2025-08-08T22:17:54Z,bolinfest,User,COLLABORATOR,human_account,,no,,0,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,1120,I_kwDOOYsS4c64PPQ1,https://github.com/openai/codex/issues/1120,closed,closed,2025-05-26T12:12:04Z,2025-08-12T05:33:47Z,2025-08-12T05:33:47Z,,doggy8088,User,NONE,human_account,,no,,1,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,2413,PR_kwDOOYsS4c6kDHbm,https://github.com/openai/codex/pull/2413,closed,closed_unmerged,2025-08-18T07:33:18Z,2025-08-28T23:48:17Z,2025-08-28T23:48:08Z,,seratch,User,MEMBER,human_account,,no,,1,documentation,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,2482,I_kwDOOYsS4c7G249s,https://github.com/openai/codex/issues/2482,closed,closed,2025-08-20T01:43:08Z,2025-08-20T01:47:13Z,2025-08-20T01:46:32Z,,ishibashi-futos,User,NONE,human_account,,no,,1,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,1927,PR_kwDOOYsS4c6ihm2K,https://github.com/openai/codex/pull/1927,closed,closed_unmerged,2025-08-07T07:13:16Z,2025-08-12T05:04:57Z,2025-08-12T05:04:49Z,,ReubenNarad,User,CONTRIBUTOR,human_account,,no,,2,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,2481,PR_kwDOOYsS4c6kZgHg,https://github.com/openai/codex/pull/2481,closed,closed_unmerged,2025-08-20T01:33:59Z,2025-08-20T03:32:16Z,2025-08-20T03:32:08Z,,dedrisian-oai,User,CONTRIBUTOR,human_account,,no,,1,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,26286,PR_kwDOOYsS4c7ifRwR,https://github.com/openai/codex/pull/26286,closed,closed_unmerged,2026-06-04T01:47:21Z,2026-06-04T10:51:32Z,2026-06-04T10:51:32Z,,winston-openai,User,CONTRIBUTOR,human_account,,no,,4,,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,22198,PR_kwDOOYsS4c7aZhNb,https://github.com/openai/codex/pull/22198,closed,merged,2026-05-11T19:41:49Z,2026-05-12T00:01:25Z,2026-05-11T23:58:36Z,2026-05-11T23:58:36Z,mzeng-openai,User,CONTRIBUTOR,human_account,,no,,0,,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,38763,I_kwDOOYsS4c8AAAABM4rflA,https://github.com/openai/codex/issues/38763,open,open,2026-08-15T14:04:00Z,2026-08-26T12:20:34Z,,,ChrisZhangWG,User,NONE,human_account,,no,,4,bug|rate-limits|session,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,29161,I_kwDOOYsS4c8AAAABGG1tNQ,https://github.com/openai/codex/issues/29161,open,open,2026-06-20T02:22:55Z,2026-06-23T23:46:19Z,,,JasonJJQ,User,NONE,human_account,,no,,1,app|enhancement,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,34574,I_kwDOOYsS4c8AAAABJoIk0w,https://github.com/openai/codex/issues/34574,open,open,2026-07-21T16:33:50Z,2026-07-21T16:34:34Z,,,mberthelier94,User,NONE,human_account,,no,,0,app|bug|custom-model|session,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,33650,I_kwDOOYsS4c8AAAABJFT1sw,https://github.com/openai/codex/issues/33650,open,open,2026-07-16T17:34:33Z,2026-07-29T04:48:02Z,,,KHStrategyLab,User,NONE,human_account,chatgpt-codex-connector,no,,3,app|app-server|bug|windows-os,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,35868,I_kwDOOYsS4c8AAAABKk2Jvg,https://github.com/openai/codex/issues/35868,open,open,2026-07-29T02:11:31Z,2026-08-09T13:08:48Z,,,yousizaitianqiong,User,NONE,human_account,,no,,1,app|bug|pets|windows-os,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,26187,I_kwDOOYsS4c8AAAABERWnEw,https://github.com/openai/codex/issues/26187,open,open,2026-06-03T16:09:38Z,2026-08-26T19:05:41Z,,,simfor99,User,NONE,human_account,,no,,4,app|bug|imagen|windows-os,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,28653,I_kwDOOYsS4c8AAAABFvJnYA,https://github.com/openai/codex/issues/28653,closed,closed,2026-06-17T04:06:27Z,2026-07-06T21:30:50Z,2026-07-06T21:30:50Z,,milanglacier,User,NONE,human_account,,no,,1,CLI|TUI|enhancement,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,23686,I_kwDOOYsS4c8AAAABC2dvNQ,https://github.com/openai/codex/issues/23686,open,open,2026-05-20T12:13:31Z,2026-06-07T03:00:08Z,,,qiutao20,User,NONE,human_account,,no,,11,bug|codex-web|rate-limits,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,27909,I_kwDOOYsS4c8AAAABFTkMEQ,https://github.com/openai/codex/issues/27909,open,open,2026-06-12T16:46:53Z,2026-08-08T12:36:44Z,,,sirchojin,User,NONE,human_account,,no,,2,CLI|TUI|agent|bug,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,31831,I_kwDOOYsS4c8AAAABIQIFIA,https://github.com/openai/codex/issues/31831,closed,closed,2026-07-09T18:10:50Z,2026-08-04T04:29:22Z,2026-08-04T04:29:22Z,,mustafa0x,User,NONE,human_account,,no,,31,CLI|bug|tool-calls,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,34865,I_kwDOOYsS4c8AAAABJ1YavA,https://github.com/openai/codex/issues/34865,open,open,2026-07-23T02:51:15Z,2026-08-05T07:41:31Z,,,leeys-dnulbo,User,NONE,human_account,,no,,5,CLI|bug|rate-limits,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,40961,PR_kwDOOYsS4c8AAAABBHwN7A,https://github.com/openai/codex/pull/40961,closed,merged,2026-08-26T19:38:45Z,2026-08-26T19:41:13Z,2026-08-26T19:41:03Z,2026-08-26T19:41:03Z,copyberry[bot],Bot,NONE,automation_bot,,no,,0,,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,32670,I_kwDOOYsS4c8AAAABIkHdSA,https://github.com/openai/codex/issues/32670,open,open,2026-07-13T01:52:25Z,2026-07-14T23:17:51Z,,,EarFrog,User,NONE,human_account,chatgpt-codex-connector,no,,3,app|bug|connectivity,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,28122,PR_kwDOOYsS4c7mJFMk,https://github.com/openai/codex/pull/28122,closed,merged,2026-06-13T21:54:09Z,2026-06-14T06:07:54Z,2026-06-14T06:07:47Z,2026-06-14T06:07:47Z,anp-oai,User,CONTRIBUTOR,human_account,,no,,0,,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,22881,I_kwDOOYsS4c8AAAABCZu7WA,https://github.com/openai/codex/issues/22881,open,open,2026-05-15T18:40:36Z,2026-05-15T18:56:43Z,,,Ranco7,User,NONE,human_account,,no,,0,app|bug,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,39433,I_kwDOOYsS4c8AAAABNVeiBg,https://github.com/openai/codex/issues/39433,closed,closed,2026-08-19T07:05:19Z,2026-08-19T07:10:06Z,2026-08-19T07:10:06Z,,mijatovicmilan,User,NONE,human_account,chatgpt-codex-connector,no,,1,app|bug,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,30676,PR_kwDOOYsS4c7sFfGq,https://github.com/openai/codex/pull/30676,closed,closed_unmerged,2026-06-30T05:57:24Z,2026-07-08T01:10:28Z,2026-07-08T01:10:28Z,,apanasenko-oai,User,CONTRIBUTOR,human_account,,no,,0,,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,41276,I_kwDOOYsS4c8AAAABOmuooA,https://github.com/openai/codex/issues/41276,open,open,2026-08-28T05:45:49Z,2026-08-28T05:47:04Z,,,cxy7988,User,NONE,human_account,chatgpt-codex-connector,no,,1,app|app-server|bug,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,31873,I_kwDOOYsS4c8AAAABIQ0gHg,https://github.com/openai/codex/issues/31873,open,open,2026-07-09T19:58:44Z,2026-07-18T15:48:57Z,,,ikhristich,User,NONE,human_account,,no,,5,CLI|TUI|bug,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,27576,I_kwDOOYsS4c8AAAABFIS8Cw,https://github.com/openai/codex/issues/27576,closed,closed,2026-06-11T09:40:38Z,2026-06-11T09:44:40Z,2026-06-11T09:44:40Z,,simfor99,User,NONE,human_account,,no,,3,CLI|bug|performance|windows-os,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,36062,I_kwDOOYsS4c8AAAABKvFf_Q,https://github.com/openai/codex/issues/36062,open,open,2026-07-30T02:27:03Z,2026-07-30T02:27:46Z,,,briandepardo,User,NONE,human_account,,no,,0,app|bug|session,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,23023,I_kwDOOYsS4c8AAAABCdcsTA,https://github.com/openai/codex/issues/23023,closed,closed,2026-05-16T13:45:44Z,2026-05-16T16:34:41Z,2026-05-16T16:34:41Z,,Kikyo18,User,NONE,human_account,,no,,1,app|bug,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
year_2026_m5_m8,2026,2026-05-01,2026-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,39889,I_kwDOOYsS4c8AAAABNqpt0g,https://github.com/openai/codex/issues/39889,open,open,2026-08-21T08:28:16Z,2026-08-21T08:29:35Z,,,NI-MingCheng,User,NONE,human_account,,no,,1,app|bug|windows-os,14774,30,0.00203059,492.466667,20536,41437,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:18.180342+00:00
