sample_rank,repo_name,snapshot_at,llm_native_manual,collaboration_niche,agent_proximity,archived,is_fork,default_branch,default_branch_commit,has_issues,has_discussions,has_pull_requests,pull_request_creation_policy,pull_request_creation_access,pull_endpoint_status,pull_endpoint_checks,pull_surface_observed,contributing_paths,governance_paths,issue_template_paths,pull_request_template_paths,contribution_policy_signal,contribution_policy_evidence,scan_status,error
18,ai-dynamo/dynamo,2026-08-29T10:10:50.867666+00:00,llm_native,model_infra,supporting_infrastructure,false,false,main,5e1241ac06a803be6970e9e1619e1dbe9b47c7e1,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
19,apache/airflow,2026-08-29T10:10:52.621509+00:00,traditional,model_infra,supporting_infrastructure,false,false,main,82215cf97c7c96fd3cdc413be17f9692513b8374,true,true,true,ALL,anyone_can_create,200,200,yes,,GOVERNANCE.md,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
20,BerriAI/litellm,2026-08-29T10:10:54.656813+00:00,llm_native,model_infra,supporting_infrastructure,false,false,litellm_internal_staging,efe51daf5bcd6f3cd92473b34c8123289d341dfe,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,explicit_invitation,CONTRIBUTING.md: we welcome contributions | CONTRIBUTING.md: open a pull request,ok,
21,ggml-org/llama.cpp,2026-08-29T10:10:56.557200+00:00,llm_native,model_infra,supporting_infrastructure,false,false,master,cc83d7b4824f73cfdda4dfbb47ee39804f71b328,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
22,n8n-io/n8n,2026-08-29T10:10:59.155760+00:00,mixed,agent_framework,agent_building,false,false,master,d3900d81afab6e0d1e085f3d1b2047199ba08305,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
23,ray-project/ray,2026-08-29T10:11:00.825321+00:00,traditional,model_infra,supporting_infrastructure,false,false,master,5cb244bc600c0fb4252d23616b21d5e0bad9ff6f,true,false,true,ALL,anyone_can_create,200,200,yes,,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
24,apache/spark,2026-08-29T10:11:02.419379+00:00,traditional,model_infra,supporting_infrastructure,false,false,master,024120dc960517021a887b51865220f544340362,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,,,no_explicit_signal,,ok,
25,coder/coder,2026-08-29T10:11:04.135247+00:00,mixed,agent_runtime_infra,supporting_infrastructure,false,false,main,8bf271c5030fdc0cd06ab1d3c0f5714712a1c8d5,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
26,vercel/ai,2026-08-29T10:11:06.217851+00:00,llm_native,agent_framework,agent_building,false,false,main,1c6854096fbe9aa55ae59cfa2bdee03d55e95c8e,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,explicit_invitation,CONTRIBUTING.md: open a pull request,ok,
27,mastra-ai/mastra,2026-08-29T10:11:08.001859+00:00,llm_native,agent_framework,agent_building,false,false,main,75dd419e613fe9c39f846ffc500716141b74fda6,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md|docs/CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,explicit_invitation,CONTRIBUTING.md: we welcome contributions | CONTRIBUTING.md: open a pull request | docs/CONTRIBUTING.md: we welcome contributions,ok,
28,vllm-project/vllm-omni,2026-08-29T10:11:09.594185+00:00,llm_native,model_infra,supporting_infrastructure,false,false,main,a5b8c827887cf75e039f09452f4ac885c26f0234,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
29,QwenLM/qwen-code,2026-08-29T10:11:11.597987+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,866b7fe9a63c4c9a164cc27882147449a8c1aea6,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
30,langgenius/dify,2026-08-29T10:11:13.842696+00:00,llm_native,agent_framework,agent_building,false,false,main,1264d29a4fec34229ceeb93421038146946c809d,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
31,warpdotdev/warp,2026-08-29T10:11:15.408237+00:00,mixed,agent_application,direct_agent_experience,false,false,master,066ec71b736fc3755e29f58f733deadbdac3d1af,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
32,paperclipai/paperclip,2026-08-29T10:11:17.757792+00:00,llm_native,agent_framework,agent_building,false,false,master,35fca95626a04f5a7ec42cf95989c3d779a1687e,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
33,vllm-project/vllm-ascend,2026-08-29T10:11:19.353658+00:00,llm_native,model_infra,supporting_infrastructure,false,false,main,a1affe4d3218f292c2c79c6d7666877efe526cbb,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
34,open-metadata/OpenMetadata,2026-08-29T10:11:21.355257+00:00,mixed,model_infra,supporting_infrastructure,false,false,main,ba06d99e96a56fc7f625ed27aa3467bb51f4fa5e,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
35,microsoft/onnxruntime,2026-08-29T10:11:22.882684+00:00,traditional,model_infra,supporting_infrastructure,false,false,main,cd13bdd819dcbdb9e0be2e8c38d2698ae2e56097,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,explicit_invitation,CONTRIBUTING.md: submit a pull request | CONTRIBUTING.md: open a pull request,ok,
36,CherryHQ/cherry-studio,2026-08-29T10:11:24.747773+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,fca101235da8d759a543b5352e68f8556c9fd62e,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
37,pingdotgg/t3code,2026-08-29T10:11:26.272944+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,053affbed2659f90cd1b1efaaa7a75865c4131c7,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
38,milvus-io/milvus,2026-08-29T10:11:28.024625+00:00,traditional,agent_runtime_infra,supporting_infrastructure,false,false,master,bb410984514a20182d6c3837f3f115289574e6fa,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,,no_explicit_signal,,ok,
39,earendil-works/pi,2026-08-29T10:11:30.225368+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,853a80d26c90a14c1886f0ebb8ffaae133ca2185,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,,explicit_invitation,CONTRIBUTING.md: contributions are welcome,ok,
40,NVIDIA/cudf,2026-08-29T10:11:31.847895+00:00,traditional,model_infra,supporting_infrastructure,false,false,main,d658f9497a88f5b9abd1099f1bc70a4e699e7a5c,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
41,triton-lang/triton,2026-08-29T10:11:33.610346+00:00,traditional,model_infra,supporting_infrastructure,false,false,main,9628c80f2b854b74a07fdf0138b7ed6ccee70b07,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
42,zeroclaw-labs/zeroclaw,2026-08-29T10:11:35.333916+00:00,llm_native,agent_application,direct_agent_experience,false,false,master,e40f153fadd36d969ac279466f69f2e746cf90d1,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
43,docling-project/docling,2026-08-29T10:11:37.456401+00:00,mixed,model_infra,supporting_infrastructure,false,false,main,d2283addd8b20d8f27dcf8e5f97b958165cbe7ca,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
44,datahub-project/datahub,2026-08-29T10:11:39.474650+00:00,mixed,model_infra,supporting_infrastructure,false,false,master,7d5cedd5f82e1e9608b08073dce7873ec26de248,true,false,true,ALL,anyone_can_create,200,200,yes,docs/CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,explicit_invitation,docs/CONTRIBUTING.md: open a pull request,ok,
45,lobehub/lobehub,2026-08-29T10:11:41.114525+00:00,llm_native,agent_application,direct_agent_experience,false,false,canary,3280844f5d46c9c64cc2e5e4e4081a436233b3a1,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,explicit_invitation,CONTRIBUTING.md: open a pull request,ok,
46,AstrBotDevs/AstrBot,2026-08-29T10:11:42.705466+00:00,llm_native,agent_application,direct_agent_experience,false,false,master,d2d7e5aefd2f9471d211974e7e193f321e0ebe0a,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
47,HKUDS/nanobot,2026-08-29T10:11:44.418892+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,65f2a6dbf56f71560bd94c848368797fbb3b97f8,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,,no_explicit_signal,,ok,
48,NVIDIA/Model-Optimizer,2026-08-29T10:11:46.021616+00:00,mixed,model_infra,supporting_infrastructure,false,false,main,022767c7ab3d7d36211affd85e5c496770cde768,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,explicit_invitation,CONTRIBUTING.md: submit a pull request,ok,
49,cline/cline,2026-08-29T10:11:47.967930+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,cea134be06cbb60af4a7341ddc065c3b8be6be86,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
50,OpenHands/software-agent-sdk,2026-08-29T10:11:49.735524+00:00,llm_native,agent_framework,agent_building,false,false,main,9d143aac35c2dcec9cbb046ff9f35ac5eb072f6a,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
51,agentscope-ai/QwenPaw,2026-08-29T10:11:51.485612+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,1a4f4d8a9c29753002172c044a166b04136bd37f,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,explicit_invitation,CONTRIBUTING.md: submit a pull request,ok,
52,NVIDIA-NeMo/RL,2026-08-29T10:11:53.233325+00:00,llm_native,model_infra,supporting_infrastructure,false,false,main,46dfb92fb5ceed5b2d593d652361b10d0acc6ef6,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
53,pydantic/pydantic-ai,2026-08-29T10:11:55.097779+00:00,llm_native,agent_framework,agent_building,false,false,main,6aee1c09bd065725ff14f21a15f731b0c3c88e0c,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md|docs/contributing.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
54,google-gemini/gemini-cli,2026-08-29T10:11:57.717109+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,0bd1d439751478771c45d3d0895a6a9760554bf4,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md|docs/CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,explicit_invitation,CONTRIBUTING.md: open a pull request,ok,
55,apache/iceberg,2026-08-29T10:11:59.509855+00:00,traditional,model_infra,supporting_infrastructure,false,false,main,0abea5bc1aa5cfa5919805b43574916833b5a371,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,,no_explicit_signal,,ok,
56,infiniflow/ragflow,2026-08-29T10:12:01.151679+00:00,llm_native,agent_runtime_infra,supporting_infrastructure,false,false,main,862ee95df256d589f9b7c158b2340251fef64121,true,true,true,ALL,anyone_can_create,200,200,yes,,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
57,wandb/wandb,2026-08-29T10:12:02.787849+00:00,traditional,model_infra,supporting_infrastructure,false,false,main,6f309f86d90a88b7dfe407958305bdefd82138fa,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
58,agno-agi/agno,2026-08-29T10:12:04.721986+00:00,mixed,agent_framework,agent_building,false,false,main,c96291cbd0f644774d48a398c30101e90c947354,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,explicit_invitation,CONTRIBUTING.md: we welcome contributions | CONTRIBUTING.md: submit a pull request,ok,
59,Kilo-Org/kilocode,2026-08-29T10:12:06.735053+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,5e02825c8c5318912e39fe0ceee46793589fae3f,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
60,a2ui-project/a2ui,2026-08-29T10:12:08.367849+00:00,llm_native,agent_runtime_infra,supporting_infrastructure,false,false,main,d9086fb73fb5ab535780b6af47a7440096d5785f,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,explicit_invitation,CONTRIBUTING.md: submit a pull request,ok,
61,omnigent-ai/omnigent,2026-08-29T10:12:10.145042+00:00,llm_native,agent_framework,agent_building,false,false,main,27967a94bbcc345afd321e816b2e7bc2dd8b1d0a,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
62,activepieces/activepieces,2026-08-29T10:12:11.982634+00:00,mixed,agent_framework,agent_building,false,false,main,217380c40e2a3c138cbf461b6f4bd442e3decf2b,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
63,NVIDIA/Megatron-LM,2026-08-29T10:12:13.609552+00:00,llm_native,model_infra,supporting_infrastructure,false,false,main,eb26b52878b217ae19963a96ac35f9f1569629b3,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
64,diegosouzapw/OmniRoute,2026-08-29T10:12:15.451446+00:00,llm_native,model_infra,supporting_infrastructure,false,false,release/v3.8.51,c705147de20ed72742248504c97f35d86c2d28b6,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,explicit_invitation,CONTRIBUTING.md: open a pull request,ok,
65,mlflow/mlflow,2026-08-29T10:12:17.006662+00:00,mixed,model_infra,supporting_infrastructure,false,false,master,6edb615f55e34625fdf024f7a227fa01a4ef6f35,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
66,CopilotKit/CopilotKit,2026-08-29T10:12:18.664521+00:00,llm_native,agent_framework,agent_building,false,false,main,b995233a4d897f828be9e22e6f90cb4121d35ac8,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,explicit_invitation,CONTRIBUTING.md: submit a pull request,ok,
67,langfuse/langfuse,2026-08-29T10:12:20.155462+00:00,llm_native,agent_runtime_infra,supporting_infrastructure,false,false,main,f6e56cbb6c6c001805e90c263efca995a3fd33ba,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,explicit_invitation,CONTRIBUTING.md: we welcome contributions,ok,
68,multica-ai/multica,2026-08-29T10:12:22.225797+00:00,llm_native,agent_framework,agent_building,false,false,main,64ec7f54163d918d5d7fd4dcae857f241b7842d0,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
69,coze-dev/coze-loop,2026-08-29T10:12:24.253350+00:00,llm_native,agent_runtime_infra,supporting_infrastructure,false,false,main,7469d17189644e8bed294d9dde1dfbfeca9a9e49,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
70,IBM/mcp-context-forge,2026-08-29T10:12:26.816047+00:00,llm_native,agent_runtime_infra,supporting_infrastructure,false,false,main,555a9f3be253290151ac51ed45fbdca4565f132b,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
71,NVIDIA/OpenShell,2026-08-29T10:12:28.571011+00:00,llm_native,agent_runtime_infra,supporting_infrastructure,false,false,main,69a05ebb3b154e304a66fe80eed8504e889abc6d,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,explicit_invitation,CONTRIBUTING.md: open a pull request,ok,
72,farion1231/cc-switch,2026-08-29T10:12:30.557395+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,3217f72596f2d1c0f879f0a05f83803825d9809f,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
73,Comfy-Org/ComfyUI,2026-08-29T10:12:32.663908+00:00,traditional,agent_framework,agent_building,false,false,master,e7051b03758a1247e3adb84a5b784ffacb9a23bd,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,,no_explicit_signal,,ok,
74,stablyai/orca,2026-08-29T10:12:34.426813+00:00,llm_native,agent_framework,agent_building,false,false,main,fb6c2800ee46fbd9eb5341d475c20a791a4562df,true,true,true,ALL,anyone_can_create,200,200,yes,.github/CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
75,unslothai/unsloth,2026-08-29T10:12:36.063637+00:00,llm_native,model_infra,supporting_infrastructure,false,false,main,e1653bcd1da874466da48ee5360ff60fc10d7973,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,,no_explicit_signal,,ok,
76,langchain-ai/langchain,2026-08-29T10:12:37.728986+00:00,llm_native,agent_framework,agent_building,false,false,master,5893459c4f2bfac6c8d3262cae1e3f2246d9287f,true,true,true,ALL,anyone_can_create,200,200,yes,,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
77,openvinotoolkit/openvino,2026-08-29T10:12:39.476878+00:00,traditional,model_infra,supporting_infrastructure,false,false,master,f5f594dc0c9e5961785f0d17743486d52eac87e7,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
78,microsoft/agent-framework,2026-08-29T10:12:41.221457+00:00,llm_native,agent_framework,agent_building,false,false,main,edfe115ea06bca57ae5a123d0fac5b3fdda13603,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
