repo_name,llm_native_manual,collaboration_niche,strict_2025,strict_2026,strict_transition,any_active_2025,any_active_2026,any_active_transition
supabase/supabase,traditional,agent_runtime_infra,true,true,retained,true,true,retained
triton-lang/triton,traditional,model_infra,false,true,added,false,true,added
unslothai/unsloth,llm_native,model_infra,false,false,none,false,false,none
vercel/ai,llm_native,agent_framework,false,true,added,false,true,added
verl-project/verl,llm_native,model_infra,false,true,added,true,true,retained
vllm-project/vllm,llm_native,model_infra,false,true,added,true,true,retained
vllm-project/vllm-ascend,llm_native,model_infra,false,true,added,true,true,retained
vllm-project/vllm-omni,llm_native,model_infra,false,false,none,false,true,added
wandb/wandb,traditional,model_infra,false,false,none,false,false,none
weaviate/weaviate,traditional,agent_runtime_infra,false,true,added,false,true,added
