study_stage,stage_start,stage_end,sample_rank,repo_name,llm_native_manual,collaboration_niche,agent_proximity,item_type,number,node_id,html_url,state,outcome,created_at,updated_at,closed_at,merged_at,author_login,author_github_type,author_association,author_initial_class,performed_via_github_app,ai_disclosure_candidate,ai_disclosure_evidence,comments_count,labels,population_items,selected_items,inclusion_probability,sampling_weight,frame_min_number,frame_max_number,sampling_seed,sampling_method,collected_at
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,1383,I_kwDOOYsS4c69UCKK,https://github.com/openai/codex/issues/1383,closed,closed,2025-06-25T15:48:13Z,2025-06-27T03:53:37Z,2025-06-27T03:53:37Z,,TankiClassic25,User,NONE,human_account,,no,,2,bug,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,221,PR_kwDOOYsS4c6S9oYo,https://github.com/openai/codex/pull/221,closed,merged,2025-04-17T09:38:33Z,2025-04-17T18:47:46Z,2025-04-17T14:14:12Z,2025-04-17T14:14:12Z,ensorrow,User,CONTRIBUTOR,human_account,,no,,5,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,889,PR_kwDOOYsS4c6VtkCm,https://github.com/openai/codex/pull/889,closed,closed_unmerged,2025-05-10T21:11:01Z,2025-10-03T20:23:55Z,2025-05-14T18:18:15Z,,fouad-openai,User,CONTRIBUTOR,human_account,,no,,1,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,1358,I_kwDOOYsS4c68qxkE,https://github.com/openai/codex/issues/1358,closed,closed,2025-06-21T18:54:56Z,2025-07-25T23:16:31Z,2025-07-25T23:16:31Z,,Tamir-Schwarz,User,NONE,human_account,,no,,3,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,1308,I_kwDOOYsS4c67EDTe,https://github.com/openai/codex/issues/1308,closed,closed,2025-06-12T00:14:07Z,2025-08-07T17:34:22Z,2025-08-07T17:34:22Z,,joshuacox,User,NONE,human_account,,no,,2,bug,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,9,I_kwDOOYsS4c6y1N9W,https://github.com/openai/codex/issues/9,closed,closed,2025-04-16T17:31:15Z,2025-08-07T17:49:36Z,2025-08-07T17:49:36Z,,asmeurer,User,NONE,human_account,,no,,13,enhancement,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,839,PR_kwDOOYsS4c6VLZni,https://github.com/openai/codex/pull/839,closed,closed_unmerged,2025-05-06T22:22:15Z,2025-05-20T18:18:04Z,2025-05-20T18:17:54Z,,oscarsalvador,User,NONE,human_account,,no,,3,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,242,PR_kwDOOYsS4c6TASZX,https://github.com/openai/codex/pull/242,closed,closed_unmerged,2025-04-17T15:00:14Z,2025-04-21T04:21:37Z,2025-04-21T04:21:27Z,,sidfeels,User,NONE,human_account,,no,,5,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,74,I_kwDOOYsS4c6y2FeW,https://github.com/openai/codex/issues/74,closed,closed,2025-04-16T19:13:48Z,2026-08-10T03:55:52Z,2025-04-25T16:52:54Z,,shirhatti,User,NONE,human_account,,no,,5,enhancement,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,1402,PR_kwDOOYsS4c6cXCex,https://github.com/openai/codex/pull/1402,closed,merged,2025-06-27T06:32:14Z,2025-06-27T17:37:19Z,2025-06-27T17:37:12Z,2025-06-27T17:37:12Z,gpeal,User,CONTRIBUTOR,human_account,,no,,0,codex,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,1035,PR_kwDOOYsS4c6Wyl-P,https://github.com/openai/codex/pull/1035,closed,closed_unmerged,2025-05-19T21:43:54Z,2025-05-21T22:42:22Z,2025-05-21T22:42:13Z,,iqrecycling,User,NONE,human_account,,no,,2,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,1022,PR_kwDOOYsS4c6WpHp3,https://github.com/openai/codex/pull/1022,closed,closed_unmerged,2025-05-19T02:16:43Z,2025-08-07T01:50:27Z,2025-08-07T01:50:20Z,,appleboy,User,NONE,human_account,,no,,3,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,1459,I_kwDOOYsS4c6-zt3E,https://github.com/openai/codex/issues/1459,closed,closed,2025-07-04T04:01:03Z,2025-07-08T01:23:38Z,2025-07-08T01:23:38Z,,jruokola,User,NONE,human_account,,no,,2,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,638,PR_kwDOOYsS4c6T2Hq1,https://github.com/openai/codex/pull/638,closed,merged,2025-04-25T01:03:25Z,2025-04-25T01:06:07Z,2025-04-25T01:05:57Z,2025-04-25T01:05:57Z,bolinfest,User,COLLABORATOR,human_account,,no,,0,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,753,PR_kwDOOYsS4c6UiCqF,https://github.com/openai/codex/pull/753,closed,merged,2025-04-30T16:20:32Z,2025-04-30T18:03:21Z,2025-04-30T18:03:10Z,2025-04-30T18:03:10Z,bolinfest,User,COLLABORATOR,human_account,,no,,0,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,484,PR_kwDOOYsS4c6TU-gU,https://github.com/openai/codex/pull/484,closed,merged,2025-04-21T17:57:02Z,2025-04-21T21:53:21Z,2025-04-21T21:53:10Z,2025-04-21T21:53:10Z,dnakov,User,CONTRIBUTOR,human_account,,no,,0,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,223,PR_kwDOOYsS4c6S9vJy,https://github.com/openai/codex/pull/223,closed,merged,2025-04-17T09:51:39Z,2025-04-19T14:44:07Z,2025-04-17T14:18:43Z,2025-04-17T14:18:43Z,khossdev,User,CONTRIBUTOR,human_account,,no,,1,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,7028,PR_kwDOOYsS4c60sO7x,https://github.com/openai/codex/pull/7028,closed,merged,2025-11-20T21:14:17Z,2025-11-20T22:37:52Z,2025-11-20T22:37:43Z,2025-11-20T22:37:43Z,aibrahim-oai,User,CONTRIBUTOR,human_account,,no,,0,,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,8162,PR_kwDOOYsS4c65TOsZ,https://github.com/openai/codex/pull/8162,closed,closed_unmerged,2025-12-17T06:45:31Z,2025-12-17T17:37:23Z,2025-12-17T17:37:22Z,,RealXuChe,User,NONE,human_account,,no,,4,,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,5457,I_kwDOOYsS4c7SzCtt,https://github.com/openai/codex/issues/5457,closed,closed,2025-10-21T13:32:55Z,2026-04-16T12:56:41Z,2026-02-21T23:31:43Z,,luizlf,User,NONE,human_account,,no,,3,TUI|bug,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,5177,I_kwDOOYsS4c7ReHJa,https://github.com/openai/codex/issues/5177,closed,closed,2025-10-14T15:00:54Z,2025-11-15T02:29:24Z,2025-11-15T02:29:24Z,,SpyrosBou,User,NONE,human_account,,no,,2,bug,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,4046,I_kwDOOYsS4c7NHRiP,https://github.com/openai/codex/issues/4046,closed,closed,2025-09-22T14:18:43Z,2025-10-22T05:26:21Z,2025-10-22T05:26:21Z,,sudarshan227,User,NONE,human_account,,no,,7,enhancement|extension,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,4613,I_kwDOOYsS4c7PTju0,https://github.com/openai/codex/issues/4613,closed,closed,2025-10-02T15:43:54Z,2025-10-09T00:01:52Z,2025-10-09T00:01:52Z,,dellis23,User,NONE,human_account,,no,,20,bug|windows-os,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,4212,I_kwDOOYsS4c7NwIlo,https://github.com/openai/codex/issues/4212,open,open,2025-09-25T05:23:07Z,2026-08-18T03:45:35Z,,,cpjet64,User,CONTRIBUTOR,human_account,,no,,44,bug|sandbox|windows-os,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,8182,PR_kwDOOYsS4c65XkP5,https://github.com/openai/codex/pull/8182,closed,merged,2025-12-17T13:09:57Z,2025-12-17T13:55:37Z,2025-12-17T13:55:13Z,2025-12-17T13:55:13Z,jif-oai,User,CONTRIBUTOR,human_account,,no,,0,,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,5846,I_kwDOOYsS4c7UP_lX,https://github.com/openai/codex/issues/5846,closed,closed,2025-10-28T10:53:03Z,2026-02-11T05:47:21Z,2025-11-11T00:09:10Z,,cmyk,User,NONE,human_account,,no,,6,bug|model-behavior,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,8220,PR_kwDOOYsS4c65eg7h,https://github.com/openai/codex/pull/8220,closed,merged,2025-12-18T00:21:45Z,2025-12-18T02:48:37Z,2025-12-18T02:48:28Z,2025-12-18T02:48:28Z,xl-openai,User,CONTRIBUTOR,human_account,,no,,1,,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,4421,I_kwDOOYsS4c7Oae0p,https://github.com/openai/codex/issues/4421,closed,closed,2025-09-29T03:16:15Z,2025-10-03T23:27:13Z,2025-10-01T00:13:12Z,,eddyg,User,NONE,human_account,,no,,7,bug,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,8342,I_kwDOOYsS4c7fdFjA,https://github.com/openai/codex/issues/8342,closed,closed,2025-12-19T21:29:18Z,2026-08-06T02:27:16Z,2026-08-06T02:27:16Z,,baron,User,NONE,human_account,,no,,6,enhancement|mcp,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,3072,PR_kwDOOYsS4c6minf9,https://github.com/openai/codex/pull/3072,closed,closed_unmerged,2025-09-02T22:20:24Z,2025-09-03T00:29:23Z,2025-09-03T00:29:14Z,,aibrahim-oai,User,CONTRIBUTOR,human_account,,no,,0,,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,5299,PR_kwDOOYsS4c6uYrIX,https://github.com/openai/codex/pull/5299,closed,closed_unmerged,2025-10-17T20:58:58Z,2025-10-17T21:29:31Z,2025-10-17T21:29:21Z,,kulesh,User,NONE,human_account,,no,,2,,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,4478,PR_kwDOOYsS4c6rNydQ,https://github.com/openai/codex/pull/4478,closed,merged,2025-09-30T00:50:13Z,2025-09-30T01:38:13Z,2025-09-30T01:38:05Z,2025-09-30T01:38:05Z,pakrym-oai,User,CONTRIBUTOR,human_account,,no,,0,,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,6048,I_kwDOOYsS4c7VI8zi,https://github.com/openai/codex/issues/6048,closed,closed,2025-10-31T17:57:31Z,2025-11-03T04:19:57Z,2025-11-03T04:19:56Z,,rgodha24,User,CONTRIBUTOR,human_account,,no,,4,bug,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,4463,PR_kwDOOYsS4c6rL3me,https://github.com/openai/codex/pull/4463,closed,closed_unmerged,2025-09-29T20:46:16Z,2025-09-29T20:46:47Z,2025-09-29T20:46:38Z,,andrescoto-cpu,User,NONE,human_account,,no,,2,,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,5244,I_kwDOOYsS4c7R1fwk,https://github.com/openai/codex/issues/5244,closed,closed,2025-10-16T06:11:25Z,2025-11-11T00:06:18Z,2025-11-11T00:06:18Z,,BenJackGill,User,NONE,human_account,,no,,2,bug|model-behavior,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,5168,I_kwDOOYsS4c7Ra8mQ,https://github.com/openai/codex/issues/5168,closed,closed,2025-10-14T11:29:52Z,2025-10-16T05:48:12Z,2025-10-16T05:48:12Z,,ai-da-stas,User,NONE,human_account,,no,,1,bug,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,6430,I_kwDOOYsS4c7W46OZ,https://github.com/openai/codex/issues/6430,closed,closed,2025-11-09T17:16:40Z,2025-11-10T18:29:17Z,2025-11-10T18:29:17Z,,takemiyamakoto,User,NONE,human_account,,no,,2,bug|model-behavior,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,8467,I_kwDOOYsS4c7f4ojC,https://github.com/openai/codex/issues/8467,closed,closed,2025-12-23T05:58:15Z,2026-04-11T18:19:40Z,2025-12-23T08:05:09Z,,yunfengsay,User,NONE,human_account,,no,,3,bug|connectivity,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,8148,I_kwDOOYsS4c7euv_c,https://github.com/openai/codex/issues/8148,closed,closed,2025-12-17T00:13:27Z,2026-03-14T04:32:31Z,2026-03-14T04:32:31Z,,guidedways,User,CONTRIBUTOR,human_account,,no,,1,code-review|enhancement,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,4996,I_kwDOOYsS4c7Qku4m,https://github.com/openai/codex/issues/4996,closed,closed,2025-10-09T13:53:55Z,2025-12-02T08:05:12Z,2025-12-02T08:05:12Z,,FreddyE1982,User,NONE,human_account,,no,,1,codex-web|enhancement,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,4456,PR_kwDOOYsS4c6rKpT2,https://github.com/openai/codex/pull/4456,closed,merged,2025-09-29T18:51:29Z,2025-09-29T20:06:17Z,2025-09-29T20:06:08Z,2025-09-29T20:06:08Z,dedrisian-oai,User,CONTRIBUTOR,human_account,,no,,0,,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,8361,I_kwDOOYsS4c7fg743,https://github.com/openai/codex/issues/8361,closed,closed,2025-12-20T11:07:21Z,2026-05-20T01:14:31Z,2026-02-28T15:27:35Z,,styler-ai,User,NONE,human_account,,no,,17,CLI|auth|enhancement,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,6120,I_kwDOOYsS4c7VYgw4,https://github.com/openai/codex/issues/6120,closed,closed,2025-11-02T21:13:10Z,2025-11-02T22:23:33Z,2025-11-02T22:23:33Z,,schmittjoh,User,NONE,human_account,,no,,2,enhancement,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,6410,I_kwDOOYsS4c7W1iP_,https://github.com/openai/codex/issues/6410,closed,closed,2025-11-09T02:32:38Z,2026-03-23T21:54:25Z,2026-01-23T17:19:50Z,,AL-Cybision,User,NONE,human_account,,no,,16,bug|extension,3642,30,0.00823723,121.4,3003,8646,260829,uniform_issue_number_rejection_sample,2026-08-29T09:05:02.270380+00:00
