study_stage,stage_start,stage_end,sample_rank,repo_name,llm_native_manual,collaboration_niche,agent_proximity,item_type,number,html_url,outcome,created_at,closed_at,merged_at,author_login,author_association,opener_class,explicit_ai_assistance_disclosure,known_automation_bot_present,agent_participation_present,coding_agent_present,review_agent_present,support_or_security_agent_present,conventional_automation_present,agent_participation_opened_thread,agent_participation_response_present,agent_review_event_present,human_account_review_event_present,maintainer_account_review_event_present,agent_change_request_present,human_account_change_request_present,agent_gate_event_present,agent_visible_events,identity_candidate_present,human_account_present_any,human_account_present_in_conversation,maintainer_account_present,automation_only_visible_thread,response_only_automation,no_human_account_response,no_maintainer_account_response,visible_response_events,comments,reviews,changes_requested_reviews,review_observed,post_review_commit_observed,change_request_observed,change_request_followed_by_commit,conversation_actor_count,conversation_class_switches,first_visible_response_hours,first_human_account_response_hours,first_maintainer_account_response_hours,commits,commits_after_first_review,gate_actor_login,gate_actor_class,gate_actor_role,gate_actor_association,human_account_gate,maintainer_account_gate,agent_gate,external_author,fixed_maturity_eligible,resolution_days,sampling_weight
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,51,https://github.com/openai/codex/issues/51,closed,2025-04-16T18:35:50Z,2025-04-16T18:45:08Z,,heymaaz,NONE,human_account,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,no,no,no,1,1,0,0,no,no,no,no,2,0,0.155,0.155,0.155,0,0,tibo-openai,human_account,not_automation,COLLABORATOR,yes,yes,no,yes,yes,0.006,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,1918,https://github.com/openai/codex/issues/1918,closed,2025-08-07T03:33:41Z,2025-08-07T18:46:35Z,,caibirdme,NONE,human_account,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,no,no,no,2,2,0,0,no,no,no,no,3,0,3.034,3.034,15.215,0,0,bolinfest,human_account,not_automation,COLLABORATOR,yes,yes,no,yes,yes,0.634,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,1039,https://github.com/openai/codex/issues/1039,closed,2025-05-20T01:35:06Z,2025-08-07T18:53:56Z,,gamergenic,NONE,human_account,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,yes,yes,yes,no,no,no,no,yes,5,5,0,0,no,no,no,no,6,1,17.764,17.764,,0,0,codex-maintainers,candidate_review,not_automation,NONE,no,no,no,yes,yes,79.721,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,1383,https://github.com/openai/codex/issues/1383,closed,2025-06-25T15:48:13Z,2025-06-27T03:53:37Z,,TankiClassic25,NONE,human_account,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,no,no,no,2,2,0,0,no,no,no,no,2,0,0.33,0.33,0.33,0,0,bolinfest,human_account,not_automation,COLLABORATOR,yes,yes,no,yes,yes,1.504,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,221,https://github.com/openai/codex/pull/221,merged,2025-04-17T09:38:33Z,2025-04-17T14:14:12Z,2025-04-17T14:14:12Z,ensorrow,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,no,no,no,4,5,0,0,no,no,no,no,4,2,0.004,4.594,4.594,2,0,tibo-openai,human_account,not_automation,COLLABORATOR,yes,yes,no,yes,yes,0.191,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,889,https://github.com/openai/codex/pull/889,closed_unmerged,2025-05-10T21:11:01Z,2025-05-14T18:18:15Z,,fouad-openai,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,0,no,yes,yes,yes,no,no,no,no,10,8,4,1,yes,no,yes,no,2,0,46.835,46.835,46.835,4,0,fouad-openai,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,3.88,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,1358,https://github.com/openai/codex/issues/1358,closed,2025-06-21T18:54:56Z,2025-07-25T23:16:31Z,,Tamir-Schwarz,NONE,human_account,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,no,no,no,1,3,0,0,no,no,no,no,2,0,385.354,385.354,385.354,0,0,bolinfest,human_account,not_automation,COLLABORATOR,yes,yes,no,yes,yes,34.182,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,1308,https://github.com/openai/codex/issues/1308,closed,2025-06-12T00:14:07Z,2025-08-07T17:34:22Z,,joshuacox,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,yes,yes,yes,no,no,no,no,yes,2,2,0,0,no,no,no,no,3,1,500.652,500.652,,0,0,codex-maintainers,candidate_review,not_automation,NONE,no,no,no,yes,yes,56.722,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,9,https://github.com/openai/codex/issues/9,closed,2025-04-16T17:31:15Z,2025-08-07T17:49:36Z,,asmeurer,NONE,human_account,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,0,yes,yes,yes,yes,no,no,no,no,11,13,0,0,no,no,no,no,10,1,0.457,0.457,4.063,0,0,codex-maintainers,candidate_review,not_automation,NONE,no,no,no,yes,yes,113.013,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,839,https://github.com/openai/codex/pull/839,closed_unmerged,2025-05-06T22:22:15Z,2025-05-20T18:17:54Z,,oscarsalvador,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,yes,yes,yes,1,3,0,0,no,no,no,no,2,2,0.003,,,5,0,oscarsalvador,human_account,not_automation,NONE,yes,no,no,yes,yes,13.83,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,242,https://github.com/openai/codex/pull/242,closed_unmerged,2025-04-17T15:00:14Z,2025-04-21T04:21:27Z,,sidfeels,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,no,no,no,3,5,0,0,no,no,no,no,4,2,0.003,0.12,0.12,1,0,fouad-openai,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,3.556,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,74,https://github.com/openai/codex/issues/74,closed,2025-04-16T19:13:48Z,2025-04-25T16:52:54Z,,shirhatti,NONE,human_account,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,yes,yes,yes,yes,no,no,no,no,4,5,0,0,no,no,no,no,3,0,0.343,0.343,0.343,0,0,tibo-openai,human_account,not_automation,COLLABORATOR,yes,yes,no,yes,yes,8.902,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,1402,https://github.com/openai/codex/pull/1402,merged,2025-06-27T06:32:14Z,2025-06-27T17:37:12Z,2025-06-27T17:37:12Z,gpeal,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,0,no,yes,yes,yes,no,no,no,no,2,1,1,0,yes,yes,no,no,2,0,10.399,10.399,10.399,3,1,gpeal,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,0.462,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,1035,https://github.com/openai/codex/pull/1035,closed_unmerged,2025-05-19T21:43:54Z,2025-05-21T22:42:13Z,,iqrecycling,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,2,2,0,0,no,no,no,no,3,2,0.003,5.083,,1,0,iqrecycling,human_account,not_automation,NONE,yes,no,no,yes,yes,2.04,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,1022,https://github.com/openai/codex/pull/1022,closed_unmerged,2025-05-19T02:16:43Z,2025-08-07T01:50:20Z,,appleboy,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,yes,yes,yes,no,no,unknown,yes,yes,2,3,0,0,no,no,no,no,3,3,0.003,,,6,0,codex-maintainers,candidate_review,not_automation,NONE,no,no,no,yes,yes,79.982,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,1459,https://github.com/openai/codex/issues/1459,closed,2025-07-04T04:01:03Z,2025-07-08T01:23:38Z,,jruokola,NONE,human_account,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,no,no,no,2,2,0,0,no,no,no,no,3,0,3.54,3.54,93.376,0,0,bolinfest,human_account,not_automation,COLLABORATOR,yes,yes,no,yes,yes,3.891,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,638,https://github.com/openai/codex/pull/638,merged,2025-04-25T01:03:25Z,2025-04-25T01:05:57Z,2025-04-25T01:05:57Z,bolinfest,COLLABORATOR,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,unknown,yes,yes,0,0,0,0,no,no,no,no,1,0,,,,1,0,bolinfest,human_account,not_automation,COLLABORATOR,yes,yes,no,no,yes,0.002,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,753,https://github.com/openai/codex/pull/753,merged,2025-04-30T16:20:32Z,2025-04-30T18:03:10Z,2025-04-30T18:03:10Z,bolinfest,COLLABORATOR,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,unknown,yes,yes,0,0,0,0,no,no,no,no,1,0,,,,1,0,bolinfest,human_account,not_automation,COLLABORATOR,yes,yes,no,no,yes,0.071,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,484,https://github.com/openai/codex/pull/484,merged,2025-04-21T17:57:02Z,2025-04-21T21:53:10Z,2025-04-21T21:53:10Z,dnakov,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,1,0,1,0,yes,no,no,no,2,0,3.934,3.934,,1,0,fouad-openai,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,0.164,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,223,https://github.com/openai/codex/pull/223,merged,2025-04-17T09:51:39Z,2025-04-17T14:18:43Z,2025-04-17T14:18:43Z,khossdev,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,no,no,no,1,1,0,0,no,no,no,no,2,0,4.45,4.45,4.45,4,0,tibo-openai,human_account,not_automation,COLLABORATOR,yes,yes,no,yes,yes,0.185,68.233333
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,7028,https://github.com/openai/codex/pull/7028,merged,2025-11-20T21:14:17Z,2025-11-20T22:37:43Z,2025-11-20T22:37:43Z,aibrahim-oai,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,1,0,1,0,yes,no,no,no,2,0,0.843,0.843,,2,0,aibrahim-oai,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,0.058,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,8162,https://github.com/openai/codex/pull/8162,closed_unmerged,2025-12-17T06:45:31Z,2025-12-17T17:37:22Z,,RealXuChe,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,2,4,0,0,no,no,no,no,3,2,0.003,10.864,,1,0,etraut-openai,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,0.453,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,5457,https://github.com/openai/codex/issues/5457,closed,2025-10-21T13:32:55Z,2026-02-21T23:31:43Z,,luizlf,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,3,3,0,0,no,no,no,no,3,0,2381.556,2381.556,,0,0,etraut-openai,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,123.416,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,5177,https://github.com/openai/codex/issues/5177,closed,2025-10-14T15:00:54Z,2025-11-15T02:29:24Z,,SpyrosBou,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,2,2,0,0,no,no,no,no,3,2,0.052,755.475,,0,0,etraut-openai,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,31.478,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,4046,https://github.com/openai/codex/issues/4046,closed,2025-09-22T14:18:43Z,2025-10-22T05:26:21Z,,sudarshan227,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,7,7,0,0,no,no,no,no,7,0,4.371,4.371,,0,0,gpeal,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,29.63,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,4613,https://github.com/openai/codex/issues/4613,closed,2025-10-02T15:43:54Z,2025-10-09T00:01:52Z,,dellis23,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,15,20,0,0,no,no,no,no,11,0,1.839,1.839,,0,0,gpeal,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,6.346,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,4212,https://github.com/openai/codex/issues/4212,open,2025-09-25T05:23:07Z,,,cpjet64,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,44,44,0,0,no,no,no,no,38,0,33.789,33.789,,0,0,,,,,no,no,no,yes,yes,,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,8182,https://github.com/openai/codex/pull/8182,merged,2025-12-17T13:09:57Z,2025-12-17T13:55:13Z,2025-12-17T13:55:13Z,jif-oai,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,unknown,yes,yes,0,0,0,0,no,no,no,no,1,0,,,,2,0,jif-oai,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,0.031,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,5846,https://github.com/openai/codex/issues/5846,closed,2025-10-28T10:53:03Z,2025-11-11T00:09:10Z,,cmyk,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,6,6,0,0,no,no,no,no,6,2,0.033,20.881,,0,0,etraut-openai,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,13.553,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,8220,https://github.com/openai/codex/pull/8220,merged,2025-12-18T00:21:45Z,2025-12-18T02:48:28Z,2025-12-18T02:48:28Z,xl-openai,CONTRIBUTOR,human_account,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,2,yes,yes,yes,no,no,no,no,yes,15,11,8,0,yes,yes,no,no,4,2,0.392,0.392,,2,1,xl-openai,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,0.102,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,4421,https://github.com/openai/codex/issues/4421,closed,2025-09-29T03:16:15Z,2025-10-01T00:13:12Z,,eddyg,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,5,7,0,0,no,no,no,no,5,0,7.616,7.616,,0,0,linear[bot],automation_bot,conventional_automation,,no,no,no,yes,yes,1.873,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,8342,https://github.com/openai/codex/issues/8342,closed,2025-12-19T21:29:18Z,2026-08-06T02:27:16Z,,baron,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,5,6,0,0,no,no,no,no,6,0,193.269,193.269,,0,0,etraut-openai,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,229.207,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,3072,https://github.com/openai/codex/pull/3072,closed_unmerged,2025-09-02T22:20:24Z,2025-09-03T00:29:14Z,,aibrahim-oai,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,unknown,yes,yes,0,0,0,0,no,no,no,no,1,0,,,,3,0,aibrahim-oai,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,0.089,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,5299,https://github.com/openai/codex/pull/5299,closed_unmerged,2025-10-17T20:58:58Z,2025-10-17T21:29:21Z,,kulesh,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,yes,yes,yes,1,2,0,0,no,no,no,no,2,2,0.003,,,1,0,kulesh,human_account,not_automation,NONE,yes,no,no,yes,yes,0.021,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,4478,https://github.com/openai/codex/pull/4478,merged,2025-09-30T00:50:13Z,2025-09-30T01:38:05Z,2025-09-30T01:38:05Z,pakrym-oai,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,0,no,yes,yes,yes,no,no,no,no,1,0,1,0,yes,no,no,no,2,0,0.769,0.769,0.769,2,0,pakrym-oai,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,0.033,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,6048,https://github.com/openai/codex/issues/6048,closed,2025-10-31T17:57:31Z,2025-11-03T04:19:56Z,,rgodha24,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,3,4,0,0,no,no,no,no,3,2,0.036,57.891,,0,0,etraut-openai,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,2.432,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,4463,https://github.com/openai/codex/pull/4463,closed_unmerged,2025-09-29T20:46:16Z,2025-09-29T20:46:38Z,,andrescoto-cpu,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,yes,yes,yes,1,2,0,0,no,no,no,no,2,2,0.004,,,1,0,andrescoto-cpu,human_account,not_automation,NONE,yes,no,no,yes,yes,0.0,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,5244,https://github.com/openai/codex/issues/5244,closed,2025-10-16T06:11:25Z,2025-11-11T00:06:18Z,,BenJackGill,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,2,2,0,0,no,no,no,no,3,2,0.038,617.915,,0,0,etraut-openai,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,25.746,121.4
previous_2025q4,2025-09-01,2025-12-31,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,5168,https://github.com/openai/codex/issues/5168,closed,2025-10-14T11:29:52Z,2025-10-16T05:48:12Z,,ai-da-stas,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,no,no,no,1,1,0,0,no,no,no,no,2,0,42.306,42.306,42.306,0,0,tibo-openai,human_account,not_automation,COLLABORATOR,yes,yes,no,yes,yes,1.763,121.4
