study_stage,panel_year,repo_name,llm_native_manual,item_type,number,html_url,created_at,stage_end,sampling_weight,agent_opener,agent_visible_24h,agent_visible_30d,early_agent_exposure,coding_or_review_agent_visible_24h,coding_or_review_agent_visible_30d,support_agent_visible_30d,security_review_agent_visible_30d,explicit_ai_disclosure,human_response_hours,maintainer_response_hours,any_response_hours,eligible_1d,eligible_7d,human_response_24h,human_response_7d,maintainer_response_7d,any_response_7d,eligible_30d,resolved_30d,issue_closed_30d,pr_merged_30d,pr_closed_unmerged_30d,eligible_90d,resolved_90d,issue_closed_90d,pr_merged_90d,reply_events_30d,human_reply_events_30d,maintainer_actions_30d,agent_actions_30d,automation_actions_30d,conversation_runs_30d,maintainer_entries_30d,opener_return_rounds_30d,review_events_30d,human_review_events_30d,maintainer_review_events_30d,agent_review_events_30d,changes_requested_30d,commits_after_first_review_30d,commits_after_first_human_review_30d,commits_after_first_agent_review_30d
year_2025_m5_m8,2025,openai/codex,llm_native,issue,2057,https://github.com/openai/codex/issues/2057,2025-08-09T01:12:00Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,0.641389,0.641389,0.641389,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,29,29,2,0,0,9,2,4,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,2749,https://github.com/openai/codex/pull/2749,2025-08-27T05:27:46Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,0.165556,,0.165556,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,2477,https://github.com/openai/codex/pull/2477,2025-08-20T00:19:31Z,2025-08-28,66.166667,no,yes,yes,yes,yes,yes,no,no,no,18.177222,,0.038056,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,3,1,0,1,6,3,0,0,2,1,0,1,0,1,0,1
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,2596,https://github.com/openai/codex/pull/2596,2025-08-22T22:45:19Z,2025-08-28,66.166667,no,yes,yes,yes,yes,yes,no,no,no,72.7925,72.7925,18.589167,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,11,8,4,2,5,4,1,1,10,8,4,2,0,1,1,1
year_2025_m5_m8,2025,openai/codex,llm_native,issue,1882,https://github.com/openai/codex/issues/1882,2025-08-06T09:09:56Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,12.761389,,12.761389,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,1926,https://github.com/openai/codex/pull/1926,2025-08-07T06:11:01Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,0.196389,,0.196389,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,1128,https://github.com/openai/codex/pull/1128,2025-05-27T07:11:16Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,,,,yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes,no,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,issue,1019,https://github.com/openai/codex/issues/1019,2025-05-19T00:05:03Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,,,1937.449167,yes,yes,no,no,no,no,yes,no,no,no,no,yes,yes,yes,no,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,958,https://github.com/openai/codex/pull/958,2025-05-16T16:36:27Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,,,,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes,yes,no,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,2571,https://github.com/openai/codex/pull/2571,2025-08-22T01:29:39Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,0.136389,,0.136389,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,4,3,0,0,6,3,0,1,3,3,0,0,0,1,1,0
year_2025_m5_m8,2025,openai/codex,llm_native,issue,1688,https://github.com/openai/codex/issues/1688,2025-07-26T10:45:47Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,,,,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,4,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,issue,2480,https://github.com/openai/codex/issues/2480,2025-08-20T01:32:40Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,7.1225,,7.1225,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,6,6,0,0,0,4,0,2,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,1185,https://github.com/openai/codex/pull/1185,2025-05-31T06:56:30Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,,,,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,2633,https://github.com/openai/codex/pull/2633,2025-08-24T00:55:26Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,1.179444,3.031944,1.179444,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,7,7,3,0,1,5,2,2,4,4,1,0,0,2,2,0
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,2043,https://github.com/openai/codex/pull/2043,2025-08-08T22:09:51Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,0.09,,0.09,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,4,4,1,0,1,3,0,1,4,4,1,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,issue,1120,https://github.com/openai/codex/issues/1120,2025-05-26T12:12:04Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,1865.361667,1865.361667,1865.361667,yes,yes,no,no,no,no,yes,no,no,no,no,yes,yes,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,2413,https://github.com/openai/codex/pull/2413,2025-08-18T07:33:18Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,,,,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,issue,2482,https://github.com/openai/codex/issues/2482,2025-08-20T01:43:08Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,,,,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,1927,https://github.com/openai/codex/pull/1927,2025-08-07T07:13:16Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,11.298611,11.298611,0.002222,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,4,3,2,0,3,3,1,1,2,2,2,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,2481,https://github.com/openai/codex/pull/2481,2025-08-20T01:33:59Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,,,0.036111,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,pull_request,26286,https://github.com/openai/codex/pull/26286,2026-06-04T01:47:21Z,2026-08-28,492.466667,no,yes,yes,yes,yes,yes,no,no,no,,,0.0925,yes,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,29,14,0,15,1,6,0,3,25,10,0,15,0,10,7,10
year_2026_m5_m8,2026,openai/codex,llm_native,pull_request,22198,https://github.com/openai/codex/pull/22198,2026-05-11T19:41:49Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,3.199167,,3.199167,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,6,6,0,0,1,2,0,1,6,6,0,0,0,2,2,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,38763,https://github.com/openai/codex/issues/38763,2026-08-15T14:04:00Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,129.764444,,0.019444,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,4,3,0,0,5,2,0,0,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,29161,https://github.com/openai/codex/issues/29161,2026-06-20T02:22:55Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,93.39,,93.39,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,34574,https://github.com/openai/codex/issues/34574,2026-07-21T16:33:50Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,,,,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,33650,https://github.com/openai/codex/issues/33650,2026-07-16T17:34:33Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,,,0.025,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,3,2,0,0,6,2,0,1,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,35868,https://github.com/openai/codex/issues/35868,2026-07-29T02:11:31Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,,,,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,26187,https://github.com/openai/codex/issues/26187,2026-06-03T16:09:38Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,5.225556,,5.225556,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,2,2,0,0,5,2,0,1,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,28653,https://github.com/openai/codex/issues/28653,2026-06-17T04:06:27Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,3.578333,,3.578333,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,1,1,0,0,18,1,0,0,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,23686,https://github.com/openai/codex/issues/23686,2026-05-20T12:13:31Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,0.799722,,0.799722,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,11,11,0,0,3,1,0,0,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,27909,https://github.com/openai/codex/issues/27909,2026-06-12T16:46:53Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,1363.826111,,0.034722,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,31831,https://github.com/openai/codex/issues/31831,2026-07-09T18:10:50Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,0.141944,4.236111,0.021667,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,31,30,1,0,10,6,1,1,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,34865,https://github.com/openai/codex/issues/34865,2026-07-23T02:51:15Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,16.329444,,0.024167,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,5,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,pull_request,40961,https://github.com/openai/codex/pull/40961,2026-08-26T19:38:45Z,2026-08-28,492.466667,no,yes,yes,yes,yes,yes,no,no,no,,,0.039167,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,2,0,0,2,5,1,0,0,2,0,0,2,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,32670,https://github.com/openai/codex/issues/32670,2026-07-13T01:52:25Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,0.7525,,0.02,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,3,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,pull_request,28122,https://github.com/openai/codex/pull/28122,2026-06-13T21:54:09Z,2026-08-28,492.466667,no,yes,yes,yes,yes,yes,no,no,no,6.628889,,0.485278,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,18,15,0,3,4,5,0,2,18,15,0,3,0,13,13,13
year_2026_m5_m8,2026,openai/codex,llm_native,issue,22881,https://github.com/openai/codex/issues/22881,2026-05-15T18:40:36Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,,,,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,39433,https://github.com/openai/codex/issues/39433,2026-08-19T07:05:19Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,,,0.039444,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,pull_request,30676,https://github.com/openai/codex/pull/30676,2026-06-30T05:57:24Z,2026-08-28,492.466667,no,no,yes,no,no,yes,no,no,no,,,185.278611,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,3,0,0,3,0,1,0,0,3,0,0,3,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,41276,https://github.com/openai/codex/issues/41276,2026-08-28T05:45:49Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,,,0.020833,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,31873,https://github.com/openai/codex/issues/31873,2026-07-09T19:58:44Z,2026-08-28,492.466667,no,no,yes,no,no,yes,no,no,no,12.6075,,12.6075,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,4,4,0,2,8,1,0,0,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,27576,https://github.com/openai/codex/issues/27576,2026-06-11T09:40:38Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,,,0.036389,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,3,2,0,0,5,2,0,1,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,36062,https://github.com/openai/codex/issues/36062,2026-07-30T02:27:03Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,,,,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,23023,https://github.com/openai/codex/issues/23023,2026-05-16T13:45:44Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,,,,yes,yes,no,no,no,no,yes,yes,yes,no,no,yes,yes,yes,no,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,39889,https://github.com/openai/codex/issues/39889,2026-08-21T08:28:16Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,,,0.021944,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,22886,https://github.com/openai/codex/issues/22886,2026-05-15T19:29:52Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,,,,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,pull_request,29026,https://github.com/openai/codex/pull/29026,2026-06-19T02:11:13Z,2026-08-28,492.466667,no,yes,yes,yes,yes,yes,no,no,no,,,0.454444,yes,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,3,1,0,2,1,3,0,1,1,0,0,1,0,2,0,2
year_2026_m5_m8,2026,openai/codex,llm_native,pull_request,35670,https://github.com/openai/codex/pull/35670,2026-07-27T21:12:04Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,,,,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,39850,https://github.com/openai/codex/issues/39850,2026-08-21T03:36:03Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,11.070556,,0.018611,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,11,10,0,0,17,3,0,1,0,0,0,0,0,0,0,0
year_2026_m5_m8,2026,openai/codex,llm_native,issue,29868,https://github.com/openai/codex/issues/29868,2026-06-24T15:14:47Z,2026-08-28,492.466667,no,no,no,no,no,no,no,no,no,42.7625,,0.024167,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,5,4,0,0,9,2,0,0,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,anthropics/claude-code,llm_native,issue,6743,https://github.com/anthropics/claude-code/issues/6743,2025-08-28T14:37:33Z,2025-08-28,191.466667,no,no,no,no,no,no,no,no,no,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,anthropics/claude-code,llm_native,issue,2698,https://github.com/anthropics/claude-code/issues/2698,2025-06-28T16:06:28Z,2025-08-28,191.466667,no,no,no,no,no,no,no,no,no,280.143611,,280.143611,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,anthropics/claude-code,llm_native,issue,3031,https://github.com/anthropics/claude-code/issues/3031,2025-07-05T20:52:01Z,2025-08-28,191.466667,no,no,no,no,no,no,no,no,no,5.734444,53.058333,5.734444,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,7,7,2,0,3,6,2,1,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,anthropics/claude-code,llm_native,issue,1527,https://github.com/anthropics/claude-code/issues/1527,2025-06-03T09:14:38Z,2025-08-28,191.466667,no,no,no,no,no,no,no,no,no,11.345556,,11.345556,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,3,3,0,0,3,3,0,1,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,anthropics/claude-code,llm_native,issue,2100,https://github.com/anthropics/claude-code/issues/2100,2025-06-15T02:29:39Z,2025-08-28,191.466667,no,no,no,no,no,no,no,no,no,,,,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,anthropics/claude-code,llm_native,issue,6054,https://github.com/anthropics/claude-code/issues/6054,2025-08-18T18:40:52Z,2025-08-28,191.466667,no,no,no,no,no,no,no,no,no,5.594167,5.594167,5.594167,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,4,3,1,0,5,3,1,1,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,anthropics/claude-code,llm_native,issue,1369,https://github.com/anthropics/claude-code/issues/1369,2025-05-28T01:52:12Z,2025-08-28,191.466667,no,no,no,no,no,no,no,no,no,10.351389,140.725278,10.351389,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,5,5,1,0,4,3,1,1,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,anthropics/claude-code,llm_native,issue,5681,https://github.com/anthropics/claude-code/issues/5681,2025-08-13T12:52:59Z,2025-08-28,191.466667,no,no,no,no,no,no,no,no,no,179.934444,,179.934444,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,3,3,0,0,2,3,0,1,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,anthropics/claude-code,llm_native,issue,2412,https://github.com/anthropics/claude-code/issues/2412,2025-06-21T12:54:05Z,2025-08-28,191.466667,no,no,no,no,no,no,no,no,no,17.471944,83.835,17.471944,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,6,6,1,0,4,3,1,0,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,anthropics/claude-code,llm_native,issue,6719,https://github.com/anthropics/claude-code/issues/6719,2025-08-28T06:32:30Z,2025-08-28,191.466667,no,no,no,no,no,no,no,no,no,,,0.079722,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,anthropics/claude-code,llm_native,issue,3251,https://github.com/anthropics/claude-code/issues/3251,2025-07-10T00:54:20Z,2025-08-28,191.466667,no,no,no,no,no,no,no,no,no,0.024444,,0.024444,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,6,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,anthropics/claude-code,llm_native,issue,5041,https://github.com/anthropics/claude-code/issues/5041,2025-08-03T13:01:12Z,2025-08-28,191.466667,no,no,no,no,no,no,no,no,no,,,127.2075,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,5,2,0,0,15,2,0,1,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,anthropics/claude-code,llm_native,issue,1269,https://github.com/anthropics/claude-code/issues/1269,2025-05-23T16:30:31Z,2025-08-28,191.466667,no,no,no,no,no,no,no,no,no,,,1869.659444,yes,yes,no,no,no,no,yes,yes,yes,no,no,yes,yes,yes,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,anthropics/claude-code,llm_native,issue,4581,https://github.com/anthropics/claude-code/issues/4581,2025-07-28T08:56:20Z,2025-08-28,191.466667,no,no,no,no,no,no,no,no,no,,,275.406944,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,2,1,0,0,10,2,0,1,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,anthropics/claude-code,llm_native,issue,2454,https://github.com/anthropics/claude-code/issues/2454,2025-06-22T19:23:27Z,2025-08-28,191.466667,no,no,no,no,no,no,no,no,no,773.293611,,773.293611,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
