sample_rank,repo_name,llm_native_manual,collaboration_niche,agent_proximity,item_type,number,node_id,html_url,state,outcome,created_at,updated_at,closed_at,merged_at,author_login,author_github_type,author_association,author_initial_class,performed_via_github_app,ai_disclosure_candidate,ai_disclosure_evidence,comments_count,labels,population_items,selected_items,inclusion_probability,sampling_weight,frame_min_number,frame_max_number,sampling_seed,sampling_method,collected_at
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,150327,PR_kwDOA-j9z86Q05hP,https://github.com/pytorch/pytorch/pull/150327,closed,merged,2025-03-31T19:50:28Z,2025-04-02T06:05:14Z,2025-04-02T06:05:14Z,2025-04-02T06:05:14Z,atalman,User,COLLABORATOR,human_account,,no,,1,ciflow/inductor|ciflow/periodic|module: inductor|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,150732,PR_kwDOA-j9z86RfneU,https://github.com/pytorch/pytorch/pull/150732,closed,closed_unmerged,2025-04-05T07:49:57Z,2025-06-27T02:22:10Z,2025-05-27T14:58:05Z,,XuehaiPan,User,COLLABORATOR,human_account,,no,,12,Merged|better-engineering|ciflow/mps|ciflow/trunk|module: ci|module: lint|module: typing|open source|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,150749,PR_kwDOA-j9z86RjzCk,https://github.com/pytorch/pytorch/pull/150749,closed,closed_unmerged,2025-04-07T02:40:26Z,2025-04-09T15:04:31Z,2025-04-09T15:03:29Z,,zeshengzong,User,COLLABORATOR,human_account,,no,,12,Merged|ciflow/trunk|open source|release notes: python_frontend|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,151361,PR_kwDOA-j9z86Svaey,https://github.com/pytorch/pytorch/pull/151361,closed,closed_unmerged,2025-04-15T22:17:45Z,2025-04-17T20:28:21Z,2025-04-17T20:27:19Z,,dolpm,User,CONTRIBUTOR,human_account,,no,,17,Merged|ciflow/trunk|fb-exported|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,151792,PR_kwDOA-j9z86TTpzN,https://github.com/pytorch/pytorch/pull/151792,closed,closed_unmerged,2025-04-21T14:41:50Z,2025-04-22T18:10:08Z,2025-04-22T18:10:08Z,,x41lakazam,User,CONTRIBUTOR,human_account,,no,,2,oncall: distributed|open source|release notes: distributed (c10d),17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,151878,I_kwDOA-j9z86zZGy9,https://github.com/pytorch/pytorch/issues/151878,open,open,2025-04-22T02:45:05Z,2025-04-24T06:37:51Z,,,githubsgi,User,CONTRIBUTOR,human_account,,no,,2,module: context parallel|module: dtensor|oncall: distributed|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,152103,PR_kwDOA-j9z86TyMA_,https://github.com/pytorch/pytorch/pull/152103,closed,closed_unmerged,2025-04-24T15:00:39Z,2025-06-15T02:20:21Z,2025-05-01T00:44:04Z,,zou3519,User,CONTRIBUTOR,human_account,,no,,11,Merged|Reverted|ci-no-td|ciflow/inductor|ciflow/trunk|module: inductor|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,152368,PR_kwDOA-j9z86UPHF9,https://github.com/pytorch/pytorch/pull/152368,closed,closed_unmerged,2025-04-28T21:05:25Z,2025-04-29T17:21:20Z,2025-04-29T02:45:50Z,,Camyll,User,CONTRIBUTOR,human_account,,no,,3,Merged|better-engineering|ciflow/trunk|release notes: dataloader,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,153203,I_kwDOA-j9z861zPGR,https://github.com/pytorch/pytorch/issues/153203,open,open,2025-05-08T21:15:29Z,2025-10-23T06:53:49Z,,,SilentTester73,User,NONE,human_account,,no,,0,module: crash|module: edge cases|module: int overflow|module: python frontend|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,153283,PR_kwDOA-j9z86VpC_L,https://github.com/pytorch/pytorch/pull/153283,closed,closed_unmerged,2025-05-09T21:10:55Z,2025-06-18T02:18:58Z,2025-05-10T04:46:34Z,,XilunWu,User,CONTRIBUTOR,human_account,,no,,6,Merged|ciflow/inductor|ciflow/trunk|module: rocm|oncall: distributed|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,153582,PR_kwDOA-j9z86WPNOl,https://github.com/pytorch/pytorch/pull/153582,closed,closed_unmerged,2025-05-15T00:15:44Z,2025-06-19T02:19:11Z,2025-05-15T05:15:17Z,,malfet,User,COLLABORATOR,human_account,,no,,3,Merged|ciflow/mps|release notes: mps|topic: bug fixes,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,153831,PR_kwDOA-j9z86Wu-or,https://github.com/pytorch/pytorch/pull/153831,closed,closed_unmerged,2025-05-19T14:22:51Z,2025-08-17T18:41:11Z,2025-08-17T18:41:11Z,,sharpobject,User,CONTRIBUTOR,human_account,,no,,3,Stale|ciflow/trunk|fb-exported|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,153897,PR_kwDOA-j9z86WzJ3-,https://github.com/pytorch/pytorch/pull/153897,closed,closed_unmerged,2025-05-19T23:55:32Z,2025-06-21T02:18:19Z,2025-05-20T02:41:41Z,,malfet,User,COLLABORATOR,human_account,,no,,3,Merged|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,154020,I_kwDOA-j9z863irqp,https://github.com/pytorch/pytorch/issues/154020,closed,closed,2025-05-21T08:04:49Z,2025-06-11T05:39:05Z,2025-06-11T05:39:05Z,,songh11,User,NONE,human_account,,no,,3,module: inductor|oncall: pt2|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,154906,I_kwDOA-j9z865eHXg,https://github.com/pytorch/pytorch/issues/154906,open,open,2025-06-02T21:24:17Z,2025-06-13T21:45:37Z,,,ysyyork,User,NONE,human_account,,no,,1,module: nn|needs design|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,155532,PR_kwDOA-j9z86ZyTDq,https://github.com/pytorch/pytorch/pull/155532,closed,closed_unmerged,2025-06-10T05:29:46Z,2025-07-13T02:23:39Z,2025-06-10T16:33:08Z,,bobrenjc93,User,CONTRIBUTOR,human_account,,no,,1,release notes: AO frontend,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,156307,PR_kwDOA-j9z86bE3HX,https://github.com/pytorch/pytorch/pull/156307,closed,closed_unmerged,2025-06-18T13:19:59Z,2025-06-22T22:28:47Z,2025-06-22T22:27:42Z,,jataylo,User,COLLABORATOR,human_account,,no,,13,Merged|ciflow/inductor|ciflow/inductor-periodic|ciflow/inductor-rocm|ciflow/trunk|module: inductor|module: rocm|open source|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,156596,PR_kwDOA-j9z86bqS2k,https://github.com/pytorch/pytorch/pull/156596,closed,closed_unmerged,2025-06-23T12:43:01Z,2025-09-25T02:10:55Z,2025-08-25T16:04:17Z,,rec,User,COLLABORATOR,human_account,,no,,11,Merged|ciflow/trunk|module: lint|open source|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,157126,I_kwDOA-j9z869vL9Z,https://github.com/pytorch/pytorch/issues/157126,closed,closed,2025-06-27T15:44:23Z,2025-09-25T12:59:29Z,2025-09-25T12:59:29Z,,pytorch-bot[bot],Bot,NONE,automation_bot,,no,,3,module: flaky-tests|module: linear algebra|module: rocm|skipped|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,157218,I_kwDOA-j9z8695SXE,https://github.com/pytorch/pytorch/issues/157218,closed,closed,2025-06-29T08:47:03Z,2026-08-10T10:04:03Z,2026-08-10T10:04:03Z,,namgyu-youn,User,NONE,human_account,,no,,0,module: pruning|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,157428,I_kwDOA-j9z86-bKKS,https://github.com/pytorch/pytorch/issues/157428,closed,closed,2025-07-02T06:49:03Z,2025-09-23T14:45:08Z,2025-09-23T14:45:08Z,,pytorch-bot[bot],Bot,NONE,automation_bot,,no,,12,module: flaky-tests|module: inductor|oncall: pt2|skipped|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,157508,PR_kwDOA-j9z86dKIwT,https://github.com/pytorch/pytorch/pull/157508,closed,closed_unmerged,2025-07-02T21:57:26Z,2025-08-08T02:20:40Z,2025-07-08T07:31:13Z,,bobrenjc93,User,CONTRIBUTOR,human_account,,no,,1,ciflow/inductor|module: inductor|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,157787,I_kwDOA-j9z86_ekIq,https://github.com/pytorch/pytorch/issues/157787,closed,closed,2025-07-08T12:58:10Z,2025-07-08T18:49:31Z,2025-07-08T18:49:31Z,,pytorch-bot[bot],Bot,NONE,automation_bot,,no,,1,module: flaky-tests|module: fx|module: rocm|skipped|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,157789,I_kwDOA-j9z86_ekN7,https://github.com/pytorch/pytorch/issues/157789,closed,closed,2025-07-08T12:58:16Z,2025-08-02T07:18:51Z,2025-08-02T07:18:51Z,,pytorch-bot[bot],Bot,NONE,automation_bot,,no,,2,module: flaky-tests|oncall: distributed|skipped,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,157790,I_kwDOA-j9z86_ekQb,https://github.com/pytorch/pytorch/issues/157790,closed,closed,2025-07-08T12:58:19Z,2025-09-19T06:47:58Z,2025-09-19T06:47:58Z,,pytorch-bot[bot],Bot,NONE,automation_bot,,no,,7,module: flaky-tests|module: functorch|module: rocm|skipped|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,157873,PR_kwDOA-j9z86eB2CX,https://github.com/pytorch/pytorch/pull/157873,closed,closed_unmerged,2025-07-09T00:29:06Z,2025-08-10T02:21:07Z,2025-07-10T04:59:53Z,,pytorchupdatebot,User,COLLABORATOR,human_account,,no,,6,Merged|ciflow/inductor|ciflow/trunk|open source|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,158014,PR_kwDOA-j9z86eQPVb,https://github.com/pytorch/pytorch/pull/158014,closed,closed_unmerged,2025-07-10T08:14:57Z,2025-07-10T09:01:39Z,2025-07-10T08:59:24Z,,chaihahaha,User,CONTRIBUTOR,human_account,,no,,3,open source,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,158149,PR_kwDOA-j9z86ekZl9,https://github.com/pytorch/pytorch/pull/158149,closed,closed_unmerged,2025-07-11T21:15:46Z,2025-08-15T02:20:10Z,2025-07-15T19:08:57Z,,ezyang,User,CONTRIBUTOR,human_account,,no,,11,Merged|ciflow/inductor|ciflow/trunk|release notes: AO frontend|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,158472,PR_kwDOA-j9z86fQKYC,https://github.com/pytorch/pytorch/pull/158472,closed,closed_unmerged,2025-07-16T19:57:03Z,2025-08-17T02:19:58Z,2025-07-17T04:21:48Z,,ngimel,User,COLLABORATOR,human_account,,no,,3,Merged|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,159309,I_kwDOA-j9z87C_0Vt,https://github.com/pytorch/pytorch/issues/159309,open,open,2025-07-28T23:16:05Z,2025-07-30T01:37:56Z,,,ChaitanyaRS06,User,NONE,human_account,,no,,4,module: cuda|module: half|module: numerical-reproducibility|needs reproduction|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,159447,I_kwDOA-j9z87DPy2a,https://github.com/pytorch/pytorch/issues/159447,open,open,2025-07-30T05:16:20Z,2025-08-11T17:41:04Z,,,sunhongling,User,NONE,human_account,,no,,3,module: cuda|module: dataloader|needs reproduction|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,159901,PR_kwDOA-j9z86iRGD6,https://github.com/pytorch/pytorch/pull/159901,closed,closed_unmerged,2025-08-05T20:56:15Z,2025-09-03T19:37:02Z,2025-09-03T19:29:02Z,,andrewor14,User,CONTRIBUTOR,human_account,,no,,12,Merged|ciflow/trunk|fx|release notes: AO frontend|release notes: quantization|topic: improvements,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,159924,PR_kwDOA-j9z86iSp-R,https://github.com/pytorch/pytorch/pull/159924,closed,closed_unmerged,2025-08-06T01:36:21Z,2025-08-07T01:06:53Z,2025-08-07T01:06:53Z,,ZhaoqiongZ,User,COLLABORATOR,human_account,,no,,4,open source,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,161351,PR_kwDOA-j9z86k_HLk,https://github.com/pytorch/pytorch/pull/161351,closed,closed_unmerged,2025-08-23T02:58:20Z,2025-10-13T02:15:48Z,2025-09-12T21:10:48Z,,coconutruben,User,CONTRIBUTOR,human_account,,no,,20,Merged|Reverted|ci-no-td|ciflow/inductor|ciflow/trunk|module: inductor|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
4,supabase/supabase,traditional,agent_runtime_infra,supporting_infrastructure,pull_request,32517,PR_kwDODMpXOc6GiiPO,https://github.com/supabase/supabase/pull/32517,closed,merged,2025-01-01T20:19:13Z,2025-01-02T20:26:25Z,2025-01-02T20:26:24Z,2025-01-02T20:26:24Z,silentworks,User,CONTRIBUTOR,human_account,,no,,2,,3645,50,0.01371742,72.9,32505,38334,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:15:05.724564+00:00
4,supabase/supabase,traditional,agent_runtime_infra,supporting_infrastructure,pull_request,32590,PR_kwDODMpXOc6Gx_v4,https://github.com/supabase/supabase/pull/32590,closed,merged,2025-01-06T05:39:23Z,2025-01-13T05:08:52Z,2025-01-13T05:08:50Z,2025-01-13T05:08:50Z,alaister,User,MEMBER,human_account,,no,,4,,3645,50,0.01371742,72.9,32505,38334,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:15:05.724564+00:00
