study_stage,stage_start,stage_end,sample_rank,repo_name,llm_native_manual,collaboration_niche,agent_proximity,item_type,number,html_url,outcome,created_at,closed_at,merged_at,author_login,author_association,opener_class,explicit_ai_assistance_disclosure,known_automation_bot_present,agent_participation_present,coding_agent_present,review_agent_present,support_or_security_agent_present,conventional_automation_present,agent_participation_opened_thread,agent_participation_response_present,agent_review_event_present,human_account_review_event_present,maintainer_account_review_event_present,agent_change_request_present,human_account_change_request_present,agent_gate_event_present,agent_visible_events,identity_candidate_present,human_account_present_any,human_account_present_in_conversation,maintainer_account_present,automation_only_visible_thread,response_only_automation,no_human_account_response,no_maintainer_account_response,visible_response_events,comments,reviews,changes_requested_reviews,review_observed,first_review_actor_group,post_review_commit_observed,change_request_observed,change_request_followed_by_commit,conversation_actor_count,conversation_class_switches,first_visible_response_hours,first_human_account_response_hours,first_maintainer_account_response_hours,commits,commits_after_first_review,gate_actor_login,gate_actor_class,gate_actor_role,gate_actor_association,human_account_gate,maintainer_account_gate,agent_gate,external_author,fixed_maturity_eligible,resolution_days,sampling_weight
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,issue,8789,https://github.com/openclaw/openclaw/issues/8789,closed,2026-02-04T11:42:33Z,2026-02-13T21:17:42Z,,leiyangyou,NONE,human_account,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,1,2,0,0,no,,no,no,no,2,0,225.586,225.586,,0,0,sebslight,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,9.399,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,53611,https://github.com/openclaw/openclaw/pull/53611,merged,2026-03-24T10:16:42Z,2026-03-24T16:53:24Z,2026-03-24T16:53:24Z,giulio-leone,CONTRIBUTOR,human_account,no,yes,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,5,no,yes,yes,no,no,no,no,yes,6,4,2,0,yes,agent,yes,no,no,4,2,0.045,6.612,,1,1,steipete,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,0.275,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,106406,https://github.com/openclaw/openclaw/pull/106406,merged,2026-07-13T13:03:48Z,2026-07-13T22:30:07Z,2026-07-13T22:30:07Z,steipete,CONTRIBUTOR,human_account,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,19,no,yes,yes,no,no,no,no,yes,8,7,3,0,yes,agent,yes,no,no,4,2,0.916,26.516,,23,23,steipete,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,no,0.393,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,issue,63563,https://github.com/openclaw/openclaw/issues/63563,closed,2026-04-09T05:18:40Z,2026-04-09T11:15:46Z,,khurio,NONE,human_account,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,3,6,0,0,no,,no,no,no,2,0,0.335,0.335,,0,0,khurio,human_account,not_automation,NONE,yes,no,no,yes,yes,0.248,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,issue,94695,https://github.com/openclaw/openclaw/issues/94695,open,2026-06-18T22:44:42Z,,,dailytrap,CONTRIBUTOR,human_account,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,12,no,yes,yes,no,no,yes,yes,yes,1,1,0,0,no,,no,no,no,2,1,0.015,,,0,0,,,,,no,no,no,yes,no,,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,issue,62508,https://github.com/openclaw/openclaw/issues/62508,closed,2026-04-07T13:00:35Z,2026-04-24T05:55:40Z,,WuKongAI-CMU,CONTRIBUTOR,human_account,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,2,2,0,0,no,,no,no,no,3,2,0.015,400.918,,0,0,steipete,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,16.705,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,20077,https://github.com/openclaw/openclaw/pull/20077,closed,2026-02-18T13:49:26Z,2026-03-31T10:49:41Z,,schergr,NONE,human_account,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,7,no,yes,yes,no,no,yes,yes,yes,9,10,2,0,yes,agent,yes,no,no,4,5,0.049,,,3,2,schergr,human_account,not_automation,NONE,yes,no,no,yes,yes,40.875,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,18425,https://github.com/openclaw/openclaw/pull/18425,merged,2026-02-16T18:09:11Z,2026-02-16T22:56:56Z,2026-02-16T22:56:56Z,misterdas,CONTRIBUTOR,human_account,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,1,yes,yes,yes,no,no,unknown,yes,yes,0,0,0,0,no,,no,no,no,1,0,,,,2,0,steipete,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,0.2,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,issue,60024,https://github.com/openclaw/openclaw/issues/60024,closed,2026-04-03T03:05:13Z,2026-04-25T13:23:29Z,,sMIle2Any,NONE,human_account,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,2,2,0,0,no,,no,no,no,3,0,135.886,135.886,,0,0,steipete,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,22.429,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,103645,https://github.com/openclaw/openclaw/pull/103645,merged,2026-07-10T10:48:30Z,2026-07-10T17:12:58Z,2026-07-10T17:12:58Z,qingminglong,CONTRIBUTOR,human_account,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,10,yes,yes,yes,no,no,no,no,yes,4,5,0,0,no,,no,no,no,3,4,1.667,6.395,,3,0,steipete,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,no,0.267,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,issue,65380,https://github.com/openclaw/openclaw/issues/65380,closed,2026-04-12T14:07:07Z,2026-04-26T04:54:48Z,,sebykrueger,NONE,human_account,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,2,no,yes,yes,no,no,yes,yes,yes,1,1,0,0,no,,no,no,no,2,1,326.794,,,0,0,clawsweeper[bot],automation_bot,coding_agent,CONTRIBUTOR,no,no,yes,yes,yes,13.616,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,108390,https://github.com/openclaw/openclaw/pull/108390,merged,2026-07-15T16:36:40Z,2026-07-15T16:55:53Z,2026-07-15T16:55:53Z,steipete,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,unknown,yes,yes,0,1,0,0,no,,no,no,no,1,0,,,,1,0,steipete,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,no,0.013,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,96549,https://github.com/openclaw/openclaw/pull/96549,closed,2026-06-24T20:11:11Z,2026-06-24T20:44:23Z,,PollyBot13,CONTRIBUTOR,candidate_review,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,7,yes,no,no,no,unknown,yes,yes,yes,2,2,0,0,no,,no,no,no,2,1,0.018,,,1,0,clawsweeper[bot],automation_bot,coding_agent,CONTRIBUTOR,no,no,yes,yes,no,0.023,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,99149,https://github.com/openclaw/openclaw/pull/99149,closed,2026-07-02T15:52:31Z,2026-07-02T22:40:28Z,,MonkeyLeeT,CONTRIBUTOR,human_account,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,11,no,yes,yes,no,no,yes,yes,yes,3,3,1,0,yes,agent,yes,no,no,3,2,0.08,,,2,1,MonkeyLeeT,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,no,0.283,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,102440,https://github.com/openclaw/openclaw/pull/102440,closed,2026-07-09T05:44:35Z,2026-08-14T08:38:55Z,,Hackerismydream,CONTRIBUTOR,human_account,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,16,no,yes,yes,no,no,yes,yes,yes,3,3,0,0,no,,no,no,no,3,1,0.017,,,1,0,clawsweeper[bot],automation_bot,coding_agent,CONTRIBUTOR,no,no,yes,yes,no,36.121,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,issue,118671,https://github.com/openclaw/openclaw/issues/118671,closed,2026-08-03T13:03:00Z,2026-08-03T13:09:55Z,,andersonjeccel,CONTRIBUTOR,human_account,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,5,no,yes,yes,no,no,yes,yes,yes,1,2,0,0,no,,no,no,no,2,2,0.114,,,0,0,clawsweeper[bot],automation_bot,coding_agent,CONTRIBUTOR,no,no,yes,yes,no,0.005,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,25143,https://github.com/openclaw/openclaw/pull/25143,closed,2026-02-24T06:27:00Z,2026-03-17T01:05:11Z,,drvoss,CONTRIBUTOR,human_account,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,yes,yes,yes,1,4,0,0,no,,no,no,no,2,2,167.146,,,1,0,drvoss,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,20.777,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,89577,https://github.com/openclaw/openclaw/pull/89577,closed,2026-06-02T18:15:55Z,2026-07-12T12:03:37Z,,Lucenx9,CONTRIBUTOR,human_account,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,6,no,yes,yes,no,no,no,no,yes,3,3,0,0,no,,no,no,no,4,2,0.05,1.867,,1,0,steipete,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,no,39.741,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,122920,https://github.com/openclaw/openclaw/pull/122920,merged,2026-08-13T01:55:54Z,2026-08-13T02:32:44Z,2026-08-13T02:32:44Z,steipete,CONTRIBUTOR,human_account,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,5,no,yes,yes,no,no,yes,yes,yes,2,3,0,0,no,,no,no,no,2,2,0.001,,,1,0,steipete,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,no,0.026,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,957,https://github.com/openclaw/openclaw/pull/957,closed,2026-01-15T13:07:57Z,2026-01-16T03:58:46Z,,rdev,CONTRIBUTOR,human_account,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,1,1,0,0,no,,no,no,no,2,0,14.847,14.847,,1,0,steipete,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,0.619,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,issue,17663,https://github.com/openclaw/openclaw/issues/17663,closed,2026-02-16T02:16:08Z,2026-02-16T18:36:04Z,,HenryLoenwind,CONTRIBUTOR,human_account,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,1,no,yes,yes,yes,no,no,no,no,1,1,0,0,no,,no,no,no,2,0,16.331,16.331,16.331,0,0,vignesh07,human_account,not_automation,MEMBER,yes,yes,no,yes,yes,0.681,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,issue,106379,https://github.com/openclaw/openclaw/issues/106379,closed,2026-07-13T12:23:33Z,2026-07-15T05:09:00Z,,snowzlmbot,CONTRIBUTOR,candidate_review,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,10,yes,yes,no,no,no,yes,yes,yes,2,3,0,0,no,,no,no,no,2,1,0.021,,,0,0,steipete,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,no,1.698,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,93459,https://github.com/openclaw/openclaw/pull/93459,closed,2026-06-16T01:50:59Z,2026-06-16T08:15:34Z,,zenglingbiao,CONTRIBUTOR,human_account,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,no,no,no,1,1,0,0,no,,no,no,no,2,0,6.409,6.409,6.409,1,0,vincentkoc,human_account,not_automation,MEMBER,yes,yes,no,yes,no,0.267,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,39206,https://github.com/openclaw/openclaw/pull/39206,closed,2026-03-07T21:39:44Z,2026-04-25T19:34:06Z,,zeroaltitude,CONTRIBUTOR,human_account,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,43,no,yes,yes,yes,no,no,no,no,49,70,18,0,yes,agent,yes,no,no,9,22,0.1,100.88,1173.906,30,30,vincentkoc,human_account,not_automation,MEMBER,yes,yes,no,yes,yes,48.913,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,42306,https://github.com/openclaw/openclaw/pull/42306,closed,2026-03-10T15:52:25Z,2026-03-10T16:27:07Z,,VikrantSingh01,NONE,human_account,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,10,no,yes,yes,no,no,yes,yes,yes,10,15,2,0,yes,agent,no,no,no,3,2,0.046,,,0,0,VikrantSingh01,human_account,not_automation,NONE,yes,no,no,yes,yes,0.024,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,127178,https://github.com/openclaw/openclaw/pull/127178,merged,2026-08-21T12:06:08Z,2026-08-21T12:21:45Z,2026-08-21T12:21:45Z,steipete,CONTRIBUTOR,human_account,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,5,yes,yes,yes,no,no,yes,yes,yes,2,4,0,0,no,,no,no,no,2,2,0.001,,,1,0,steipete,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,no,0.011,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,issue,51111,https://github.com/openclaw/openclaw/issues/51111,closed,2026-03-20T15:42:36Z,2026-04-26T03:49:26Z,,williamwi617,NONE,human_account,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,2,no,yes,yes,no,no,no,no,yes,4,4,0,0,no,,no,no,no,4,1,0.137,0.137,,0,0,clawsweeper[bot],automation_bot,coding_agent,CONTRIBUTOR,no,no,yes,yes,yes,36.505,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,issue,118842,https://github.com/openclaw/openclaw/issues/118842,closed,2026-08-03T18:17:14Z,2026-08-07T11:51:32Z,,MScottAdams,NONE,human_account,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,28,no,yes,yes,no,no,yes,yes,yes,1,1,0,0,no,,no,no,no,2,1,0.152,,,0,0,clawsweeper[bot],automation_bot,coding_agent,CONTRIBUTOR,no,no,yes,yes,no,3.732,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,112537,https://github.com/openclaw/openclaw/pull/112537,merged,2026-07-22T05:51:06Z,2026-07-22T05:52:20Z,2026-07-22T05:52:20Z,RomneyDa,MEMBER,human_account,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,unknown,yes,yes,0,0,0,0,no,,no,no,no,1,0,,,,1,0,RomneyDa,human_account,not_automation,MEMBER,yes,yes,no,no,no,0.001,1
,,,1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,pull_request,37770,https://github.com/openclaw/openclaw/pull/37770,closed,2026-03-06T12:22:44Z,2026-03-06T18:40:14Z,,bmendonca3,CONTRIBUTOR,human_account,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,0,yes,yes,yes,no,no,unknown,yes,yes,0,0,0,0,no,,no,no,no,1,0,,,,1,0,thewilloftheshadow,human_account,not_automation,,yes,no,no,yes,yes,0.262,1
,,,2,NousResearch/hermes-agent,llm_native,agent_application,direct_agent_experience,pull_request,69952,https://github.com/NousResearch/hermes-agent/pull/69952,open,2026-07-23T07:29:57Z,,,web3blind,CONTRIBUTOR,human_account,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,no,no,no,3,5,0,0,no,,no,no,no,4,0,0.214,0.214,0.214,1,0,,,,,no,no,no,yes,no,,1
