sample_rank,repo_name,path,signal,matched_text,context,html_url,blob_sha,collected_at
20,BerriAI/litellm,CONTRIBUTING.md,invites_external_contribution,We welcome contributions,# Contributing to LiteLLM Thank you for your interest in contributing to LiteLLM! We welcome contributions of all kinds - from bug fixes and documentation improvements to new features and integrations. ## **Checklist before submitting a PR** Here are the core requirements for any PR,https://github.com/BerriAI/litellm/blob/efe51daf5bcd6f3cd92473b34c8123289d341dfe/CONTRIBUTING.md,9ef1d5ae2b859dce9ff75d378b176a621ec7eb84,2026-08-29T10:15:17.422551+00:00
20,BerriAI/litellm,CONTRIBUTING.md,invites_external_contribution,open a pull request,"Submitting Your PR 1. **Push your branch**: `git push origin your-feature-branch` 2. **Create a PR**: Go to GitHub and open a pull request against [`litellm_internal_staging`](https://github.com/BerriAI/litellm/tree/litellm_internal_staging), which is the default base branch. Do not target `main`. 3. **Fill out the P",https://github.com/BerriAI/litellm/blob/efe51daf5bcd6f3cd92473b34c8123289d341dfe/CONTRIBUTING.md,9ef1d5ae2b859dce9ff75d378b176a621ec7eb84,2026-08-29T10:15:17.422551+00:00
20,BerriAI/litellm,CONTRIBUTING.md,requires_cla_or_dco,Contributor License Agreement,**Checklist before submitting a PR** Here are the core requirements for any PR submitted to LiteLLM: - [ ] **Sign the Contributor License Agreement (CLA)** - [see details](#contributor-license-agreement-cla) - [ ] **Keep scope isolated** - Your changes should address 1 specific problem at a time #### Proxy (Backend) PRs - [,https://github.com/BerriAI/litellm/blob/efe51daf5bcd6f3cd92473b34c8123289d341dfe/CONTRIBUTING.md,9ef1d5ae2b859dce9ff75d378b176a621ec7eb84,2026-08-29T10:15:17.422551+00:00
20,BerriAI/litellm,README.md,invites_external_contribution,We welcome contributions,"al Support - Dedicated discord + slack** - ✅ **Custom SLAs** - ✅ **Secure access with Single Sign-On** # Contributing We welcome contributions to LiteLLM! Whether you're fixing bugs, adding features, or improving documentation, we appreciate your help. ## Quick Start for Contributors This requires uv to be installed.",https://github.com/BerriAI/litellm/blob/efe51daf5bcd6f3cd92473b34c8123289d341dfe/README.md,68aaa09ec98d9ce515632c4f468d12bf16856b0f,2026-08-29T10:15:17.422551+00:00
22,n8n-io/n8n,CONTRIBUTING.md,invites_external_contribution,create a pull request,ld pnpm start ``` 4. Create tests 5. Run all [tests](#test-suite): ``` pnpm test ``` 6. Commit code and [create a pull request](https://docs.github.com/en/github/collaborating-with-pull-requests/proposing-changes-to-your-work-with-pull-requests/creating-a-pull-request-from-a-fork) Note: If you're changin,https://github.com/n8n-io/n8n/blob/d3900d81afab6e0d1e085f3d1b2047199ba08305/CONTRIBUTING.md,057114f677539eb0b3409ae94fedfd3e2cb7cff7,2026-08-29T10:15:20.314046+00:00
22,n8n-io/n8n,CONTRIBUTING.md,requires_cla_or_dco,Contributor License Agreement,- [Extend documentation](#extend-documentation) - [Contribute workflow templates](#contribute-workflow-templates) - [Contributor License Agreement](#contributor-license-agreement) ## Code of conduct This project and everyone participating in it are governed by the Code of Conduct which can be found in the file [CODE_OF_CON,https://github.com/n8n-io/n8n/blob/d3900d81afab6e0d1e085f3d1b2047199ba08305/CONTRIBUTING.md,057114f677539eb0b3409ae94fedfd3e2cb7cff7,2026-08-29T10:15:20.314046+00:00
25,coder/coder,README.md,invites_external_contribution,Contributions are welcome,"g](https://coder.com/pricing). ## Integrations New integrations are always in progress. Open an issue to request one. Contributions are welcome in any official or community repository. ### Official - [**Coder Registry**](https://registry.coder.com): Templates, modules, and integrations for common development environment",https://github.com/coder/coder/blob/8bf271c5030fdc0cd06ab1d3c0f5714712a1c8d5/README.md,10b465ebe18106acc58c418be52543ee90369ff5,2026-08-29T10:15:23.379976+00:00
26,vercel/ai,CONTRIBUTING.md,invites_external_contribution,We welcome your contributions,"It also explains how to fix prettier issues that you might encounter during your docs changes. ## Code Contributions We welcome your contributions to our code and documentation. Here's how you can contribute: ### Environment Setup AI SDK development requires pnpm v11 and Node v22.13, v24, or v26. ### Setting Up the Reposi",https://github.com/vercel/ai/blob/1c6854096fbe9aa55ae59cfa2bdee03d55e95c8e/CONTRIBUTING.md,d46b046f12c458d4d068b2487a2da1c5eeeb81fa,2026-08-29T10:15:24.707483+00:00
26,vercel/ai,CONTRIBUTING.md,invites_external_contribution,Open a Pull Request,"*Push the Changes to Your GitHub Repository**: After committing your changes, push them to your GitHub repository. 8. **Open a Pull Request**: Propose your changes for review. Furnish a lucid title and description of your contributions. Make sure to link any relevant issues your PR resolves. We use the following PR ti",https://github.com/vercel/ai/blob/1c6854096fbe9aa55ae59cfa2bdee03d55e95c8e/CONTRIBUTING.md,d46b046f12c458d4d068b2487a2da1c5eeeb81fa,2026-08-29T10:15:24.707483+00:00
27,mastra-ai/mastra,CONTRIBUTING.md,invites_external_contribution,We welcome contributions,# Contributing to Mastra Welcome to Mastra! We welcome contributions of any size and skill level. Thanks for taking the time to contribute! > [!Tip] > > **For new contributors:** Take a look at [https://github.com/firstcontributions/first-contribu,https://github.com/mastra-ai/mastra/blob/75dd419e613fe9c39f846ffc500716141b74fda6/CONTRIBUTING.md,02e7d603b25754a7f1343bba8fda6bc77041e14f,2026-08-29T10:15:25.909273+00:00
27,mastra-ai/mastra,CONTRIBUTING.md,invites_external_contribution,open a Pull Request,or guidelines Please read the guidance below about what to do if you: - [Found a bug](#did-you-find-a-bug) - [Want to open a Pull Request](#do-you-want-to-open-a-pull-request) - [Want to add a new feature or change an existing one](#do-you-intend-to-add-a-new-feature-or-change-an-existing-one) - [Want to improve doc,https://github.com/mastra-ai/mastra/blob/75dd419e613fe9c39f846ffc500716141b74fda6/CONTRIBUTING.md,02e7d603b25754a7f1343bba8fda6bc77041e14f,2026-08-29T10:15:25.909273+00:00
27,mastra-ai/mastra,README.md,preapproval_or_issue_first,discuss before open,"details on how to get involved. If you are a developer and would like to contribute with code, please open an issue to discuss before opening a Pull Request. Information about the project setup can be found in the [development documentation](./DEVELOPMENT.md) ## Support We have an [open community Discord](https://",https://github.com/mastra-ai/mastra/blob/75dd419e613fe9c39f846ffc500716141b74fda6/README.md,bc74c9520195b43ea85417507421a7b75ec35cff,2026-08-29T10:15:25.909273+00:00
27,mastra-ai/mastra,docs/CONTRIBUTING.md,invites_external_contribution,We welcome contributions,# Contributing to Mastra's documentation We welcome contributions of any size and contributors of any skill level. > **Tip for new contributors:** > Take a look at [GitHub's Docs](https://docs.github.com/en/get-started/quickstart/hello-world) a,https://github.com/mastra-ai/mastra/blob/75dd419e613fe9c39f846ffc500716141b74fda6/docs/CONTRIBUTING.md,cadb798412f52eb133c765b80c719f0ea8b22838,2026-08-29T10:15:25.909273+00:00
29,QwenLM/qwen-code,README.md,invites_external_contribution,Contributions are welcome,"s Qwen Code with image/video generation, knowledge retrieval, app orchestration, and model deployment ## Contributing Contributions are welcome! See [CONTRIBUTING.md](./CONTRIBUTING.md) for guidelines. ## Acknowledgments This project was originally based on [Google Gemini CLI](https://github.com/google-gemini/gemini-cli",https://github.com/QwenLM/qwen-code/blob/866b7fe9a63c4c9a164cc27882147449a8c1aea6/README.md,a77382edc91c008ffbb48fdb4446fe4e0108298a,2026-08-29T10:15:28.724195+00:00
32,paperclipai/paperclip,README.md,invites_external_contribution,We welcome contributions,| | Config file | Set `telemetry.enabled: false` in your Paperclip config | ## Contributing We welcome contributions. See the [contributing guide](CONTRIBUTING.md) for details. <br/> ## Community - [Discord](https://discord.gg/m4HZY7xNG3) — Join the community - [Twitter / X](https://x.com/pap,https://github.com/paperclipai/paperclip/blob/35fca95626a04f5a7ec42cf95989c3d779a1687e/README.md,601e0252a1f5c61a79862c2756414872393f4cd8,2026-08-29T10:15:32.857180+00:00
34,open-metadata/OpenMetadata,README.md,invites_external_contribution,We welcome contributions,"e: - [Collate](https://www.getcollate.io/) - [Collate AI](https://www.getcollate.io/collate-ai) --- ## Contributing We welcome contributions from the community. You can help improve metadata schemas and standards, add connectors, improve ingestion workflows, enhance MCP tools, improve semantic search, add memory workfl",https://github.com/open-metadata/OpenMetadata/blob/ba06d99e96a56fc7f625ed27aa3467bb51f4fa5e/README.md,335d2b5dc689aae21d72b45442370bf8e135ec3c,2026-08-29T10:15:35.631315+00:00
35,microsoft/onnxruntime,CONTRIBUTING.md,invites_external_contribution,create a pull request,"uss it with the team and get consensus on the basic design and direction first. For all other changes, you can directly create a pull request (PR) and we'll be happy to take a look. * Make sure your PR adheres to the [PR Guidelines](./docs/PR_Guidelines.md) and [Coding Conventions and Standards](./docs/Coding_Convention",https://github.com/microsoft/onnxruntime/blob/cd13bdd819dcbdb9e0be2e8c38d2698ae2e56097/CONTRIBUTING.md,9e1e7b9aa4f780a02cfa984e1394c767e6e2068f,2026-08-29T10:15:36.862989+00:00
35,microsoft/onnxruntime,CONTRIBUTING.md,requires_cla_or_dco,Contributor License Agreement,"Licensing guidelines This project welcomes contributions and suggestions. Most contributions require you to agree to a Contributor License Agreement (CLA) declaring that you have the right to, and actually do, grant us the rights to use your contribution. For details, visit https://cla.microsoft.com. When you submit a pull re",https://github.com/microsoft/onnxruntime/blob/cd13bdd819dcbdb9e0be2e8c38d2698ae2e56097/CONTRIBUTING.md,9e1e7b9aa4f780a02cfa984e1394c767e6e2068f,2026-08-29T10:15:36.862989+00:00
35,microsoft/onnxruntime,README.md,invites_external_contribution,We welcome contributions,"r products and services. See the [privacy statement](docs/Privacy.md) for more details. ## Contributions and Feedback We welcome contributions! Please see the [contribution guidelines](CONTRIBUTING.md). For feature requests or bug reports, please file a [GitHub Issue](https://github.com/Microsoft/onnxruntime/issues). F",https://github.com/microsoft/onnxruntime/blob/cd13bdd819dcbdb9e0be2e8c38d2698ae2e56097/README.md,3e4e46f9aa04a769e83790037da70908e4bc1c9e,2026-08-29T10:15:36.862989+00:00
36,CherryHQ/cherry-studio,README.md,invites_external_contribution,We welcome contributions,Maple Neon Theme: <https://github.com/BoningtonChen/CherryStudio_themes> Welcome PR for more themes # 🤝 Contributing We welcome contributions to Cherry Studio! Here are some ways you can contribute: 1. **Contribute Code**: Develop new features or optimize existing code. 2. **Fix Bugs**: Submit fixes for any bugs you fi,https://github.com/CherryHQ/cherry-studio/blob/fca101235da8d759a543b5352e68f8556c9fd62e/README.md,10378891323dd4025ec62770e96581e28fbff3cc,2026-08-29T10:15:38.183142+00:00
36,CherryHQ/cherry-studio,README.md,invites_external_contribution,Open a Pull Request,"your local machine. 2. **Create a Branch**: For your changes. 3. **Submit Changes**: Commit and push your changes. 4. **Open a Pull Request**: Describe your changes and reasons. For more detailed guidelines, please refer to our [Contributing Guide](CONTRIBUTING.md). Thank you for your support and contributions! # 🔧",https://github.com/CherryHQ/cherry-studio/blob/fca101235da8d759a543b5352e68f8556c9fd62e/README.md,10378891323dd4025ec62770e96581e28fbff3cc,2026-08-29T10:15:38.183142+00:00
38,milvus-io/milvus,CONTRIBUTING.md,requires_cla_or_dco,Developer Certificate of Origin,w](#github-workflow) - [Design documents](#design-documents) - [General guidelines](#general-guidelines) - [Developer Certificate of Origin (DCO)](#developer-certificate-of-origin-dco) - [Coding Style](#coding-style) - [Golang coding style](#golang-coding-style) - [C++ coding style](#c-coding-style) - [Run,https://github.com/milvus-io/milvus/blob/bb410984514a20182d6c3837f3f115289574e6fa/CONTRIBUTING.md,749a504e337c34a60ab410eb2958306d22eafbf2,2026-08-29T10:15:40.981292+00:00
38,milvus-io/milvus,CONTRIBUTING.md,requires_cla_or_dco,Signed-off-by,loper Certificate of Origin _must_ be included in the comment section of each contribution and _must_ take the form of `Signed-off-by: {{Full Name}} <{{email address}}>` (without the `{}`). Contributions without this acknowledgment will be required to add it before being accepted. If contributors are unable or u,https://github.com/milvus-io/milvus/blob/bb410984514a20182d6c3837f3f115289574e6fa/CONTRIBUTING.md,749a504e337c34a60ab410eb2958306d22eafbf2,2026-08-29T10:15:40.981292+00:00
39,earendil-works/pi,CONTRIBUTING.md,invites_external_contribution,contributions are welcome,"? No. It is a guardrail against burnout and tracker spam. Short, concrete, reproducible issues are welcome. Thoughtful contributions are welcome. Automated slop, entitlement, and large volumes of low-effort reports are not. ## Where can I learn about plans? Earendil uses RFCs to discuss larger changes. Not all of them a",https://github.com/earendil-works/pi/blob/853a80d26c90a14c1886f0ebb8ffaae133ca2185/CONTRIBUTING.md,c6d76f1c574c1c85cb2bb519ef4d21cb8e34623e,2026-08-29T10:15:42.292021+00:00
41,triton-lang/triton,CONTRIBUTING.md,invites_external_contribution,submit pull request,adopts the following hierarchical technical governance structure: * A community of **contributors** who file issues and submit pull requests * A group of **module maintainers** who own parts of Triton and drive their development * A body of **core maintainers** who own Triton overall and drive its development * A **le,https://github.com/triton-lang/triton/blob/9628c80f2b854b74a07fdf0138b7ed6ccee70b07/CONTRIBUTING.md,189d9d272f7cad9d62bd24559be9f38e17afd095,2026-08-29T10:15:44.929661+00:00
42,zeroclaw-labs/zeroclaw,CONTRIBUTING.md,requires_cla_or_dco,Contributor License Agreement,"ew-protocol.md) | | Trait extension examples | [Extension examples](docs/book/src/developing/extension-examples.md) | | Contributor License Agreement | [CLA](docs/book/src/contributing/cla.md) | | Project foundations (governance, culture, infrastructure) | [Foundations](docs/book/src/foundations/README.md) | For maintainer-fac",https://github.com/zeroclaw-labs/zeroclaw/blob/e40f153fadd36d969ac279466f69f2e746cf90d1/CONTRIBUTING.md,4cbff7eee8ac785f4d7d9a527b8ca06fd1a29722,2026-08-29T10:15:46.142847+00:00
44,datahub-project/datahub,docs/CONTRIBUTING.md,invites_external_contribution,welcome contributions,# Contributing We always welcome contributions to help make DataHub better. Take a moment to read this document if you would like to contribute. ## Provide Feedback Have ideas about how to make DataHub better? Head over to [,https://github.com/datahub-project/datahub/blob/7d5cedd5f82e1e9608b08073dce7873ec26de248/docs/CONTRIBUTING.md,6043c6557398b17c91140243c876aa416e16fca2,2026-08-29T10:15:49.016744+00:00
44,datahub-project/datahub,docs/CONTRIBUTING.md,invites_external_contribution,submit pull request,"e on progress by subscribing for updates via email. ## Reporting Issues We use GitHub issues to track bug reports and submit pull requests. If you find a bug: 1. Use the GitHub issue search to check whether the bug has already been reported. 1. If the issue has been fixed, try to reproduce the issue using the lat",https://github.com/datahub-project/datahub/blob/7d5cedd5f82e1e9608b08073dce7873ec26de248/docs/CONTRIBUTING.md,6043c6557398b17c91140243c876aa416e16fca2,2026-08-29T10:15:49.016744+00:00
45,lobehub/lobehub,CONTRIBUTING.md,invites_external_contribution,Open a Pull Request,rd](#code-like-a-wizard) - [Committing Your Work](#committing-your-work) - [Sync with Upstream](#sync-with-upstream) - [Open a Pull Request](#open-a-pull-request) - [Review and Collaboration](#review-and-collaboration) - [Celebrate 🎉](#celebrate-) ## Fork the Repository 🍴 Fork this repository to your GitHub account,https://github.com/lobehub/lobehub/blob/3280844f5d46c9c64cc2e5e4e4081a436233b3a1/CONTRIBUTING.md,2f9e1609cac1154c229601b1ea120ac0e0c6ac6c,2026-08-29T10:15:50.120030+00:00
47,HKUDS/nanobot,CONTRIBUTING.md,invites_external_contribution,welcome contributions,"pending your time and care on nanobot. We would love for more people to participate in this community, and we genuinely welcome contributions of all sizes.",https://github.com/HKUDS/nanobot/blob/65f2a6dbf56f71560bd94c848368797fbb3b97f8/CONTRIBUTING.md,85a603c455e2c2a0ec43fcdb9a1498135c9a766e,2026-08-29T10:15:52.501759+00:00
48,NVIDIA/Model-Optimizer,CONTRIBUTING.md,invites_external_contribution,Submit a pull request,"be redistributed consistent with this project or the open source license(s) involved. ``` ## Submitting your code - Submit a pull request and let auto-assigned reviewers (based on [CODEOWNERS](./.github/CODEOWNERS)) review your PR. - If any CI/CD checks fail, fix the issues and push again. - Once your PR is approved",https://github.com/NVIDIA/Model-Optimizer/blob/022767c7ab3d7d36211affd85e5c496770cde768/CONTRIBUTING.md,bbc474ef4fef93218ed9518f44928090018ba2c9,2026-08-29T10:15:53.868336+00:00
48,NVIDIA/Model-Optimizer,CONTRIBUTING.md,requires_cla_or_dco,Developer Certificate of Origin,"the following to your commit message: ```text Signed-off-by: Your Name <your@email.com> ``` - Full text of the Developer Certificate of Origin (DCO): ```text Developer Certificate of Origin Version 1.1 Copyright (C) 2004, 2006 The Linux Foundation and its contributors. 1 Letterman Drive Suite D470",https://github.com/NVIDIA/Model-Optimizer/blob/022767c7ab3d7d36211affd85e5c496770cde768/CONTRIBUTING.md,bbc474ef4fef93218ed9518f44928090018ba2c9,2026-08-29T10:15:53.868336+00:00
48,NVIDIA/Model-Optimizer,CONTRIBUTING.md,requires_cla_or_dco,Signed-off-by,"ning` in your VSCode settings (`Ctrl/Cmd + ,`).* This will append the following to your commit message: ```text Signed-off-by: Your Name <your@email.com> ``` - Full text of the Developer Certificate of Origin (DCO): ```text Developer Certificate of Origin Version 1.1 Copyright (C) 2004",https://github.com/NVIDIA/Model-Optimizer/blob/022767c7ab3d7d36211affd85e5c496770cde768/CONTRIBUTING.md,bbc474ef4fef93218ed9518f44928090018ba2c9,2026-08-29T10:15:53.868336+00:00
49,cline/cline,CONTRIBUTING.md,invites_external_contribution,welcome contributions,"abels/help%20wanted). These are specifically curated for new contributors and areas where we'd love some help! We also welcome contributions to our [documentation](https://github.com/cline/cline/tree/main/docs)! Whether it's fixing typos, improving existing guides, or creating new educational content - we'd love to bui",https://github.com/cline/cline/blob/cea134be06cbb60af4a7341ddc065c3b8be6be86/CONTRIBUTING.md,833e325dc8e949519f7fd4624f38f8351adfedd4,2026-08-29T10:15:55.053692+00:00
51,agentscope-ai/QwenPaw,CONTRIBUTING.md,invites_external_contribution,welcome contributions,"and other chat apps, supports scheduled tasks and heartbeat, and extends its capabilities through **Skills**. We warmly welcome contributions that help make QwenPaw more useful for everyone: whether you add a new channel, a new model provider, a Skill, improve docs, or fix bugs. **Quick links:** [GitHub](https://github",https://github.com/agentscope-ai/QwenPaw/blob/1a4f4d8a9c29753002172c044a166b04136bd37f/CONTRIBUTING.md,9142d81e78c41b14d5a31d8cf39120272f30ecf1,2026-08-29T10:15:57.993889+00:00
51,agentscope-ai/QwenPaw,CONTRIBUTING.md,invites_external_contribution,submit a Pull Request,"r_manager.py` and register it in the `ProviderManager` class to make it a built-in provider in QwenPaw. If you wish to submit a Pull Request, please ensure that the following conditions are met. 1. (Required) Include at least one tested model to ensure the model list is not empty, and provide a connection test and a s",https://github.com/agentscope-ai/QwenPaw/blob/1a4f4d8a9c29753002172c044a166b04136bd37f/CONTRIBUTING.md,9142d81e78c41b14d5a31d8cf39120272f30ecf1,2026-08-29T10:15:57.993889+00:00
