sample_rank,repo_name,llm_native_manual,collaboration_niche,agent_proximity,may_strict_instruction,august_strict_instruction,may_any_active_marker,august_any_active_marker,may_active_tools,august_active_tools,tools_added,tools_removed
20,BerriAI/litellm,llm_native,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent|gemini,claude_code|cross_agent|gemini,,
21,ggml-org/llama.cpp,llm_native,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent|gemini,claude_code|cross_agent|gemini,,
22,n8n-io/n8n,mixed,agent_framework,agent_building,yes,yes,yes,yes,claude_code|cross_agent,claude_code|cross_agent,,
23,ray-project/ray,traditional,model_infra,supporting_infrastructure,no,yes,yes,yes,claude_code|gemini,claude_code|cross_agent|gemini,cross_agent,
24,apache/spark,traditional,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent,claude_code|cross_agent,,
25,coder/coder,mixed,agent_runtime_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent|cursor,claude_code|cross_agent|cursor,,
26,vercel/ai,llm_native,agent_framework,agent_building,yes,yes,yes,yes,claude_code|cross_agent|cursor,claude_code|codex|cross_agent|cursor,codex,
27,mastra-ai/mastra,llm_native,agent_framework,agent_building,yes,yes,yes,yes,claude_code|cross_agent|cursor,claude_code|cross_agent|cursor,,
28,vllm-project/vllm-omni,llm_native,model_infra,supporting_infrastructure,no,no,yes,yes,claude_code,claude_code,,
29,QwenLM/qwen-code,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,cross_agent,claude_code|cross_agent,claude_code,
30,langgenius/dify,llm_native,agent_framework,agent_building,yes,yes,yes,yes,claude_code|codex|cross_agent|gemini,claude_code|cross_agent,,codex|gemini
31,warpdotdev/warp,mixed,agent_application,direct_agent_experience,no,yes,yes,yes,claude_code|cross_agent,claude_code|cross_agent,,
32,paperclipai/paperclip,llm_native,agent_framework,agent_building,yes,yes,yes,yes,claude_code|codex|cross_agent,claude_code|codex|cross_agent,,
33,vllm-project/vllm-ascend,llm_native,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent|gemini,claude_code|cross_agent|gemini,,
34,open-metadata/OpenMetadata,mixed,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|codex|cross_agent|github_copilot,claude_code|cross_agent|github_copilot,,codex
35,microsoft/onnxruntime,traditional,model_infra,supporting_infrastructure,yes,yes,yes,yes,cross_agent,cross_agent|github_copilot,github_copilot,
36,CherryHQ/cherry-studio,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,claude_code|cross_agent,claude_code|cross_agent,,
37,pingdotgg/t3code,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,claude_code|codex|cursor,claude_code|codex|cross_agent|cursor,cross_agent,
38,milvus-io/milvus,traditional,agent_runtime_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent,claude_code|cross_agent,,
39,earendil-works/pi,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,cross_agent,cross_agent,,
40,NVIDIA/cudf,traditional,model_infra,supporting_infrastructure,no,no,yes,yes,cross_agent,cross_agent,,
41,triton-lang/triton,traditional,model_infra,supporting_infrastructure,yes,yes,yes,yes,cross_agent,cross_agent,,
42,zeroclaw-labs/zeroclaw,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,claude_code|cross_agent|gemini,claude_code|cross_agent|gemini,,
43,docling-project/docling,mixed,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|codex|cross_agent,claude_code|codex|cross_agent,,
44,datahub-project/datahub,mixed,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|codex|cursor,claude_code|codex|cursor,,
45,lobehub/lobehub,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,claude_code|codex|cross_agent|cursor|gemini,claude_code|codex|cross_agent|cursor|gemini,,
46,AstrBotDevs/AstrBot,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,cross_agent|github_copilot,cross_agent|github_copilot,,
47,HKUDS/nanobot,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,claude_code|cross_agent,claude_code|codex|cross_agent,codex,
48,NVIDIA/Model-Optimizer,mixed,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent,claude_code|cross_agent,,
49,cline/cline,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,claude_code|codex|cross_agent|github_copilot,claude_code|cline|codex|cross_agent|github_copilot,cline,
50,OpenHands/software-agent-sdk,llm_native,agent_framework,agent_building,yes,yes,yes,yes,cross_agent,cross_agent,,
51,agentscope-ai/QwenPaw,llm_native,agent_application,direct_agent_experience,no,no,no,no,,,,
52,NVIDIA-NeMo/RL,llm_native,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent,claude_code|cross_agent,,
53,pydantic/pydantic-ai,llm_native,agent_framework,agent_building,yes,yes,yes,yes,claude_code|cross_agent|gemini,claude_code|cross_agent|gemini,,
54,google-gemini/gemini-cli,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,gemini,gemini,,
55,apache/iceberg,traditional,model_infra,supporting_infrastructure,yes,yes,yes,yes,cross_agent,cross_agent,,
56,infiniflow/ragflow,llm_native,agent_runtime_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent|github_copilot,claude_code|cross_agent|github_copilot,,
57,wandb/wandb,traditional,model_infra,supporting_infrastructure,no,no,no,no,,,,
58,agno-agi/agno,mixed,agent_framework,agent_building,yes,yes,yes,yes,claude_code|cross_agent|cursor,claude_code|cross_agent|cursor,,
59,Kilo-Org/kilocode,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,cross_agent,cross_agent,,
60,a2ui-project/a2ui,llm_native,agent_runtime_infra,supporting_infrastructure,no,yes,yes,yes,gemini,cross_agent|gemini,cross_agent,
62,activepieces/activepieces,mixed,agent_framework,agent_building,yes,yes,yes,yes,claude_code|cross_agent|cursor,claude_code|cross_agent|cursor,,
63,NVIDIA/Megatron-LM,llm_native,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent|cursor,claude_code|cross_agent|cursor,,
64,diegosouzapw/OmniRoute,llm_native,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|codex|cross_agent|gemini|github_copilot,claude_code|codex|gemini|github_copilot,,cross_agent
65,mlflow/mlflow,mixed,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent|github_copilot,claude_code|cross_agent|github_copilot,,
66,CopilotKit/CopilotKit,llm_native,agent_framework,agent_building,yes,yes,yes,yes,claude_code|cross_agent|cursor,claude_code|cross_agent|cursor,,
67,langfuse/langfuse,llm_native,agent_runtime_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent,claude_code|cross_agent|cursor,cursor,
68,multica-ai/multica,llm_native,agent_framework,agent_building,yes,yes,yes,yes,claude_code|cross_agent,claude_code|cross_agent,,
69,coze-dev/coze-loop,llm_native,agent_runtime_infra,supporting_infrastructure,no,yes,no,yes,,cross_agent,cross_agent,
70,IBM/mcp-context-forge,llm_native,agent_runtime_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent,claude_code|cross_agent,,
71,NVIDIA/OpenShell,llm_native,agent_runtime_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent,claude_code|cross_agent,,
72,farion1231/cc-switch,llm_native,agent_application,direct_agent_experience,no,no,no,no,,,,
73,Comfy-Org/ComfyUI,traditional,agent_framework,agent_building,no,yes,no,yes,,cross_agent,cross_agent,
74,stablyai/orca,llm_native,agent_framework,agent_building,yes,yes,yes,yes,claude_code|cross_agent,claude_code|cross_agent,,
75,unslothai/unsloth,llm_native,model_infra,supporting_infrastructure,no,no,no,no,,,,
76,langchain-ai/langchain,llm_native,agent_framework,agent_building,yes,yes,yes,yes,claude_code|cross_agent,claude_code|cross_agent,,
77,openvinotoolkit/openvino,traditional,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent|github_copilot,claude_code|cross_agent|github_copilot,,
78,microsoft/agent-framework,llm_native,agent_framework,agent_building,yes,yes,yes,yes,github_copilot,github_copilot,,
79,comet-ml/opik,llm_native,agent_runtime_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|codex|cross_agent|cursor|github_copilot,claude_code|codex|cross_agent|cursor|github_copilot,,
80,marimo-team/marimo,mixed,agent_application,direct_agent_experience,yes,yes,yes,yes,claude_code|cross_agent|github_copilot,claude_code|cross_agent|github_copilot,,
81,weaviate/weaviate,traditional,agent_runtime_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code,claude_code,,
82,langflow-ai/langflow,llm_native,agent_framework,agent_building,yes,yes,yes,yes,claude_code|cross_agent|cursor,claude_code|cross_agent|cursor,,
83,esengine/DeepSeek-Reasonix,llm_native,agent_application,direct_agent_experience,no,yes,no,yes,,claude_code,claude_code,
84,Arize-ai/phoenix,mixed,agent_runtime_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|codex|cross_agent|cursor,claude_code|codex|cross_agent|cursor,,
85,apache/hudi,traditional,model_infra,supporting_infrastructure,no,no,no,no,,,,
86,Significant-Gravitas/AutoGPT,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,claude_code|codex|cross_agent|github_copilot,claude_code|codex|cross_agent|github_copilot,,
87,PaddlePaddle/Paddle,traditional,model_infra,supporting_infrastructure,no,no,yes,yes,claude_code|cross_agent,claude_code|cross_agent,,
88,code-yeongyu/oh-my-openagent,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,codex|cross_agent,claude_code|codex|cross_agent|cursor,claude_code|cursor,
89,siyuan-note/siyuan,mixed,agent_application,direct_agent_experience,no,yes,no,yes,,cross_agent,cross_agent,
90,verl-project/verl,llm_native,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|codex|cross_agent|gemini,claude_code|codex|cross_agent,,gemini
91,huggingface/trl,llm_native,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent|cursor,claude_code|cross_agent|cursor,,
92,eosphoros-ai/DB-GPT,llm_native,agent_framework,agent_building,no,no,no,no,,,,
93,danny-avila/LibreChat,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,claude_code|cross_agent,claude_code|cross_agent,,
94,apache/gravitino,traditional,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent|gemini|github_copilot,claude_code|cross_agent|gemini|github_copilot,,
95,charmbracelet/crush,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,cross_agent,cross_agent,,
96,aaif-goose/goose,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,claude_code|codex|cross_agent|cursor|github_copilot,claude_code|cross_agent|github_copilot,,codex|cursor
97,open-webui/open-webui,llm_native,agent_application,direct_agent_experience,no,no,no,no,,,,
98,livekit/agents,llm_native,agent_framework,agent_building,yes,yes,yes,yes,claude_code|cross_agent,claude_code|cross_agent,,
99,router-for-me/CLIProxyAPI,llm_native,agent_runtime_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|codex,claude_code|codex,,
100,kvcache-ai/Mooncake,llm_native,model_infra,supporting_infrastructure,no,yes,yes,yes,claude_code,claude_code|cross_agent,cross_agent,
