sample_rank,repo_name,created_at,llm_native_manual,collaboration_niche,year,window_start,window_end,observable_in_window,issues_opened,issues_closed_from_cohort,issues_unresolved_from_cohort,prs_opened,prs_closed_from_cohort,prs_merged_from_cohort,prs_closed_unmerged_from_cohort,prs_unresolved_from_cohort,graphql_cost,graphql_remaining,collected_at,quality_flag
3,pytorch/pytorch,2016-08-13,traditional,model_infra,2022,2022-01-01,2022-08-29,yes,4242,1719,2523,9523,8734,265,8469,789,1,4928,2026-08-30T13:50:58.421012+00:00,search_count_invariants_ok
3,pytorch/pytorch,2016-08-13,traditional,model_infra,2023,2023-01-01,2023-08-29,yes,5585,3042,2543,10598,9767,138,9629,831,1,4928,2026-08-30T13:50:58.421012+00:00,search_count_invariants_ok
3,pytorch/pytorch,2016-08-13,traditional,model_infra,2024,2024-01-01,2024-08-29,yes,5753,2878,2875,12408,11369,249,11120,1039,1,4928,2026-08-30T13:50:58.421012+00:00,search_count_invariants_ok
3,pytorch/pytorch,2016-08-13,traditional,model_infra,2025,2025-01-01,2025-08-29,yes,5510,2860,2650,12193,10810,232,10578,1383,1,4928,2026-08-30T13:50:58.421012+00:00,search_count_invariants_ok
3,pytorch/pytorch,2016-08-13,traditional,model_infra,2026,2026-01-01,2026-08-29,yes,4522,2973,1549,19062,13051,246,12805,6011,1,4928,2026-08-30T13:50:58.421012+00:00,search_count_invariants_ok
4,supabase/supabase,2019-10-12,traditional,agent_runtime_infra,2022,2022-01-01,2022-08-29,yes,537,396,141,1903,1822,1605,217,81,1,4927,2026-08-30T13:51:00.470552+00:00,search_count_invariants_ok
4,supabase/supabase,2019-10-12,traditional,agent_runtime_infra,2023,2023-01-01,2023-08-29,yes,794,598,196,2611,2473,2175,298,138,1,4927,2026-08-30T13:51:00.470552+00:00,search_count_invariants_ok
4,supabase/supabase,2019-10-12,traditional,agent_runtime_infra,2024,2024-01-01,2024-08-29,yes,768,591,177,2786,2595,2274,321,191,1,4927,2026-08-30T13:51:00.470552+00:00,search_count_invariants_ok
4,supabase/supabase,2019-10-12,traditional,agent_runtime_infra,2025,2025-01-01,2025-08-29,yes,696,528,168,2936,2605,2307,298,331,1,4927,2026-08-30T13:51:00.470552+00:00,search_count_invariants_ok
4,supabase/supabase,2019-10-12,traditional,agent_runtime_infra,2026,2026-01-01,2026-08-29,yes,826,666,160,6060,5076,4069,1007,984,1,4927,2026-08-30T13:51:00.470552+00:00,search_count_invariants_ok
5,bytedance/deer-flow,2025-05-07,llm_native,agent_framework,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4926,2026-08-30T13:51:02.514054+00:00,search_count_invariants_ok
5,bytedance/deer-flow,2025-05-07,llm_native,agent_framework,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4926,2026-08-30T13:51:02.514054+00:00,search_count_invariants_ok
5,bytedance/deer-flow,2025-05-07,llm_native,agent_framework,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4926,2026-08-30T13:51:02.514054+00:00,search_count_invariants_ok
5,bytedance/deer-flow,2025-05-07,llm_native,agent_framework,2025,2025-01-01,2025-08-29,yes,312,112,200,226,200,166,34,26,1,4926,2026-08-30T13:51:02.514054+00:00,search_count_invariants_ok
5,bytedance/deer-flow,2025-05-07,llm_native,agent_framework,2026,2026-01-01,2026-08-29,yes,1502,997,505,2636,2073,1557,516,563,1,4926,2026-08-30T13:51:02.514054+00:00,search_count_invariants_ok
6,sgl-project/sglang,2024-01-08,llm_native,model_infra,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4925,2026-08-30T13:51:04.377889+00:00,search_count_invariants_ok
6,sgl-project/sglang,2024-01-08,llm_native,model_infra,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4925,2026-08-30T13:51:04.377889+00:00,search_count_invariants_ok
6,sgl-project/sglang,2024-01-08,llm_native,model_infra,2024,2024-01-01,2024-08-29,yes,447,369,78,769,760,692,68,9,1,4925,2026-08-30T13:51:04.377889+00:00,search_count_invariants_ok
6,sgl-project/sglang,2024-01-08,llm_native,model_infra,2025,2025-01-01,2025-08-29,yes,2171,1610,561,4768,4138,3330,808,630,1,4925,2026-08-30T13:51:04.377889+00:00,search_count_invariants_ok
6,sgl-project/sglang,2024-01-08,llm_native,model_infra,2026,2026-01-01,2026-08-29,yes,2878,2081,797,17816,12268,9243,3025,5548,1,4925,2026-08-30T13:51:04.377889+00:00,search_count_invariants_ok
7,vllm-project/vllm,2023-02-09,llm_native,model_infra,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4924,2026-08-30T13:51:06.380791+00:00,search_count_invariants_ok
7,vllm-project/vllm,2023-02-09,llm_native,model_infra,2023,2023-01-01,2023-08-29,yes,554,288,266,286,246,215,31,40,1,4924,2026-08-30T13:51:06.380791+00:00,search_count_invariants_ok
7,vllm-project/vllm,2023-02-09,llm_native,model_infra,2024,2024-01-01,2024-08-29,yes,2738,1405,1333,2723,2353,1871,482,370,1,4924,2026-08-30T13:51:06.380791+00:00,search_count_invariants_ok
7,vllm-project/vllm,2023-02-09,llm_native,model_infra,2025,2025-01-01,2025-08-29,yes,4702,2966,1736,7437,6369,5003,1366,1068,1,4924,2026-08-30T13:51:06.380791+00:00,search_count_invariants_ok
7,vllm-project/vllm,2023-02-09,llm_native,model_infra,2026,2026-01-01,2026-08-29,yes,4991,2881,2110,17660,11629,7783,3846,6031,1,4924,2026-08-30T13:51:06.380791+00:00,search_count_invariants_ok
8,larksuite/cli,2026-03-25,mixed,agent_runtime_infra,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4923,2026-08-30T13:51:08.109535+00:00,search_count_invariants_ok
8,larksuite/cli,2026-03-25,mixed,agent_runtime_infra,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4923,2026-08-30T13:51:08.109535+00:00,search_count_invariants_ok
8,larksuite/cli,2026-03-25,mixed,agent_runtime_infra,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4923,2026-08-30T13:51:08.109535+00:00,search_count_invariants_ok
8,larksuite/cli,2026-03-25,mixed,agent_runtime_infra,2025,2025-01-01,2025-08-29,no,0,0,0,0,0,0,0,0,1,4923,2026-08-30T13:51:08.109535+00:00,search_count_invariants_ok
8,larksuite/cli,2026-03-25,mixed,agent_runtime_infra,2026,2026-01-01,2026-08-29,yes,559,349,210,1998,1496,1149,347,502,1,4923,2026-08-30T13:51:08.109535+00:00,search_count_invariants_ok
9,volcengine/OpenViking,2026-01-05,llm_native,agent_runtime_infra,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4922,2026-08-30T13:51:10.001866+00:00,search_count_invariants_ok
9,volcengine/OpenViking,2026-01-05,llm_native,agent_runtime_infra,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4922,2026-08-30T13:51:10.001866+00:00,search_count_invariants_ok
9,volcengine/OpenViking,2026-01-05,llm_native,agent_runtime_infra,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4922,2026-08-30T13:51:10.001866+00:00,search_count_invariants_ok
9,volcengine/OpenViking,2026-01-05,llm_native,agent_runtime_infra,2025,2025-01-01,2025-08-29,no,0,0,0,0,0,0,0,0,1,4922,2026-08-30T13:51:10.001866+00:00,search_count_invariants_ok
9,volcengine/OpenViking,2026-01-05,llm_native,agent_runtime_infra,2026,2026-01-01,2026-08-29,yes,976,779,197,3399,2733,2239,494,666,1,4922,2026-08-30T13:51:10.001866+00:00,search_count_invariants_ok
10,openai/codex,2025-04-13,llm_native,agent_application,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4921,2026-08-30T13:51:12.316249+00:00,search_count_invariants_ok
10,openai/codex,2025-04-13,llm_native,agent_application,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4921,2026-08-30T13:51:12.316249+00:00,search_count_invariants_ok
10,openai/codex,2025-04-13,llm_native,agent_application,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4921,2026-08-30T13:51:12.316249+00:00,search_count_invariants_ok
10,openai/codex,2025-04-13,llm_native,agent_application,2025,2025-01-01,2025-08-29,yes,1110,695,415,1663,1503,1010,493,160,1,4921,2026-08-30T13:51:12.316249+00:00,search_count_invariants_ok
10,openai/codex,2025-04-13,llm_native,agent_application,2026,2026-01-01,2026-08-29,yes,21020,6972,14048,88,86,84,2,2,1,4921,2026-08-30T13:51:12.316249+00:00,search_count_invariants_ok
11,ollama/ollama,2023-06-26,llm_native,model_infra,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4920,2026-08-30T13:51:14.095956+00:00,search_count_invariants_ok
11,ollama/ollama,2023-06-26,llm_native,model_infra,2023,2023-01-01,2023-08-29,yes,207,129,78,231,218,202,16,13,1,4920,2026-08-30T13:51:14.095956+00:00,search_count_invariants_ok
11,ollama/ollama,2023-06-26,llm_native,model_infra,2024,2024-01-01,2024-08-29,yes,3122,2170,952,1489,1220,946,274,269,1,4920,2026-08-30T13:51:14.095956+00:00,search_count_invariants_ok
11,ollama/ollama,2023-06-26,llm_native,model_infra,2025,2025-01-01,2025-08-29,yes,2759,1899,860,1032,792,592,200,240,1,4920,2026-08-30T13:51:14.095956+00:00,search_count_invariants_ok
11,ollama/ollama,2023-06-26,llm_native,model_infra,2026,2026-01-01,2026-08-29,yes,2166,1278,888,2247,1054,718,336,1193,1,4920,2026-08-30T13:51:14.095956+00:00,search_count_invariants_ok
12,langchain-ai/deepagents,2025-07-27,llm_native,agent_framework,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4919,2026-08-30T13:51:16.136608+00:00,search_count_invariants_ok
12,langchain-ai/deepagents,2025-07-27,llm_native,agent_framework,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4919,2026-08-30T13:51:16.136608+00:00,search_count_invariants_ok
12,langchain-ai/deepagents,2025-07-27,llm_native,agent_framework,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4919,2026-08-30T13:51:16.136608+00:00,search_count_invariants_ok
12,langchain-ai/deepagents,2025-07-27,llm_native,agent_framework,2025,2025-01-01,2025-08-29,yes,27,13,14,55,41,28,13,14,1,4919,2026-08-30T13:51:16.136608+00:00,search_count_invariants_ok
12,langchain-ai/deepagents,2025-07-27,llm_native,agent_framework,2026,2026-01-01,2026-08-29,yes,917,783,134,4342,4206,3424,782,136,1,4919,2026-08-30T13:51:16.136608+00:00,search_count_invariants_ok
13,anomalyco/opencode,2025-04-30,llm_native,agent_application,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4918,2026-08-30T13:51:18.095676+00:00,search_count_invariants_ok
13,anomalyco/opencode,2025-04-30,llm_native,agent_application,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4918,2026-08-30T13:51:18.095676+00:00,search_count_invariants_ok
13,anomalyco/opencode,2025-04-30,llm_native,agent_application,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4918,2026-08-30T13:51:18.095676+00:00,search_count_invariants_ok
13,anomalyco/opencode,2025-04-30,llm_native,agent_application,2025,2025-01-01,2025-08-29,yes,1527,873,654,773,596,450,146,177,1,4918,2026-08-30T13:51:18.095676+00:00,search_count_invariants_ok
13,anomalyco/opencode,2025-04-30,llm_native,agent_application,2026,2026-01-01,2026-08-29,yes,21203,17048,4155,17794,14726,6823,7903,3068,1,4918,2026-08-30T13:51:18.095676+00:00,search_count_invariants_ok
14,flashinfer-ai/flashinfer,2023-07-22,llm_native,model_infra,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4917,2026-08-30T13:51:20.025527+00:00,search_count_invariants_ok
14,flashinfer-ai/flashinfer,2023-07-22,llm_native,model_infra,2023,2023-01-01,2023-08-29,yes,0,0,0,0,0,0,0,0,1,4917,2026-08-30T13:51:20.025527+00:00,search_count_invariants_ok
14,flashinfer-ai/flashinfer,2023-07-22,llm_native,model_infra,2024,2024-01-01,2024-08-29,yes,90,60,30,355,350,333,17,5,1,4917,2026-08-30T13:51:20.025527+00:00,search_count_invariants_ok
14,flashinfer-ai/flashinfer,2023-07-22,llm_native,model_infra,2025,2025-01-01,2025-08-29,yes,230,97,133,662,618,563,55,44,1,4917,2026-08-30T13:51:20.025527+00:00,search_count_invariants_ok
14,flashinfer-ai/flashinfer,2023-07-22,llm_native,model_infra,2026,2026-01-01,2026-08-29,yes,662,379,283,1867,1289,1085,204,578,1,4917,2026-08-30T13:51:20.025527+00:00,search_count_invariants_ok
15,NVIDIA/TensorRT-LLM,2023-08-16,llm_native,model_infra,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4916,2026-08-30T13:51:21.883713+00:00,search_count_invariants_ok
15,NVIDIA/TensorRT-LLM,2023-08-16,llm_native,model_infra,2023,2023-01-01,2023-08-29,yes,0,0,0,0,0,0,0,0,1,4916,2026-08-30T13:51:21.883713+00:00,search_count_invariants_ok
15,NVIDIA/TensorRT-LLM,2023-08-16,llm_native,model_infra,2024,2024-01-01,2024-08-29,yes,1098,552,546,221,167,71,96,54,1,4916,2026-08-30T13:51:21.883713+00:00,search_count_invariants_ok
15,NVIDIA/TensorRT-LLM,2023-08-16,llm_native,model_infra,2025,2025-01-01,2025-08-29,yes,778,263,515,3897,3531,2861,670,366,1,4916,2026-08-30T13:51:21.883713+00:00,search_count_invariants_ok
15,NVIDIA/TensorRT-LLM,2023-08-16,llm_native,model_infra,2026,2026-01-01,2026-08-29,yes,651,349,302,7351,5971,4710,1261,1380,1,4916,2026-08-30T13:51:21.883713+00:00,search_count_invariants_ok
16,anthropics/claude-code,2025-02-22,llm_native,agent_application,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4915,2026-08-30T13:51:23.752784+00:00,search_count_invariants_ok
16,anthropics/claude-code,2025-02-22,llm_native,agent_application,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4915,2026-08-30T13:51:23.752784+00:00,search_count_invariants_ok
16,anthropics/claude-code,2025-02-22,llm_native,agent_application,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4915,2026-08-30T13:51:23.752784+00:00,search_count_invariants_ok
16,anthropics/claude-code,2025-02-22,llm_native,agent_application,2025,2025-01-01,2025-08-29,yes,6599,3737,2862,115,109,66,43,6,1,4915,2026-08-30T13:51:23.752784+00:00,search_count_invariants_ok
16,anthropics/claude-code,2025-02-22,llm_native,agent_application,2026,2026-01-01,2026-08-29,yes,72541,58137,14404,970,266,47,219,704,1,4915,2026-08-30T13:51:23.752784+00:00,search_count_invariants_ok
17,jax-ml/jax,2018-10-25,traditional,model_infra,2022,2022-01-01,2022-08-29,yes,639,386,253,1926,1808,1304,504,118,1,4914,2026-08-30T13:51:25.537447+00:00,search_count_invariants_ok
17,jax-ml/jax,2018-10-25,traditional,model_infra,2023,2023-01-01,2023-08-29,yes,674,360,314,2344,2153,1012,1141,191,1,4914,2026-08-30T13:51:25.537447+00:00,search_count_invariants_ok
17,jax-ml/jax,2018-10-25,traditional,model_infra,2024,2024-01-01,2024-08-29,yes,644,360,284,3121,2903,2187,716,218,1,4914,2026-08-30T13:51:25.537447+00:00,search_count_invariants_ok
17,jax-ml/jax,2018-10-25,traditional,model_infra,2025,2025-01-01,2025-08-29,yes,652,323,329,4795,4401,3607,794,394,1,4914,2026-08-30T13:51:25.537447+00:00,search_count_invariants_ok
17,jax-ml/jax,2018-10-25,traditional,model_infra,2026,2026-01-01,2026-08-29,yes,511,223,288,5510,5023,3918,1105,487,1,4914,2026-08-30T13:51:25.537447+00:00,search_count_invariants_ok
18,ai-dynamo/dynamo,2025-03-03,llm_native,model_infra,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4913,2026-08-30T13:51:27.238934+00:00,search_count_invariants_ok
18,ai-dynamo/dynamo,2025-03-03,llm_native,model_infra,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4913,2026-08-30T13:51:27.238934+00:00,search_count_invariants_ok
18,ai-dynamo/dynamo,2025-03-03,llm_native,model_infra,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4913,2026-08-30T13:51:27.238934+00:00,search_count_invariants_ok
18,ai-dynamo/dynamo,2025-03-03,llm_native,model_infra,2025,2025-01-01,2025-08-29,yes,595,413,182,2181,2067,1648,419,114,1,4913,2026-08-30T13:51:27.238934+00:00,search_count_invariants_ok
18,ai-dynamo/dynamo,2025-03-03,llm_native,model_infra,2026,2026-01-01,2026-08-29,yes,1022,648,374,7786,6490,5028,1462,1296,1,4913,2026-08-30T13:51:27.238934+00:00,search_count_invariants_ok
19,apache/airflow,2015-04-13,traditional,model_infra,2022,2022-01-01,2022-08-29,yes,1336,1058,278,3087,2958,2568,390,129,1,4912,2026-08-30T13:51:29.288128+00:00,search_count_invariants_ok
19,apache/airflow,2015-04-13,traditional,model_infra,2023,2023-01-01,2023-08-29,yes,1239,942,297,3172,3028,2669,359,144,1,4912,2026-08-30T13:51:29.288128+00:00,search_count_invariants_ok
19,apache/airflow,2015-04-13,traditional,model_infra,2024,2024-01-01,2024-08-29,yes,1112,756,356,3596,3405,3023,382,191,1,4912,2026-08-30T13:51:29.288128+00:00,search_count_invariants_ok
19,apache/airflow,2015-04-13,traditional,model_infra,2025,2025-01-01,2025-08-29,yes,2164,1492,672,7061,6794,5784,1010,267,1,4912,2026-08-30T13:51:29.288128+00:00,search_count_invariants_ok
19,apache/airflow,2015-04-13,traditional,model_infra,2026,2026-01-01,2026-08-29,yes,1656,1214,442,10332,9207,7320,1887,1125,1,4912,2026-08-30T13:51:29.288128+00:00,search_count_invariants_ok
20,BerriAI/litellm,2023-07-27,llm_native,model_infra,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4911,2026-08-30T13:51:31.293528+00:00,search_count_invariants_ok
20,BerriAI/litellm,2023-07-27,llm_native,model_infra,2023,2023-01-01,2023-08-29,yes,210,104,106,28,27,21,6,1,1,4911,2026-08-30T13:51:31.293528+00:00,search_count_invariants_ok
20,BerriAI/litellm,2023-07-27,llm_native,model_infra,2024,2024-01-01,2024-08-29,yes,1886,1502,384,2139,2035,1808,227,104,1,4911,2026-08-30T13:51:31.293528+00:00,search_count_invariants_ok
20,BerriAI/litellm,2023-07-27,llm_native,model_infra,2025,2025-01-01,2025-08-29,yes,2804,1926,878,3538,3303,2597,706,235,1,4911,2026-08-30T13:51:31.293528+00:00,search_count_invariants_ok
20,BerriAI/litellm,2023-07-27,llm_native,model_infra,2026,2026-01-01,2026-08-29,yes,4154,2542,1612,15749,11144,7554,3590,4605,1,4911,2026-08-30T13:51:31.293528+00:00,search_count_invariants_ok
21,ggml-org/llama.cpp,2023-03-10,llm_native,model_infra,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4910,2026-08-30T13:51:33.107641+00:00,search_count_invariants_ok
21,ggml-org/llama.cpp,2023-03-10,llm_native,model_infra,2023,2023-01-01,2023-08-29,yes,1164,755,409,1226,1127,882,245,99,1,4910,2026-08-30T13:51:33.107641+00:00,search_count_invariants_ok
21,ggml-org/llama.cpp,2023-03-10,llm_native,model_infra,2024,2024-01-01,2024-08-29,yes,1746,1449,297,2108,1916,1652,264,192,1,4910,2026-08-30T13:51:33.107641+00:00,search_count_invariants_ok
21,ggml-org/llama.cpp,2023-03-10,llm_native,model_infra,2025,2025-01-01,2025-08-29,yes,1548,1288,260,2407,2147,1808,339,260,1,4910,2026-08-30T13:51:33.107641+00:00,search_count_invariants_ok
21,ggml-org/llama.cpp,2023-03-10,llm_native,model_infra,2026,2026-01-01,2026-08-29,yes,3160,2403,757,5425,4214,3022,1192,1211,1,4910,2026-08-30T13:51:33.107641+00:00,search_count_invariants_ok
22,n8n-io/n8n,2019-06-22,mixed,agent_framework,2022,2022-01-01,2022-08-29,yes,222,127,95,1115,964,777,187,151,1,4909,2026-08-30T13:51:35.784989+00:00,search_count_invariants_ok
22,n8n-io/n8n,2019-06-22,mixed,agent_framework,2023,2023-01-01,2023-08-29,yes,301,238,63,1671,1591,1437,154,80,1,4909,2026-08-30T13:51:35.784989+00:00,search_count_invariants_ok
22,n8n-io/n8n,2019-06-22,mixed,agent_framework,2024,2024-01-01,2024-08-29,yes,353,239,114,2068,1982,1801,181,86,1,4909,2026-08-30T13:51:35.784989+00:00,search_count_invariants_ok
22,n8n-io/n8n,2019-06-22,mixed,agent_framework,2025,2025-01-01,2025-08-29,yes,3173,2533,640,3382,3063,2477,586,319,1,4909,2026-08-30T13:51:35.784989+00:00,search_count_invariants_ok
22,n8n-io/n8n,2019-06-22,mixed,agent_framework,2026,2026-01-01,2026-08-29,yes,2856,2574,282,10502,9416,7771,1645,1086,1,4909,2026-08-30T13:51:35.784989+00:00,search_count_invariants_ok
23,ray-project/ray,2016-10-25,traditional,model_infra,2022,2022-01-01,2022-08-29,yes,2382,1198,1184,4438,4224,3407,817,214,1,4908,2026-08-30T13:51:37.648830+00:00,search_count_invariants_ok
23,ray-project/ray,2016-10-25,traditional,model_infra,2023,2023-01-01,2023-08-29,yes,2763,1477,1286,4932,4620,3701,919,312,1,4908,2026-08-30T13:51:37.648830+00:00,search_count_invariants_ok
23,ray-project/ray,2016-10-25,traditional,model_infra,2024,2024-01-01,2024-08-29,yes,2110,1138,972,3164,2853,2358,495,311,1,4908,2026-08-30T13:51:37.648830+00:00,search_count_invariants_ok
23,ray-project/ray,2016-10-25,traditional,model_infra,2025,2025-01-01,2025-08-29,yes,1883,993,890,4656,4357,3307,1050,299,1,4908,2026-08-30T13:51:37.648830+00:00,search_count_invariants_ok
23,ray-project/ray,2016-10-25,traditional,model_infra,2026,2026-01-01,2026-08-29,yes,906,472,434,5023,4273,2955,1318,750,1,4908,2026-08-30T13:51:37.648830+00:00,search_count_invariants_ok
24,apache/spark,2014-02-25,traditional,model_infra,2022,2022-01-01,2022-08-29,yes,0,0,0,2629,2364,0,2364,265,1,4907,2026-08-30T13:51:40.147363+00:00,search_count_invariants_ok
24,apache/spark,2014-02-25,traditional,model_infra,2023,2023-01-01,2023-08-29,yes,0,0,0,3395,3143,0,3143,252,1,4907,2026-08-30T13:51:40.147363+00:00,search_count_invariants_ok
24,apache/spark,2014-02-25,traditional,model_infra,2024,2024-01-01,2024-08-29,yes,0,0,0,3384,3162,1,3161,222,1,4907,2026-08-30T13:51:40.147363+00:00,search_count_invariants_ok
24,apache/spark,2014-02-25,traditional,model_infra,2025,2025-01-01,2025-08-29,yes,0,0,0,2837,2615,0,2615,222,1,4907,2026-08-30T13:51:40.147363+00:00,search_count_invariants_ok
24,apache/spark,2014-02-25,traditional,model_infra,2026,2026-01-01,2026-08-29,yes,103,67,36,4588,3380,0,3380,1208,1,4907,2026-08-30T13:51:40.147363+00:00,search_count_invariants_ok
25,coder/coder,2021-12-22,mixed,agent_runtime_infra,2022,2022-01-01,2022-08-29,yes,1690,1435,255,2012,1990,1795,195,22,1,4906,2026-08-30T13:51:42.065415+00:00,search_count_invariants_ok
25,coder/coder,2021-12-22,mixed,agent_runtime_infra,2023,2023-01-01,2023-08-29,yes,1414,966,448,2399,2365,2129,236,34,1,4906,2026-08-30T13:51:42.065415+00:00,search_count_invariants_ok
25,coder/coder,2021-12-22,mixed,agent_runtime_infra,2024,2024-01-01,2024-08-29,yes,951,704,247,2096,2071,1735,336,25,1,4906,2026-08-30T13:51:42.065415+00:00,search_count_invariants_ok
25,coder/coder,2021-12-22,mixed,agent_runtime_infra,2025,2025-01-01,2025-08-29,yes,706,368,338,2809,2747,2327,420,62,1,4906,2026-08-30T13:51:42.065415+00:00,search_count_invariants_ok
25,coder/coder,2021-12-22,mixed,agent_runtime_infra,2026,2026-01-01,2026-08-29,yes,478,279,199,6725,6222,4887,1335,503,1,4906,2026-08-30T13:51:42.065415+00:00,search_count_invariants_ok
26,vercel/ai,2023-05-23,llm_native,agent_framework,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4905,2026-08-30T13:51:44.210936+00:00,search_count_invariants_ok
26,vercel/ai,2023-05-23,llm_native,agent_framework,2023,2023-01-01,2023-08-29,yes,203,158,45,271,265,240,25,6,1,4905,2026-08-30T13:51:44.210936+00:00,search_count_invariants_ok
26,vercel/ai,2023-05-23,llm_native,agent_framework,2024,2024-01-01,2024-08-29,yes,469,309,160,1157,1116,922,194,41,1,4905,2026-08-30T13:51:44.210936+00:00,search_count_invariants_ok
26,vercel/ai,2023-05-23,llm_native,agent_framework,2025,2025-01-01,2025-08-29,yes,1152,713,439,2517,2347,2032,315,170,1,4905,2026-08-30T13:51:44.210936+00:00,search_count_invariants_ok
26,vercel/ai,2023-05-23,llm_native,agent_framework,2026,2026-01-01,2026-08-29,yes,1170,838,332,7179,5547,4462,1085,1632,1,4905,2026-08-30T13:51:44.210936+00:00,search_count_invariants_ok
27,mastra-ai/mastra,2024-08-06,llm_native,agent_framework,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4904,2026-08-30T13:51:46.236492+00:00,search_count_invariants_ok
