repo_name,number,html_url,first_agent_commit_sha,file_path_at_agent_commit,final_file_path,file_type,text_lines_in_first_agent_patch,retained_exact_lines,human_rewritten_or_removed_lines,agent_revised_or_removed_lines,automation_rewritten_or_removed_lines,unknown_rewritten_or_removed_lines
microsoft/onnxruntime,28045,https://github.com/microsoft/onnxruntime/pull/28045,7686a239d520374fbe394f400e6fc1ef4e942994,onnxruntime/core/providers/cuda/ml/label_encoder_impl.h,onnxruntime/core/providers/cuda/ml/label_encoder_impl.h,source,32,32,0,0,0,0
microsoft/onnxruntime,28045,https://github.com/microsoft/onnxruntime/pull/28045,7686a239d520374fbe394f400e6fc1ef4e942994,onnxruntime/core/providers/shared_library/provider_api.h,onnxruntime/core/providers/shared_library/provider_api.h,source,1,1,0,0,0,0
OpenHands/software-agent-sdk,2614,https://github.com/OpenHands/software-agent-sdk/pull/2614,e3cecb047fb7af5519bcb2d2f8a6f32f0ac30063,.github/run-eval/resolve_model_config.py,.github/run-eval/resolve_model_config.py,source,1,0,1,0,0,0
OpenHands/software-agent-sdk,2614,https://github.com/OpenHands/software-agent-sdk/pull/2614,e3cecb047fb7af5519bcb2d2f8a6f32f0ac30063,examples/04_llm_specific_tools/02_gemini_file_tools.py,examples/04_llm_specific_tools/02_gemini_file_tools.py,source,1,0,0,1,0,0
OpenHands/software-agent-sdk,2614,https://github.com/OpenHands/software-agent-sdk/pull/2614,e3cecb047fb7af5519bcb2d2f8a6f32f0ac30063,openhands-sdk/openhands/sdk/llm/utils/verified_models.py,openhands-sdk/openhands/sdk/llm/utils/verified_models.py,source,2,0,2,0,0,0
OpenHands/software-agent-sdk,2614,https://github.com/OpenHands/software-agent-sdk/pull/2614,e3cecb047fb7af5519bcb2d2f8a6f32f0ac30063,tests/examples/test_examples.py,tests/examples/test_examples.py,source,1,0,0,1,0,0
OpenHands/software-agent-sdk,2614,https://github.com/OpenHands/software-agent-sdk/pull/2614,e3cecb047fb7af5519bcb2d2f8a6f32f0ac30063,tests/integration/api_compliance/run_compliance.py,tests/integration/api_compliance/run_compliance.py,source,1,0,1,0,0,0
OpenHands/software-agent-sdk,2614,https://github.com/OpenHands/software-agent-sdk/pull/2614,e3cecb047fb7af5519bcb2d2f8a6f32f0ac30063,tests/sdk/llm/test_model_features.py,tests/sdk/llm/test_model_features.py,source,1,0,0,1,0,0
OpenHands/software-agent-sdk,2614,https://github.com/OpenHands/software-agent-sdk/pull/2614,e3cecb047fb7af5519bcb2d2f8a6f32f0ac30063,tests/sdk/llm/test_vision_support.py,tests/sdk/llm/test_vision_support.py,source,4,0,0,4,0,0
mlflow/mlflow,19721,https://github.com/mlflow/mlflow/pull/19721,9810c260cd20d4c43aed330c1a04d927d14f7a3b,mlflow/genai/scorers/job.py,mlflow/genai/scorers/job.py,source,10,9,0,0,0,1
mlflow/mlflow,19721,https://github.com/mlflow/mlflow/pull/19721,9810c260cd20d4c43aed330c1a04d927d14f7a3b,mlflow/store/tracking/abstract_store.py,mlflow/store/tracking/abstract_store.py,source,18,18,0,0,0,0
mlflow/mlflow,19721,https://github.com/mlflow/mlflow/pull/19721,9810c260cd20d4c43aed330c1a04d927d14f7a3b,mlflow/store/tracking/databricks_rest_store.py,mlflow/store/tracking/databricks_rest_store.py,source,32,0,0,0,0,32
mlflow/mlflow,19721,https://github.com/mlflow/mlflow/pull/19721,9810c260cd20d4c43aed330c1a04d927d14f7a3b,mlflow/store/tracking/rest_store.py,mlflow/store/tracking/rest_store.py,source,35,0,0,0,0,35
mlflow/mlflow,19721,https://github.com/mlflow/mlflow/pull/19721,9810c260cd20d4c43aed330c1a04d927d14f7a3b,mlflow/store/tracking/sqlalchemy_store.py,mlflow/store/tracking/sqlalchemy_store.py,source,40,30,0,0,0,10
mlflow/mlflow,19721,https://github.com/mlflow/mlflow/pull/19721,9810c260cd20d4c43aed330c1a04d927d14f7a3b,tests/store/tracking/test_sqlalchemy_store.py,tests/store/tracking/test_sqlalchemy_store.py,source,127,61,0,0,0,66
mlflow/mlflow,21621,https://github.com/mlflow/mlflow/pull/21621,51fa0ecc8ae7a2ec84fe7359bc7613c80cac68a4,.github/workflows/auto-close-pr.js,.github/workflows/auto-close-pr.js,source,33,33,0,0,0,0
mlflow/mlflow,22355,https://github.com/mlflow/mlflow/pull/22355,9b1972431feb98326fd05bd8c4d22863b2ed1947,mlflow/genai/evaluation/harness.py,mlflow/genai/evaluation/harness.py,source,13,13,0,0,0,0
mlflow/mlflow,22355,https://github.com/mlflow/mlflow/pull/22355,9b1972431feb98326fd05bd8c4d22863b2ed1947,mlflow/utils/providers.py,mlflow/utils/providers.py,source,5,5,0,0,0,0
mlflow/mlflow,22355,https://github.com/mlflow/mlflow/pull/22355,9b1972431feb98326fd05bd8c4d22863b2ed1947,tests/utils/test_providers.py,tests/utils/test_providers.py,source,7,7,0,0,0,0
mlflow/mlflow,22659,https://github.com/mlflow/mlflow/pull/22659,8e7150e691e545ed66cca287dcbf965b7f9c790f,mlflow/R/mlflow/.install-deps.R,mlflow/R/mlflow/.install-deps.R,other,5,4,0,1,0,0
