cohort,rank,repo_id,repo_name,openrank_2607,selection
Agentic AI Top 100,74,1183888342,stablyai/orca,29.1,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,75,725205304,unslothai/unsloth,28.52,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,76,552661142,langchain-ai/langchain,27.87,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,77,153097643,openvinotoolkit/openvino,27.34,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,78,974445592,microsoft/agent-framework,27.23,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,79,638951438,comet-ml/opik,27.22,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,80,678526156,marimo-team/marimo,26.83,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,81,55072677,weaviate/weaviate,26.72,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,82,599320067,langflow-ai/langflow,26.11,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,83,1216785679,esengine/DeepSeek-Reasonix,26.06,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,84,564072810,Arize-ai/phoenix,25.11,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,85,76474200,apache/hudi,24.44,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,86,614765452,Significant-Gravitas/AutoGPT,24.14,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,87,65711522,PaddlePaddle/Paddle,23.89,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,88,1108837393,code-yeongyu/oh-my-openagent,23.75,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,89,291438522,siyuan-note/siyuan,23.03,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,90,881221486,verl-project/verl,22.94,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,91,250510075,huggingface/trl,22.75,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,92,627480054,eosphoros-ai/DB-GPT,22.22,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,93,600596928,danny-avila/LibreChat,22.06,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,94,631431061,apache/gravitino,22.03,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,95,987670088,charmbracelet/crush,21.76,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,96,846698999,aaif-goose/goose,21.73,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,97,701547123,open-webui/open-webui,21.58,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,98,707441527,livekit/agents,21.41,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,99,1012087571,router-for-me/CLIProxyAPI,21.34,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,100,819733173,kvcache-ai/Mooncake,20.65,Frozen July 2026 Agentic AI tracking Top 100
Cloud Native benchmark,1,75821432,llvm/llvm-project,626.5771,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,2,15111821,grafana/grafana,122.0121,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,3,72477752,pulumi/pulumi,88.9642,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,4,31558937,gravitational/teleport,62.6237,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,5,109145553,podman-container-tools/podman,62.0349,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,6,28449431,scylladb/scylladb,54.9395,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,7,473137633,cilium/tetragon,52.2241,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,8,2211243,apache/kafka,41.5292,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,9,11125589,keycloak/keycloak,41.3163,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,10,385634291,grafana/mimir,39.6326,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,11,302322,gradle/gradle,37.4447,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,12,157554479,meshery/meshery,36.2199,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,13,65214191,envoyproxy/envoy,33.1369,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,14,9759448,apache/cloudstack,31.9067,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,15,41986369,pingcap/tidb,30.8143,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,16,105944401,yugabyte/yugabyte-db,28.8449,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,17,36487440,gravitee-io/gravitee-api-management,28.4833,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,18,1357796,emscripten-core/emscripten,26.2284,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,19,50904245,apache/beam,25.7372,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,20,50734768,kubermatic/kubermatic,24.353,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,21,310611,apache/thrift,23.7814,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,22,20587599,apache/flink,23.1206,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,23,17728164,hashicorp/terraform,22.4658,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,24,16554739,elastic/beats,21.1123,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,25,146327667,vectordotdev/vector,18.8459,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,26,99412308,apache/seatunnel,18.5993,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,27,7202769,emqx/emqx,18.2018,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,28,10744183,netdata/netdata,17.7036,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,29,129717717,grafana/loki,17.1005,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,30,136163130,Flagsmith/flagsmith,16.8332,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,31,63882194,projectcalico/calico,16.3189,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,32,1103607,jenkinsci/jenkins,16.3177,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,33,196353673,taosdata/TDengine,15.069,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,34,99143276,velero-io/velero,14.8136,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,35,114187903,apple/foundationdb,14.7125,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,36,20445947,juju/juju,13.2491,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,37,924551,rabbitmq/rabbitmq-server,13.1695,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,38,2649214,arangodb/arangodb,13.1272,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,39,42408804,traefik/traefik,12.9962,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,40,101767772,bytecodealliance/wasmtime,12.9456,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,41,49876476,apache/shardingsphere,12.8086,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,42,356066,apache/trafficserver,12.7454,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,43,333303663,bytebase/bytebase,12.7183,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,44,36960321,opencontainers/runc,12.6773,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,45,26192117,canonical/lxd,12.1068,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,46,27911088,apache/nifi,11.9425,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,47,313628863,external-secrets/external-secrets,11.892,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,48,220517730,quay/quay,11.8914,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,49,6358188,apache/druid,11.8222,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,50,117377862,gardener/gardener,11.1541,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,51,3638964,ansible/ansible,10.8582,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,52,496143272,centreon/centreon,10.8062,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,53,54400687,grafana/k6,10.2232,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,54,156018,redis/redis,9.9641,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,55,131212638,google/gvisor,9.8686,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,56,1050944,infinispan/infinispan,9.8678,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,57,36653430,hashicorp/nomad,9.6562,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,58,1390248,saltstack/salt,9.4191,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,59,118510171,kgateway-dev/kgateway,9.2064,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,60,31006158,apache/ignite,8.9296,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,61,137451403,alibaba/nacos,8.9279,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,62,13753636,jhipster/generator-jhipster,8.9242,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,63,224908244,WasmEdge/WasmEdge,8.8686,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,64,381952060,kubeshop/testkube,8.7227,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,65,206424,apache/cassandra,8.6102,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,66,135516270,k3s-io/k3s,8.2089,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,67,109451092,siderolabs/talos,8.1873,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,68,12440855,Icinga/icinga2,8.1418,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,69,152572186,wasmerio/wasmer,8.0717,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,70,120181748,kiali/kiali,7.857,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,71,236055696,grafana/tempo,7.802,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,72,449649393,keploy/keploy,7.7978,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,73,179344069,woodpecker-ci/woodpecker,7.4535,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,74,318490971,kubewarden/adm-controller,7.2282,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,75,56353740,kubernetes/minikube,7.228,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,76,180481986,apache/apisix,7.2075,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,77,31288958,hashicorp/vault,7.1004,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,78,177068961,kubeovn/kube-ovn,7.0541,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,79,38812664,zalando/skipper,7.0433,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,80,3910314,cloudfoundry/bosh,6.9828,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,81,37912398,nginx/nginx,6.8457,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,82,886774,rundeck/rundeck,6.7287,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,83,2528254,Normation/rudder,6.689,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,84,1090311,elastic/logstash,6.6367,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,85,25459400,pinpoint-apm/pinpoint,6.4672,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,86,108278,chef/chef,6.4443,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,87,62117812,apache/pulsar,6.4119,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,88,82700090,cadence-workflow/cadence,6.1552,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,89,151700458,scalar-labs/scalardb,5.9537,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,90,62091339,kubernetes/kops,5.7115,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,91,206459,apache/avro,5.6837,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,92,24594933,Unleash/unleash,5.6768,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,93,388260896,aws/eks-anywhere,5.6442,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,94,271250363,k0sproject/k0s,5.5612,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,95,42548553,Azure/azure-functions-host,5.4104,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,96,558188628,higress-group/higress,5.3195,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,97,118469706,wasmi-labs/wasmi,5.2717,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,98,173335706,apache/dolphinscheduler,5.2461,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,99,175425051,kumahq/kuma,4.9833,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Cloud Native benchmark,100,108462822,projectcontour/contour,4.5705,"Top July 2026 OpenRank repositories under :technology/cloud_native/, excluding earlier cohorts"
Big Data benchmark,1,7833168,elastic/kibana,208.5663,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,2,507775,elastic/elasticsearch,128.8843,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,3,99919302,apache/doris,80.7144,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,4,51905353,apache/arrow,73.9536,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,5,402945349,StarRocks/starrocks,62.3439,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,6,19961085,apache/pinot,54.1895,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,7,341631350,apache/lucene,45.0276,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,8,39464018,apache/superset,40.9122,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,9,358917318,apache/datafusion,29.9375,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,10,212382406,apache/ozone,27.6999,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,11,358917250,apache/arrow-rs,25.9741,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,12,206317,apache/camel,25.9462,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,13,807776416,apache/polaris,23.7944,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,14,20089857,apache/hbase,21.0701,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,15,158975124,apache/iotdb,17.4156,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,16,131619646,dagster-io/dagster,16.2249,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,17,743651128,apache/datafusion-comet,16.0178,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,18,341374920,apache/solr,15.6781,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
Big Data benchmark,19,45646037,plotly/plotly.js,13.8899,"Top July 2026 OpenRank repositories under :technology/big_data/, excluding earlier cohorts"
