comparison,metric,item_scope,direction,repositories,earlier_value,later_value,absolute_change,relative_change,positive_deltas,negative_deltas,ties,exact_signflip_p,bh_q,interpretation
2025_to_2026,pr_merged_30d,pull_request,later_minus_earlier,9,0.708257,0.546287,-0.161971,-0.228689,1,7,1,0.023438,0.063283,higher is faster pull-request integration
2025_to_2026,pr_closed_unmerged_30d,pull_request,later_minus_earlier,9,0.181174,0.329896,0.148721,0.820873,7,2,0,0.0625,0.153409,"higher can mean faster rejection, not productive throughput"
2025_to_2026,maintainer_actions_30d,all,later_minus_earlier,10,1.479611,1.437997,-0.041614,-0.028125,4,6,0,0.935547,0.953125,higher means more visible maintainer work per thread
2025_to_2026,maintainer_actions_30d,issue,later_minus_earlier,10,0.782388,0.245882,-0.536506,-0.685728,1,9,0,0.005859,0.042185,higher means more visible maintainer work per issue
2025_to_2026,maintainer_actions_30d,pull_request,later_minus_earlier,9,1.928846,1.870101,-0.058745,-0.030456,4,4,1,0.945312,0.953125,higher means more visible maintainer work per pull request
2025_to_2026,conversation_runs_30d,all,later_minus_earlier,10,3.099785,3.241681,0.141897,0.045776,5,5,0,0.597656,0.701596,higher means more handoffs or dialogue turns
2025_to_2026,conversation_runs_30d,issue,later_minus_earlier,10,2.312374,2.022059,-0.290315,-0.125549,3,7,0,0.535156,0.701596,higher means more issue dialogue handoffs
2025_to_2026,conversation_runs_30d,pull_request,later_minus_earlier,9,3.711294,3.894828,0.183534,0.049453,3,6,0,0.777344,0.874512,higher means more pull-request dialogue handoffs
2025_to_2026,opener_return_rounds_30d,all,later_minus_earlier,10,0.816741,0.751331,-0.06541,-0.080087,5,5,0,0.546875,0.701596,higher means more contributor return cycles
2025_to_2026,review_events_30d,pull_request,later_minus_earlier,9,3.13521,4.58207,1.44686,0.461487,6,3,0,0.367188,0.550782,higher means more review activity per pull request
2025_to_2026,human_review_events_30d,pull_request,later_minus_earlier,9,2.390795,2.978646,0.587851,0.245881,5,4,0,0.585938,0.701596,higher means more human review activity per pull request
2025_to_2026,maintainer_review_events_30d,pull_request,later_minus_earlier,9,1.373353,1.418094,0.044741,0.032578,4,4,1,0.953125,0.953125,higher means more maintainer review activity per pull request
2025_to_2026,agent_review_events_30d,pull_request,later_minus_earlier,9,0.733304,1.586677,0.853373,1.163738,5,3,1,0.296875,0.471507,higher means more agent review activity per pull request
2025_to_2026,commits_after_first_review_30d,pull_request,later_minus_earlier,9,0.976708,1.887562,0.910854,0.932575,6,3,0,0.109375,0.241071,higher means more post-review revision activity
2025_to_2026,commits_after_first_human_review_30d,pull_request,later_minus_earlier,9,0.889364,1.311747,0.422383,0.474927,4,5,0,0.46875,0.666118,higher means more revision activity after human review
2025_to_2026,commits_after_first_agent_review_30d,pull_request,later_minus_earlier,9,0.443405,1.245064,0.80166,1.807964,6,1,2,0.140625,0.253125,higher means more revision activity after agent review
2025_to_2026,agent_visible_30d,all,later_minus_earlier,10,0.334647,0.543904,0.209256,0.625304,8,0,2,0.007812,0.042185,higher means more publicly visible agent participation
2025_to_2026,coding_or_review_agent_visible_30d,all,later_minus_earlier,10,0.130869,0.345351,0.214482,1.638898,7,1,2,0.023438,0.063283,higher means more visible coding or review agent participation
2025_to_2026,support_agent_visible_30d,all,later_minus_earlier,10,0.285784,0.358636,0.072853,0.254923,4,0,6,0.125,0.241071,higher means more visible support-agent participation
2025_to_2026,automation_actions_30d,all,later_minus_earlier,10,4.041805,6.55903,2.517224,0.622797,9,1,0,0.011719,0.052735,higher means more conventional automation activity
